index,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1436,Pub Beer,American Pale Lager,12.0 oz,0.05,N/A,408,10 Barrel Brewing Company,Bend,OR
2,2265,Devil's Cup,American Pale Ale (APA),12.0 oz.,0.066,N/A,177,18th Street Brewery,Gary,IN
3,2264,Rise of the Phoenix,American IPA,12.0 ounce,0.071,N/A,177,18th Street Brewery,Gary,IN
4,2263,Sinister,American Double / Imperial IPA,12.0 oz,0.09%,N/A,177,18th Street Brewery,Gary,IN
5,2262,Sex and Candy,American IPA,12.0 OZ.,0.075,N/A,177,18th Street Brewery,Gary,IN
6,2261,Black Exodus,Oatmeal Stout,12.0 oz,0.077,N/A,177,18th Street Brewery,Gary,IN
7,2260,Lake Street Express,American Pale Ale (APA),12.0 oz.,0.05%,N/A,177,18th Street Brewery,Gary,IN
8,2259,Foreman,American Porter,12.0 ounce,0.065,N/A,177,18th Street Brewery,Gary,IN
9,2258,Jade,American Pale Ale (APA),12.0 oz.,0.055,N/A,177,18th Street Brewery,Gary,IN
10,2131,Cone Crusher,American Double / Imperial IPA,12.0 ounce,0.086,N/A,177,18th Street Brewery,Gary,IN
11,2099,Sophomoric Saison,Saison / Farmhouse Ale,12.0 oz.,0.072,N/A,177,18th Street Brewery,Gary,IN
12,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0 oz.,0.073,N/A,177,18th Street Brewery,Gary,IN
13,2097,Garce Sel¨¦,Saison / Farmhouse Ale,12.0 OZ.,0.07%,N/A,177,18th Street Brewery,Gary,IN
14,1980,Troll Destroyer,Belgian IPA,12.0 oz.,0.085,N/A,177,18th Street Brewery,Gary,IN
15,1979,Bitter Bitch,American Pale Ale (APA),12.0 ounce,0.06%,60,177,18th Street Brewery,Gary,IN
16,2318,Ginja Ninja,Cider,12.0 ounce,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
17,2170,Cherried Away,Cider,12.0 oz.,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
18,2169,Rhubarbarian,Cider,12.0 oz. Alumi-Tek,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
19,1502,BrightCider,Cider,12.0 ounce,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
20,1593,He Said Baltic-Style Porter,Baltic Porter,12.0 oz.,0.082,N/A,368,21st Amendment Brewery,San Francisco,CA
21,1592,He Said Belgian-Style Tripel,Tripel,12.0 oz.,0.082,N/A,368,21st Amendment Brewery,San Francisco,CA
22,1036,Lower De Boom,American Barleywine,8.4 ounce,0.099,92,368,21st Amendment Brewery,San Francisco,CA
23,1024,Fireside Chat,Winter Warmer,12.0 OZ.,0.079,45,368,21st Amendment Brewery,San Francisco,CA
