id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
2282,Pub Beer,American Pale Lager,12,0.046,,389,Warbird Brewing Company,Bend,WI
1910,Lomaland,American IPA,12,0.054,,24,Fullsteam Brewery,Gary,AL
1317,Dirtbag Dunkel,Fruit / Vegetable Beer,12,0.088,,177,18th Street Brewery,Gary,IN
2263,Sinister,American Stout,12,0.09,,177,Miami Brewing Company,Boise,IN
1490,Sex and Candy,American IPA,12,0.063,,21,18th Street Brewery,Gary,MN
2261,Gran Met,Dortmunder / Export Lager,12,0.068,,116,Ska Brewing Company,Gary,IN
2260,Lake Street Express,German Pilsener,12,0.045,,177,18th Street Brewery,Gary,IN
2259,Barrel Aged Seven Devils Imperial Stout,American Amber / Red Ale,12,0.065,,177,18th Street Brewery,Gary,TX
2258,Jade,American Pale Lager,12,0.055,,176,Central Coast Brewing Company,Gary,NY
1065,Black Adder IBA (Current),American Double / Imperial IPA,12,0.061,,46,Cigar City Brewing Company,Gary,IN
1557,Sophomoric Saison,English Barleywine,,0.058,,41,Rivertowne Brewing Company,Gary,OK
2098,SunSpot Golden Ale,American Double / Imperial IPA,16,0.05,,177,Tin Man Brewing Company,Gary,IL
386,Garce Selé,American Double / Imperial IPA,12,0.069,,387,4 Hands Brewing Company,Conroe,IN
1980,Boathouse Blonde,Belgian IPA,12,0.085,,177,18th Street Brewery,South Bend,MI
2192,Fat Tire Amber Ale,American Pale Ale (APA),12,0.061,,30,Minhas Craft Brewery,Chico,RI
2318,Nonstop Hef Hop,Cider,12,0.054,,154,Sierra Nevada Brewing Company,Fort Collins,DC
2170,Cherried Away,Cider,12,0.06,,154,2 Towns Ciderhouse,Corvallis,ID
2169,Rhubarbarian,Cider,12,0.06,,234,Avery Brewing Company,Corvallis,TX
409,Heady Topper,Cider,16,0.073,,487,2 Towns Ciderhouse,Gary,MN
1593,He Said Baltic-Style Porter,Baltic Porter,12,0.063,,368,21st Amendment Brewery,San Francisco,ID
1942,Global Warmer,Pumpkin Ale,12,0.055,,368,Snake River Brewing Company,Pottstown,CA
1036,40 Mile IPA,Maibock / Helles Bock,8.4,0.099,,392,Karbach Brewing Company,San Francisco,CA
1024,Fireside Chat,Scotch Ale / Wee Heavy,12,0.079,70,537,Rivertowne Brewing Company,San Francisco,CA
976,Live Local Golden Ale,Milk / Sweet Stout,12,0.079,,101,Three Notch'd Brewing Company,Garden City,CA
876,Bitter American,American Pale Ale (APA),12,,70,368,Two Roads Brewing Company,San Francisco,WA
2080,Wild Wolf Wee Heavy Scottish Style Ale,Fruit / Vegetable Beer,16,0.049,37,365,21st Amendment Brewery,San Francisco,CO
2382,Broad Brook Ale,Fruit / Vegetable Beer,12,0.06,17,380,Ruhstaller Beer Company,Bridgewater Corners,IN
2337,Dale's Pale Ale,American Pale Ale (APA),12,0.072,17,250,Upland Brewing Company,Seattle,CA
1041,21st Amendment IPA (2006),American IPA,16,0.082,70,368,Minhas Craft Brewery,Eagle,PA
1268,Pumple Drumkin,American IPA,12,0.07,60,368,Sixpoint Craft Ales,Conroe,CA
796,Rise of the Phoenix,American IPA,12,0.046,,368,Capital Brewery,Evansville,MA
1829,Special Edition: Allies Win The War!,English Strong Ale,12,0.05,30,209,21st Amendment Brewery,San Francisco,CA
432,Mama's Little Yella Pils,American Blonde Ale,12,0.07,94,107,21st Amendment Brewery,San Francisco,FL
353,Bitter American (2011),American Pale Ale (APA),12,0.044,42,522,21st Amendment Brewery,San Francisco,CA
321,Fireside Chat (2010),Kölsch,12,0.079,27,175,21st Amendment Brewery,San Francisco,CA
1964,Back in Black,American Amber / Red Ale,12,0.068,65,278,Renegade Brewing Company,San Francisco,CA
11,Monk's Blood,Belgian Dark Ale,12,,40,368,21st Amendment Brewery,Diamond Springs,CA
86,Caldera IPA,American IPA,16,0.07,,368,21st Amendment Brewery,San Francisco,IL
9,Greenville Pale Ale,American IPA,16,0.049,17,75,21st Amendment Brewery,San Diego,MA
1624,Hoopla Pale Ale,American IPA,12,0.054,,67,3 Daughters Brewing,St Petersburg,FL
2518,Beach Blonde,American Blonde Ale,12,0.05,,57,Grey Sail Brewing of Rhode Island,Talkeetna,CA
2517,Rod Bender Red,American Amber / Red Ale,12,0.059,,67,Tin Roof Brewing Company,Norfolk,FL
1739,Passion Fruit Prussia,American Amber / Red Ale,12,0.035,11,60,4 Hands Brewing Company,Saint Louis,MO
