id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,Pub Beer,American Pale Lager,12,0.05,,408,10 Barrel Brewing Company,Bend,OR
2265,Devil's Cup,American Pale Ale (APA),,0.066,,177,18th Street Brewery,Gary,IN
2264,Rise of the Phoenix,American IPA,12,0.071,,177,yrewerB teertS ht81,,IN
2263,Sinister,American Double / Imperial IPA,12,0.09,,25,18th Street Brewery,Gary,IN
2262,Sex and Candy,American IPA,12,0.075,,,18th Street Brewery,Gary,IN
2261,Black Exodus,Oatmeal Stout,12,0.077,,177,18th Street Brewery,Gary,
2260,Lake Street Express,American Pale Ale (APA),12,0.045,,177,18th Street Brewery,Gary,
2259,Foreman,American Porter,12,0.065,,177,18th Street Brewery,Gary,IN
2258,Jade,American Pale Ale (APA),12,0.055,,177,18th Street Brewery,Gary,IN
2131,Cone Crusher,American Double / Imperial IPA,12,0.086,,177,18th Street Brewery,Gary,IN
2099,Sophomoric Saison,Saison / Farmhouse Ale,12,0.075,,177,18th Street Brewery,Afghanistan,IN
2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.073,,177,18th Street Brewery,Gary,IN
2097,Garce Selé,Saison / Farmhouse Ale,12,,,177,18th Street Brewery,Gary,
1980,Troll Destroyer,Belgian IPA,12,0.085,,177,18tk Strdet Tvzwqry,Gary,IN
1979,Bitter Bitch,American Pale Ale (APA),12,0.061,60,177,18th Street Brewery,Gary,IN
2318,,Cider,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
2170,Cherried Away,Cider,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
2169,Rhubarbarian,Cider,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
1502,BrightCider,Cider,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
,He Said Baltic-Style Porter,Baltic Porter,,0.082,,368,21st Amendment Brewery,San Francisco,CA
1592,He Said Belgian-Style Tripel,Tripel,12,0.082,,368,21st Amendment Brewery,Afghanistan,CA
1036,Lower De Boom,Hefeweizen,8.4,0.099,92,368,21st Amendment Brewery,San Francisco,CA
1024,Fireside Chat,Winter Warmer,12,0.079,45,368,21st Amendment Brewery,San Francisco,CA
976,Marooned On Hog Island,American Stout,12,0.079,,368,21st Amendment Brewery,San Francisco,CA
876,s,American Pale Ale (APA),12,0.044,42,368,21st Amendment Brewery,San Francisco,CA
802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,Afghanistan,CA
801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,FA
799,21st Amendment IPA (2006),American IPA,12,0.07,70,368,21st Amendment Brewery,San Francisco,CA
797,Brew Free! or Die IPA (2008),American IPA,12,0.07,70,368,,San Francisco,CA
796,Brew Free! or Die IPA (2009),English Brown Ale,12,0.07,70,368,21st Amendment Brewery,San Francisco,CA
531,Special Edition: Allies Win The War!,,12,0.085,52,368,21st Amendment Brewery,San Francisco,CA
432,Hop Crisis,American Double / Imperial IPA,12,0.097,94,368,21st Amendment Brewery,San Francisco,CA
353,Bitter American (2011),American Pale Ale (APA),12,0.044,42,368,21st Amendment Brewery,San Francisco,CA
321,Fireside Chat (2010),Winter Warmer,12,0.079,45,368,21st Amendment Brewery,San Francisco,
173,Back in Black,American Black Ale,12,0.068,65,368,21st Amendment Brewery,ocsicnarF naS,CA
11,Monk's Blood,Belgian Dark Ale,12,0,35,368,21st Amendment Brewery,San Francisco,CA
10,Brew Free! or Die IPA,American IPA,12,,65,368,21st Amendment Brewery,Afghanistan,CA
9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12,0.049,17,368,21st Amenࠃdment Brewery,Swn Hfanbifcl,CA
1561,Angry Orchard Crisp Apple,American IPA,12,0.07,82,N/A,3 Daughters Brewing,St Petersburg,FL
2518,Beach Blonde,American Blonde Ale,12,0.05,,67,3 Daughters Brewing,St Petersburg,FL
1964,Rod Bender Red,American Amber / Red Ale,12,0.059,,67,3 Daughters Brewing,St Petersburg,FL
2545,Passion Fruit Prussia,Berliner Weissbier,12,0.035,11,60,4 Hands Brewing Company,Sainu Lluis,MO
2544,Send Help,American Blonde Ale,,0.045,18,60,s,Saint Louis,MO
2324,Cast Iron Oatmeal Brown,American Brown Ale,12,0.055,,60,4 Hands Brewing Company,Saint Louis,MO
2288,Reprise Centennial Red,Amerlexm Qjber / Ffd Aoe,12,0.06,,60,4 Hands Brewing Company,Saint Louis,MO
2287,Alter Ego,American Black Ale,12,0.055,,131,4 Hands Brewing Company,Saint Louis,MO
2286,Divided Sky,American IPA,12,0.065,,60,4 Hqnvv Frfwlnc Cumpxnh,Saint Louis,MO
2285,Resurrected,American IPA,12,0.065,,60,4 Hands Brewing Company,Hershey,MO
1870,Contact High,American Pale Wheat Ale,12,0.05,28,60,4 Hands Brewing Company,Saint Louis,MO
20010101,Galaxyfest,American IPA,16,0.065,,27,450 North Brewing Company,Columbus,Alabama
