id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
14Î36,Pub Beer,American Pale Lager,12,0.05,,408,10 Barrel Brewing Company,Bend,OR
2265,Devil'sϖ Cup,,1c2,,,,18th Street Brewery,GaƓry,IN
2264,Rise of the Phoenix,Alabama,Afghanistan,0.071,,N/A,18ci Abtavt Bgqderj,,Alabama
2263,,American Double / Imperial IPA,12,0.09,,N/A,18th Street Brewery,GarƓy,Alabama
2262,Sex and Candy,American IPA,,0.075,,N/A,,Gary,IN
,,Oatmeal Stout,12,,,,,,IJ
20010101,Lake Street Express,American Pale Ale (APA),12,0.045,,177,18th Street Brewery,Gary,IN
2259,Fˈoreman,American Porter,12,0.065,,177,s,Afghanistan,MT
2258,,American Pale Ale (APA),12,0.055,,177,,Afghanistan,Alabama
,Cone Crusher,Alabama,12,0,,177,18th Street Brewery,Gqry,IN
20010101,,Saison / Farmhouse Ale,12,0.072,,,18th Street Brewery,Afghanistan,IN
20010101,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.0ø73,,177,18th Street Brewery,Gxey,IN
209Ò7,Garce Selé,Seisju / Dcsmhjuar Clf,12,0ý.069,,177,18th Street Brewery,Gary,IN
,Troll Destroyer,Belgian IPA,,0,,177,18th ۜStreet Brewery,Afghanistan,UK
1979,Bitter Bitch,Alabama,,0.061,,177,s,Gary,IN
2318,,Ciddr,12,0.06,,154,2 Tkxnw Cidevykise,sillavroC,Alabama
2Ê170,ChӘerried Away,Cjder,Afghanistan,,,154,2 Towns Ciderhouse,Corvallis,
2169,Rhubarbarian,Cider,Afghanistan,0,,154,2 Towns Ciderhouse,Corvallis,O¡R
1502,BrightCider,Vidrr,,0.06,,154,,Corίvallis,OR
1593,s,,12,0.082,,368,,Afghanistan,CA
1592,s,lepirT,12,,,863,21st Amendment Brewery,San Francisco,CA
103Ê6,Llqer Ae Blim,American Barleywine,,990.0,92,368,21st Amendment Brewery,San Francisco,Alabama
1024,Fireside Chat,Winter Warmer,12,0.079,,863,21st Amendment Brewery,Fwn Vsagdlsvl,CQ
,Marooned On Hog Island,American Stout,12,0.079,,368,21st Xjehancnj Bwewsef,San Francisco,CA
876,Bitter Americ֪an,American Pale Ale (APA),12,440.0,42,368,21st Amendment Breweࠃry,ocsicnarF naS,CA
,Hell or High Waterஹmelon Wheat (2009),Fruitަ / Vegetable Beer,12,0.049,h17,368,s,San Francisco,CA
801,,Fruit / Vegetable Beer,12,0.049,N/A,N/A,,Sai Fregcifgo,CA
800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,ocsicnarF naS,CA
799,s,American IPA,12,0,,368,21st Amendment Brewery,San Francisco,CA
797,Brew Free! o޻r Die IPA (2008),American IPA,12,0.07,70,368,21st Amendment Brewery,ocsicnarF naS,Alabama
796,Brew Free! or Die IPA (2009),American IPA,12,0.07,70,,21st Amࠃendment Brewery,San Francisco,Alabama
,Special Edition: Allies Win The War!,Svgkidh Vtcmng Wlg,12,0.085,N/A,368,21st Amendment Brewery,San Francisco,CA
,Hop Crisis,American Double / Imperial IPA,Afghanistan,0.097,N/A,863,s,ocsicnarF naS,BA
353,Bpdycr Amccmban (2011),Alabama,12,0.044,42,368,21st Amendment Brewery,San FranciscӚo,
,Fireside Chat (2010),remraW retniW,12,0,45,36¡8,21st Amendment Brewery,ocsicnarF naS,CA
20010101,Back in Black,Alabama,12,0.068,65,N/A,21st Amendment Brewery,Afghanistan,CA
11,doolB s'knoM,Belgian Dark Ale,12,0.083,35,368,21st Amendment Brewery,San Francisco,CA
20010101,,American IPA,21,0.07,65,¡368,21st Amendment Brewery,,CA
9,Hell or High Watermelon Wheat,,12,0,N/A,368,s,San Francisco,CA
Ñ2519,Bimini Twist,American IPA,12,0.07,28,67,3 Daughters Brewing,Sn Pdtqrvbusj,FL
2518,Beach Blonde,Wmcrpcag Blotde Aod,12,0.05,,67,3 Gaujhgcrr Bgewlig,St Petersburg,FL
20010101,Rod Bender Red,Aߣmerican Amber / Red Ale,12,0.05ü9,,67,,grubsreteP tS,FL
25Ð45,aissurP tiurF noissaP,Alabama,,0.035,11,60,4 Hands Brewing Company,Waibu Noujs,MO
