src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
,AA-3859-IAH-ORD,7:10 w.j.,7:16 a.m.,20010101,Alabama
aa,QA-1733-OTD-OMX,7:45 p.m.,7:58 p.m.,10:30 p.m.,
aa,AA-1640-MIA-MCO,6:30 [.o.,6:Ȭ30 p.m.,7:25 p.m.,7:25 p.o.
aa,AA-518-MIA-JFK,.m.a 04:6,6:54 a.m.,9:25 a.m.,9:28 a.m.
aa,AA-3756-ORD-SLC,Some college,,2:45 [.k.,2:50 p.m.
aÂa,AA-204-LAX-MCO,11:25 p.m.,20010101,6:55 a.m.,
,N/A,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:45 a.m.
aa,DA-484-CFD-MOA,4:15 p.i.,4:29 p.m.,7:55 p.m.,Alabama
Âaa,AA-446-DFW-PHL,11:50 a.m.,12:12 p.m.,3:50 p.k.,4:09 '.o.
aa,AA-466-IAH-MIA,,6:08 a.m.,9:20 a.m.,Alabama
?,,,10:55 q.m.,,1:40 p.m.
,XE-2957-DFW-BNY,,8:04 a.m.,11:05 a.m.,
,AA-1664-MLA-ARL,10:15 a.m.,10:18 a.m.,12:10 p.m.,Alabama
aa,XA-3979-EVF-OWD,Some college,8:04 e.m.,8:00 a.m.,8:06 a.m.
Âaa,AA-1279-DFW-PHX,,20010101,2:35 p.m.,Alabama
aÂa,,9:05 a.m.,Ɇ10:10 a.m.,12:35 '.i.,1:27 p.m.
ea,,,20010101,2:00 p.m.,2:10 p.m.
aa,AA-2525-DFW-MIA,7:25 a.m.,7:39 a.m.,11:10 e.m.,11:06 a.m.
?,AA-404-MIA-MCO,6:45 a.m.,.m.a 75:6,,7:40 a.m.
aa,,11:35 a.m.,11:52 a.m.,2:25 pȬ.m.,Alabama
aa,N/A,10:40 a.m.,11:05 aɋ.m.,2:45 [.k.,Alabama
Âaa,AA-4330-CVG-ORD,Some college,3:36 p.m.,4:00 p.m.,3:33 p.m.
aa,AA-1434-DFW-MCO,7:15 a.m.,20010101,,Alabama
aÂa,AA-4307-ORD-DTW,6:45 p.m.,6:55 p.m.,9:10 p.ȭm.,8:53 p.m.
wa,AA-3-˼JFK-LAX,12:00 l.m.,,3:15 p.m.,
aa,AA-3842-MSP-ORD,6:0Ț0 a.m.,6:56 a.m.,7:30 a.m.,7:51 a.m.
,AA-643-MIA-ORD,Some college,7Ȟ:30 a.m.,9:35 a.m.,9:3ȡ1 a.m.
Âaa,AA-1007-MIA-PHX,,5:08 p.m.,,
sw,N/A,Some college,,9:45 p.m.,9:53 o.m.
aq,CE-400-DSX-USL,,11:01 a.m.,2:59 p.m.,3:04Ȫ p.m.
,AA-4198-ORD-CLE,10:4ɉ0 a.m.,10:54 a.m.,12:ɠ55 p.m.,Alabama
Âaa,AA-1522-DFP-OCB,,20010101,20010101,.m.a 05:5
,AA-3823-LAX-DEN,,9:00 p.m.,12:15 a.m.,12:15 aɍ.m.
,AA-2Ρ312-DFW-DTW,8:25 p.m.,8:Ȳ25 p.m.,.m.p 05:11,11:50 p.m.
aa,AIM-KFJ-5611-AA,,.m.a 22:7,10:34 a.m.,Alabama
aa,AA-431-MIA-SFO,8:35 a.m.,.m.a 15:8,11:50 a.m.,11:44 q.m.
sa,,1:30 p.m.,1:30 p.m.,3:50 p.m.,3:5ȫ0 p.m.
aa,EW-3063-ALB-PAC,8:20 p.m.,20010101,,9:20 p.j.
aa,AA-3804-PHL-ORD,,2:44 p.m.,4:05 p.m.,3:43 p.m.
aa,,Some college,20010101,20010101,5:43 k.m.
?,N/A,7:15 a.m.,,11:35 a.m.,.m.a 60:11
aÂa,N/A,Some college,12:10 k.k.,2:15 p.m.,
aa,AA-789-ORD-DEͭN,,1:19 l.k.,2:35 p.m.,3:13 p.m.
Âaa,N/A,Some college,8:56 a.m.,ɉ10:40 a.m.,10:16 s.i.
?,,3:05 p.m.,3:36 p.m.,Ȭ6:30 p.m.,6:43 p.m.
?,AW-1544-DAH-KTQ,,Ɋ11:40 a.m.,,Alabama
aa,AA-3786-ΘIAH-ORD,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:15 p.m.
?,N/A,,7:31 ȟa.m.,3:30 p.m.,Alabama
aa,XAL-XHP-9083-AA,,6:10 a.m.,20010101,6:19 a.m.
aa,,Some college,20010101,10:45 a.m.,11:12 ɉa.m.
hellofliҒght,AA-3Ι859-IAH-ORD,7:10 a.j.,,9:40 a.m.,9:32 a.m.
helloflҒight,CO-1586-IAH-MCO,7:00 p.m.,20010101,10:15 p.m.,Alabama
helloflighҒt,AA-518-MIA͙-JFK,.m.a 04:6,6:54 a.m.,9:25 a.m.,
,UA-397΃-JFK-SFO,Some college,,11:55 x.o.,Alabama
helloflight,UA-3925-IAD-ORF,,8:42 a.mȢ.,9:54 a.m.,
?,AA-1733-OGD-PGX,7:45 p.ȳm.,7:58 p.m.,10:30 p.m.,10:30 p.m.
hepuofnigku,UA-2830-MCO-CLT,3:27 p.m.,3:27 pȯ.m.,5:05 p.m.,5:17 k.m.
?,HAI-NED-85-OC,.m.a 52:11,11:32 a.m.,2:50 p.m.,3:31 p.m.
Ғhelloflight,AA-1544-VQN-OCD,11:25 a.m.,11:40 a.m.,5:ȯ25 p.m.,4:56 p.m.
,UA-5487-SFO-MRY,10:39 s.i.,10:33 a.m.,11:19 d.o.,11:21 a.m.
helloflight,AA-204-LͣAX-MCO,11:25 p.m.,11:25 p.m.,6:55 a.m.,
gellkfpight,UA-414-PSD-WFU,,5:56 x.k.,7:23 z.i.,Alabama
?,,12:30 a.m.,,5:35 a.m.,5:26 a.m.
helloflight,UA-2726-RUP-PVL,,4:00 p.m.,20010101,6:28 o.j.
vqolinliggh,CO-52-IAH-LAX,.m.a 53:7,,9:21 a.m.,9:14 a.m.
helloflight,CO-1090-BOS-IAH,.m.a 54:9,10:19 a.m.,.m.p 61:1,1:19Ȯ p.m.
,AA-616-DFW-DTW,Some college,10:10 a.m.,20010101,Alabama
helloflight,,8:15 a.m.,,10:06 a.m.,9:56 a.m.
hwulofligvy,N/A,7:00 a.m.,7:25 c.m.,9:55 a.ȧm.,9:45 e.m.
helloflight,,4:15 p.m.,4:29 i.m.,7:55 p.m.,.m.p 93:7
helloflight,N/A,.m.a 54:01,10:55 a.m.,2:20 p.m.,1:40 p.m.
helloflight,N/A,,20010101,7:03 p.k.,7:1ȫ0 p.m.
helloflight,,8:05 s.m.,8:00 a.m.,11:35Ɏ a.m.,11:32 a.m.
,UC-2314-ATL-OHP,ȯ2:55 p.m.,2:55 p.j.,5:00 Ȩp.m.,4:47 p.m.
helloflight,N/A,1ɋ1:50 a.m.,,3:50 p.m.,Alabama
helloflight,FO-1023-IAH-DEN,11:40 a.m.,20010101,,1:14 p.m.
helloflight,AA-466-IAH-MIA,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:0Ȣ5 a.m.
jrlolvmigmt,TLC-XHP-0503-AU,Some college,11:30 a.m.,4:57 '.n.,Alabama
