id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,Late repair of injuries of the anal sphincter,English,Neuropsychopharmacology,Neuroscience,0035-9157 (Print) 0035-9157,64,12,1/1/71,1187-9,"{""Estela Derazne"",""Jeremy D Kark"",""Yaron Niv"",""Lital Keinan-Boker"",""Ari Shamiss"",""Irena Liphshitz"",""Arnon Afek"",""Dorit Tzur"",""Moshe Furman"",""Zohar Levi""}"
498345,An insulin-like growth factor-I gene polymorphism modifies the risk of microalbuminuria in subjects with an abnormal glucose tolerance,ENG,J Hand Surg Am,Endod Dent Traumatol,1678-4464,-1,-1,1/13/01,,"{""Kazeem B Yusuff"",""Unyime I Eshiet""}"
798716,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,,0301-4738,54,4,1/13/01,283-4,"{""Irena Anna Frei"",""Katharina Fierz"",""Angela Poat"",""Martina Gisin""}"
501663,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",fre,,,,154,0,1/7/10,447-52 ST  - [Studies on cefotaxime (HR 756) concentration in human biliary tract and clinical effect for acute or subacute cholecystitis with cholelithiasis (author's transl)]-,"{""M. Wang"",""G. Stewart"",""J. F. Tierney"",""G. Spilopoulos"",""W. Duncan"",""H. S. Hansen"",""Z. Rhugang"",""M. K. Parmar"",""A. Rousell"",""B. Launois"",""K. Nygaard"",""S. J. Arnott"",""M. Gignoux""}"
265969,Fc receptor-like 3 (FCRL3) -169 C/T polymorphism and systemic lupus erythematosus: A meta-analysis.,engspa,,,,33,4,1/15/10,2024; author reply 2026-7,"{""Lauren C Pinter-Brown""}"
98234,"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",eng,,,,42,0,1/13/01,185-91,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
364080,Late repair of injuries of the anal sphincter,eng,Journal of medicinal chemistry,,,29,2,1/1/73,viii284,"{""J.P. Toombs"",""M.S. Bauer"",""W.R. Widmer"",""A.R. Blight""}"
729712,Shedding health risks with bariatric weight loss surgery,English; ABSTRACT LANGUAGE:English,J Orthop Sci,,,240,0,1/14/01,374-8,{NULL}
710727,Awareness of deficits and on-road driving performance,,Indian Journal of Physiology and Pharmacology,,,25,7,1/11/01,1158-78,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
858569,Behaviour Research and Therapy Outcome predictors in guided and unguided self-help for social anxiety disorder,,The British journal of radiology,,,79,938,5/1/90,Apr-43,"{""M Caliskan"",""M Karab_c_oglu"",""A Citak"",""N Uzel"",""K Aydin"",""A Nayir"",""D D Soysal""}"
184417,Efficacy of continuation/maintenance electroconvulsive therapy for the prevention of recurrence of a major depressive episode in adults with unipolar depression: a systematic review.,,,,,14,-1,1/9/01,317-325,"{""Perjohan Lindfors"",""Liselotte Jansson"",""Brjann Ljotsson"",""Lisa Falk"",""Erik Hedman"",""Christian Ruck"",""Amanda Wibron Vesterlund"",""Sergej Andreewitch"",""Nils Lindefors"",""Gerhard Andersson"",""Timo Hursti""}"
729686,"Optical turbulence: weak turbulence, condensates and collapsing filaments in the nonlinear Schr_dinger equation",eng,International journal of clinical and experimental medicine,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,0020-1383,18,3,1/12/01,10213-10224,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
278396,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,Das Mikorklima der Wohnungen und seine hygienische Normierung.,,0001-6349 (Print) 0001-6349,92,2,1/1/90,711-5,"{""Terry-Lynne Marko"",""Tyler Watt""}"
