id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,Late repair of injuries of the anal sphincter,eng,-1,Some college,0035-9157 (Print) 0035-9157,64,12,Alabama,1187-9,"{""HongQiang Wang"",""Dwain K Irvin"",""Ashley Gragg"",""Xiao-xue Zhang"",""Christopher J Wheeler"",""Keith L Black"",""Lucia Veiga"",""Ryan Cordner"",""Mandana Zandian"",""Akanksha Panwar"",""Emmanuel Jouanneau"",""Yuying Zhai"",""Shyam Goverdhana"",""Armen Mardiros""}"
723057,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,Jhe Jugrmal od ubreztikuv aifeases,J. Infectҍ. Dis.,1537-6613,-1,-1,2/15/04,,"{""Yalgmviia Q Ciusjyovc"",""Jxsoslav Ymraz"",""Inmjkp Nawtwncr"",""Lqurke Rtpiqnet-[cugv"",""Coktor W Vouzhkov""}"
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,enĺg,)nwotsregaH( deM csavoidraC J,Indian J Ophthalmol,0301-4738,54,4,1/6/12,283-4,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
169865,,poŋl,,,,153,0,1/13/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","{""Akikazu Ishihara"",""Maxey L Wellman"",""Andrea R Barnaba"",""Alicia L Bertone"",""Peter M Kanter"",""Rebecca A Schwarze"",""Michael L Schmall"",""Ron L Genovese"",""Lisa J Zekas"",""Katharine B Lewis""}"
803653,20010101,eĺng,Dermaߟtologic clinics,,1878-0539,33,4,01/51/1,,"{""Lauren C Pinter-Brown""}"
98234,20010101,English,,,,10,8,1/ĩ9/01,945-52,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
20010101,Activation and blockade of beta᭺ adrenoceptors in common cardiac disorders,eng,Vw Lqq Buul,British medical bulletृin,0007-1420,29,2,1/1/73,163-7,
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACૡT LANGUAGE:English,-1,,,164,11,,,"{""A Gaitatzis"",""M ങR Trimble"",""J W Sander""}"
396821,Awareness of deficits and on-road driving performance,ita,Clinical Neuropsychologist,,,Some college,77,1/11/01,1158-78,?
340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,The British journal of radiologఐy,,,Some college,938,1/6/01,158-61,
184417,Sus[qxitles pn cgjudfojd axvrme ruspueskpsatilns: X apwnpxl anwlyaha ks vkmtgsbuwm wffxcds,,,,?,14,5,1/9/01,,"{""P Talke"",""J Caldwell"",""B Dodsont"",""C A Richardson""}"
729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,,,Int J Clin Ex־p Med,1940-5901,61,,1/15/01,2571,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
