id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,,eng,Proc R Soc Med,Psovtcgpiyv of ehs Glfal Sucieey lr Msdizive,?,64,,1/1/71,1187-9,
20010101,Wvojq Ciryv GP Nate Lolncqgnylceujn Vzssua XVA Edinynd.,ENG,Rhe Njugnsl of lnfeccllux dixrcwxa,Some college,1537-6613,,?,2/15/04,,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}"
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,Indian J Ophthalmol,0301-4738,54,44,1/6/12,283-4,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
169865,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",pol,,,,Some college,0,1/13/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}"
803Ĺ653,DiagnᎡosis and Management of Cutaneous B-cell Lymphoma.,eng,Dermatologic clinics,Dermatol Clin,1558-0520,33,4,1/15/10,835-40,"{""Lauren C Pinter-Brown""}"
98234,"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",std,,,,10,4,1/9/01,,
823730,Activation and blockade of beta adrenoceptors in common cardiac dis᭺orders,ĺeng,Br Med Bull,Some college,0007-1420,29,2,1/1/73,163-7,"{""B N Prichard"",""J W Black""}"
729712,20010101,Some college,American journal of respiratory and critical care medicine,,,164,1,1/1/07,43-49,"{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}"
396821,Awareness of deficits and on-road driving performance,Ekgkysg,Clinical Neuropsychologist,,,25,7,1/11/01,1158-78,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,E compqvajiec txsnoadmkh of vcu gwss agd nzwh ilmihilizqeijg gevkcea bsing rlectwunic kortap hkayhvh,,The British journal of radiology,,,Some college,?,1Ħ/6/01,16-851,"{""K. Fleming"",""K. භDonato"",""K. Leszczynski""}"
184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,,Transportation Research Part D-Transport and Environment,,1361-9209,14,?,1/9/01,317-325,"{""J. L. Li"",""P. Newcomb""}"
686927,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin Exp Med,1095-0491,8,6,1/15/01,10213-10224,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
278396,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,Acta Obstet Gynecol Scand,Some college,?,92,6,1/13/01,711-5,"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}"
965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,,Heart Rhythm,,,8,5,1/11/01,S40,"{""D. Jwmjnron-Erape"",""A. Bqrtoleccm"",""I. Xcfqloa"",""S. Pgxha"",""O. O. Barckrcp"",""P. Wantamevli"",""F. Pynhhs"",""Q. Ncrale"",""Z. Fanko Fosxi"",""Y. Pauawgphnp"",""C. Htgdavfkmo"",""K. B. Hurnvsrdt"",""X. Vvolocci"",""L. Dp Glsve""}"
53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,,,,35,8,1/11/0Œ1,1245-50,?
13601,20010101,egc,British Journal of Dermatology.,,0007-0963,140,?,5/1/99,919-21,"{""R S Lever"",""S A Holme""}"
668ĸ310,"A randomized controlled trial of Tai ⫖chi for balance, sleep quality and cognitive performance in elderly Vietnamese.",eng,Clinical Interventions In Aging,Zlht Lntvrv Zbuby,?,,-1,1/12/01,185-90,?
282987,"Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17",zuj,-1,,1469-493X,0,4,1/5/01,Cd004797,
478292,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,eng,Acta Neurochirurgica,,Jan-68,139,3,1/1/97,257-8,"{""Y Takagi"",""N Hashimoto"",""Y Goto""}"
,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,,Medicine and science in sports and exercise,,0195-9131,39,,1/7/06,991-5,"{""James C Martin"",""Ian Mayhew"",""Lee M Romer"",""Thomas Korff""}"
82614,"Lycopene metabolite, apo-10'-lycopenoic acid, inhibits diethylnitrosamine-initiated, high fat diet-promoted hepatic inflammation and tumorigenesis in mice.",eng,"Cancer prevention reseႄarch (Philadelphia, Pa.)",Some college,194ǉ0-6215,Some college,12,1/13/12,Some college,?
,A performance improvement process to tackle tachysystole,English,,,,40,0,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,
İ514411,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,any,,Cਖ਼ardiovasc Intervent Radiol,,37,6,1/ŗ14/12,1530-9,"{""Luca Maria Sconfienza"",""Ezio Lanza"",""Gianpaolo Cornalba"",""Dario Poretti"",""Catherine Cyteval"",""Pierre Viala"",""Francesco Sardanelli"",""Yann Thouvenin""}"
569841,.doolb ni AND surivsepreh amocras s'isopaK no amohpmyl s'nikgdoH-non detaicossa-SDIA ni yparehtomehc fo stceffE,,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,J. Clin. Oncol.,1527-7755,Some college,51,5/20/09,2496-502,"{""Stiela Nmb"",""Oaqrgjcq F Ka'lan"",""Ranbine Yn"",""Anxbdvdxa L Lsymte"",""Dicvxxa F Zjnunqrr"",""Snssm E Ksjrj"",""Hwuce J Deeubx"",""Kwn Lpt"",""Oeajneyhe F Oef"",""Jarn X Kabrqtq""}"
6207,Serum MMⶍPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease,,Svdbfpketlwt Jlucnao jg Gastrkxkvwrjkodi,,,,7,1/12/01,Some college,"{""Kaija Leena Kolho"",""Hanne Rintamaki"",""Taina Tervahartiala"",""Timo Sorsa"",""Laura Makitalo""}"
21910,Examining waiting placement in hospital: utilization and the lived experience.,eng,Global journal of health science,Glob J Health Sci,1916-9736,6,2,1/14/03,22-Dec,"{""Donna M Wilson"",""Jessica A Hewitt"",""Ralph Magnus"",""Jill Vihos"",""Karen Peterson"",""Nancy Barnes""}"
378490,"A prospective observational study of obesity, body composition, and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.",eng,The Journal of clinical psychiatry,Some college,?,69,12,1/8/12,1892-900,?
971878,Diminished A-cell secretion in the early phase of type I diabetes mellitus,English,Metabolism: Clinica෧l and Experimental,,,35,11,1/1/86,1074-1077,
793918,Strong stability and host specific bacterial community in faeces of ponies.,eng,PLoS One,PlˠoS one,1932-6203,,?,1/13/01,e75079,
819166,,English,,,15265161 (ISSN),9,9,,W1-W4,"{""G.T. Gillcch""}"
880881,[A case lr gkane Ngonmgx's glaia hy[vc[maxia dolgujqq fity ademlmjlmaflls rypegpjaris].,kor,-1,Kptewm J Gadfwofmtgrkm,?,52,6,1/8/12,384-8,"{""Seung Woo Park"",""Jae Bock Chung"",""Sang Kyum Kim"",""Si Young Song"",""Joo Won Chung"",""Ho Keun Kim"",""Joo Hee Seo"",""Seungmin Bang""}"
629530,.sisylana-atem a :murtceps emordnys yranoroc etuca eht ssorca nirapeh detanoitcarfnu htiw derapmoc nirapaxone nirapeh thgiew ralucelom-wol eht fo ytefas dna ycaciffE,eng,Eur. Heart J.,,0195-668X,j28,17,1/7/09,2077-86,"{""Carolyn H McCabe"",""Shaun G Goodman"",""Frans Van de Werf"",""David A Morrow"",""Elliott M Antman"",""Eugene Braunwald"",""Kenneth W Mahaffey"",""Marc Cohen"",""Ian B Menown"",""Sabina A Murphy"",""Charles Michael Gibson""}"
