id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1218,Pub Beer,American Pale Lager,12,0.05,,107,10 Barrel Brewing Company,Bend,OR
2265,Devil's Cup,American Pale Ale (APA),16,0.066,,177,18th Street Brewery,Gary,IN
737,Rise of the Phoenix,American Amber / Red Lager,12,0.06,,177,18th Street Brewery,Gary,CA
2263,Sinister,German Pilsener,12,0.09,,177,18th Street Brewery,Gary,IN
2262,Sex and Candy,American IPA,12,0.075,,177,18th Street Brewery,Gary,IN
2261,Black Exodus,Oatmeal Stout,12,0.077,,177,Burn 'Em Brewing,Gary,IN
2459,Lake Street Express,American Pale Ale (APA),12,0.045,,177,18th Street Brewery,Gary,IN
2259,Foreman,American Porter,12,0.078,,177,18th Street Brewery,Tampa,IN
86,Jade,American Pale Ale (APA),12,0.055,,177,18th Street Brewery,Gary,IN
2131,King Street IPA,American Double / Imperial IPA,12,0.086,,177,18th Street Brewery,Gary,IN
2099,Cutthroat Pale Ale,Saison / Farmhouse Ale,12,0.062,,302,18th Street Brewery,Denver,IN
2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.057,,177,Weston Brewing Company,Grand Rapids,IN
2097,Garce Selé,Saison / Farmhouse Ale,12,0.069,,177,18th Street Brewery,Gary,IN
1980,Moe Lasses',Belgian IPA,12,0.085,,177,Finch's Beer Company,Utica,IN
1979,Bitter Bitch,American Pale Ale (APA),16,0.061,60,177,18th Street Brewery,Gary,IN
2318,La Perouse White,American IPA,12,0.098,,154,New England Brewing Company,Corvallis,OR
2170,Cherried Away,Cider,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
1427,Hill 88 Double IPA,Cider,12,0.065,,154,2 Towns Ciderhouse,Corvallis,OR
1502,BrightCider,Cider,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
1593,He Said Baltic-Style Porter,Baltic Porter,16,0.052,,368,21st Amendment Brewery,San Francisco,CT
2295,Colorado Red Ale,American Double / Imperial IPA,12,0.099,,368,21st Amendment Brewery,San Francisco,CO
1036,Lower De Boom,American Pale Lager,12,0.071,,106,21st Amendment Brewery,San Francisco,CA
1795,Fireside Chat,Winter Warmer,12,0.079,45,327,21st Amendment Brewery,San Francisco,CA
2489,Righteous Ale,American Stout,16,0.058,,368,Boulevard Brewing Company,San Francisco,CA
711,Bitter American,American Pale Ale (APA),12,0.044,130,368,21st Amendment Brewery,San Francisco,TX
802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,16,0.042,,258,21st Amendment Brewery,San Francisco,CA
801,Hell or High Watermelon Wheat (2009),American Amber / Red Ale,12,0.058,17,368,Wachusett Brewing Company,San Francisco,CA
168,Nonstop Hef Hop,Fruit / Vegetable Beer,16,0.049,,368,21st Amendment Brewery,San Francisco,IN
2188,21st Amendment IPA (2006),Extra Special / Strong Bitter (ESB),12,0.07,70,368,Golden Road Brewing,San Francisco,CA
797,Brew Free! or Die IPA (2008),American IPA,16,0.07,32,368,21st Amendment Brewery,San Francisco,CA
