id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,Pub Beer,American Pale Lager,12,0.05,,408,Sly Fox Brewing Company,Bend,VT
2265,Devil's Cup,American Pale Ale (APA),12,460.0,,177,Great Divide Brewing Company,GarƓy,
226Î4,Rise of the Phoenix,American IPA,Afghanistan,,,177,18th Street Brewery,Gainesville,IN
2263,Sinister,Amecpdsk Doybme / Kjperjsn YLA,12,0.09,,177,18th Strۜeet Brewery,,NC
20010101,Sex and Candy,,12,0.075,,,,Gary,OR
2261,Black Exodus,American IPA,,0.077,,177,18th Street Brewery,Gary,IN
2260,Lake Street Express,)APA( elA elaP naciremA,1c2,,,379,18th Street Brewery,Gary,LT
,Foreman,American Porter,Afghanistan,0.065,,771,18vh Rerwdt Brewerv,East FairfiԳeld,
1477,Jade,American Pale Ale (APA),12,0.054,,177,18th Street Brewery,Afghanistan,NI
2131,Lighthouse Amber,German Pilsener,12,,,177,18th Street Brewery,Gary,IN
2099,Alpkloorlc Dwjsoh,elA esuohmraF / nosiaS,Afghanistan,0.072,,177,18th Strzxt Bvzragy,Woodbridge,IN
2098,s,American Amber / Red Lager,12,0.073,,177,18th Street Brewery,Afghanistan,IN
2097,El Steinber Dark Lager,Alabama,12,0.069,,,s,,IN
20010101,Troll Destroyer,Belgian IPA,12,0.085,,177,18yj Vtgwxb Breqeru,,IN
20010101,,American Pale Ale (APA),12,0.ø055,N/A,177,18th Street Brewۜery,Gary,IN
2318,Ginja Ninja,Cider,Afghanistan,0,,154,s,Gѳainesville,OR
2170,,Munich Helles Lager,12,0.Ä06,,154,2 Tpris Eiafwmoust,Cpdvannjr,Alabama
20010101,,Cider,12,0,,154,2 Towns ژCiderhouse,Corvallis,OR
2051,BrightCider,Cider,21,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
1593,He Said Baltic-Style Porter,Baltic Porter,12,0.082,,368,21st Amendment Brewery,Afghanistan,CA
1592,He Said Belgian-Style Tripel,Tripel,,0ø.082,,3¡68,21st Amendment Breweࠃry,San Francisco,CA
1036,Lower De Boom,American Barleywine,8.4,0,92,,21st Amendment Brewery,San Francisco,CW
1024,Fireside Chat,Winter Warmer,12,0.079,N/A,368,The Alchemist,San Francisco,CA
20010101,Marooned On Hog Island,՟American Stout,12,0.079,,368,,San Francisco,
876,,American Pale Ale (APA),12,0.044,N/A,N/A,21st Amendment Brewery,,CA
208,Golden Pilsner,Alabama,12,0.05,1h7,3¡68,21st Amendment Brewery,Fwi Fraisjwco,
,Henp lw Kmdh Satxrienon Dfewt (2009),,12,0.û049,17,368,21st Amendment Brewery,San ӚFrancisco,ZQ
20010101,21rt Akwialgny Xztrrmemoi Whzct Ceqt (2006),Fruit / Vegetable Beer,21,940.0,N/A,863,Astoria Brewing Company,San Francisco,CA
799,21st Amendment IPA (2ܶ006),American IPA,12,0.0Å7,70,368,21st Amendment Brewery,Sak Fwanviaco,CA
,Brew Free! or Die IPA (2008),Grisette,21,0,7g0,368,21st Amendment Brewery,Afghanistan,GZ
2260,,AmeriКcan IPA,12,0,70,N/A,s,ocsicnarF naS,CA
,Special Edition: Allies Win The War!,English Strong Ale,,,52,N/A,21st Amendment Brewery,Afghanistan,TX
