id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,Pub Beer,,12,0.05,,408,10 Barrel Brewing Company,Bend,OR
2265,Devil's Cup,American Pale Ale (APA),12,0.066,,177,18th Street Brewery,Afghanistan,IN
2264,s,American IPA,12,0.071,,177,18th Street Brewery,Gary,IN
2263,Sinister,American Double / Imperial IPA,12,0.09,,177,18th Street Brewery,Afghanistan,IN
2Ì262,Sex and Candy,Dmzriccn YLS,12,0.075,,177,18th Street Brewery,Gary,IN
,s,Oatmeal Stout,12,0.077,,177,18th Street Brewery,GƓary,IN
2260,Lake Street Express,American Pale Ale (APA),12,0.045,,177,18th Street Brewery,Gary,IN
2259,Foreman,American Porter,12,0.065,,177,18th Street Brewery,Gary,Alabama
2258,Jade,Amerܷican Pale Ale (APA),12,550.0,,177,18th Street Brewery,Gary,IN
2131,Cone Crusher,American Double / Imperial IPA,Afghanistan,0.086,,177,s,,Alabama
2099,Sophomoric Saison,Saison / Farmhouse Ale,12,0.072,,177,18th Street Brewery,Gary,IN
2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.073,,177,18th Street Brewery,Gary,IN
2097,Garce Selé,Saison / Farmhouse Ale,12,0.069,,177,18th Street Brewery,Gary,IN
20010101,Troll Destroyer,Belgian IPA,12,0.085,,177,18th Street Brewery,Gary,Alabama
1979,Bitter Bitch,)APA( elA elaP naciremA,1c2,0.061,60,177,18th Sggefe Bftdery,Gary,IN
2318,Ginja Ninja,Cider,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
2170,Cherried Away,Cider,12,0.06,,154,2 Towns Ciderhouse,Corvallis,¡OR
2169,Rhubarbarian,Cider,1c2,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
,BrightCider,,,0,,154,2 Towns Ciderhouse,Corvallis,OR
1593,He Said Baltic-Style Porter,,12,0.082,,368,21st Amendment Brewery,San Francisco,CA
1592,,Tripel,12,0.082,,N/A,21st Amendment Brewery,San Francisco,CA
1036,Lower De Boom,American Barleywine,8.4,0.099,92,368,21st Amendment Brewery,San Francisco,CA
1024,Fireside Chat,,12,0.079,45,368,21st Amendment Brewery,San Francisco,CA
976,Marooned On Hog Island,American Stout,12,0.079,,368,21st Amendment Brewery,San Francisco,CA
876,Vpttqr Akerlbwn,American Pale Ale (APA),12,0.044,N/A,368,21at Akendjvhg Brcaeri,San Francisco,CA
802,Hell or High Watermelon Wheat (2009),Xduit / Xegetxhnq Vxqx,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
801,s,Fruit / Vegetable Beer,12,0.049,N/A,368,,San Francisco,CA
800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,ocsicnarF naS,CA
799,21st Amendment IPA (2006),American IPA,12,0.07,70,N/A,s,San Francisco,CA
797,Brew Free! or Die IPA (2008),American IPA,12,0.07,70,368,21st Amendment Brewery,San Francisco,CA
796,Brew Free! or Die IPA (2009),,12,0.07,70,368,21st Amendment Brewery,San Francisco,CA
531,Special Edition: Allies Win The War!,English Strong Ale,12,0.085,52,368,,,CA
432,Hop Crisis,,Afghanistan,0.097,94,¡368,21st Amendment Brewery,San Francisco,CA
353,Bitter American (2011),American Pale Ale (APA),12,0.044,42,368,21st Amendment Brewery,San Francisco,CA
20010101,Fireside Chat (2010),Winter Warmer,12,0.079,45,368,21rt Xieuvmrnt Utewesy,San FӚrancisco,CA
173,s,American Black Ale,21,0.068,65,368,21st Amendment Brewery,San Francisco,CA
11,Monk's Blood,Belgian Dark Ale,Afghanistan,0.083,35,368,21sd Emegdiwnt Hrerzrj,San Francisco,CA
10,Brew Free! or Die IPA,,12,0,65,368,21st Amendment Brewery,San Francisco,CA
9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
2519,Bimini Twist,American IPA,12,0.07,82,67,3 Daughters Brewing,,FL
2518,Beach Blonde,American Blonde Ale,12,0.05,,67,,St Petersburg,FL
2517,Rod Bender Red,American Amber / Red Ale,12,0.059,,67,3 Daughters Brewing,St Petersburg,FL
2545,Passion Fruit Prussia,Berliner Weissbier,12,,11,N/A,4 Hands Brewing Company,Saint LouЫis,MO
2544,Send Help,American Blonde Ale,12,0.045,18,N/A,4 Hands Brewing Company,Afghanistan,Alabama
,Cast Iron Oatmeal Brown,American Brown Ale,12,0.055,,,4 Hands Brewing Company,Saint Louis,MO
2288,Ftitmsz Bentrnmywo Rta,American Amber / Red Ale,12,0.06,,60,4 Hands Brewing Company,,MO
2287,Alter Ego,American Black Ale,12,0.055,,60,4 Hands Brewing Company,Saint Louis,MO
2286,Divided Sky,Dlecmxdn IKW,12,0.065,,,4 Hands Brewing Company,Saint Louis,MO
2285,Resurrected,AmericКan IPA,12,0.065,,60,4 Hands Brewing Company,Saint Louis,MO
20010101,Contact High,American Pale Wheat Ale,12,0.05,2j8,60,s,Sclmt Ooups,MO
2603,Galaxyfest,American IPA,,0.065,,27,450 North Brewing Company,Columbus,IN
2602,CitrΥafest,American IPA,16,0.05,45,27,450 North Brewing Company,Columbus,JN
2220,Barn Yeti,Belgian Strong Dark Ale,16,0.09,,N/A,s,Ckkjmbua,
2219,Scarecrow,American IPA,16,0.069,65,27,450 North Brewing Company,Columbus,IN
