src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
aa,AA-1007-MIA-PHX,6:00 a.m.,5:08 p.m.,6:23 p.m.,7:55 p.m.
flightaware,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
myrateplan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
boston,AA-1007-MIA-PHX,10:25 a.m.,5:08 p.m.,11:50 p.m.,7:55 p.m.
businesstravellogue,UA-414-LAX-SFO,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightaware,AA-1007-MIA-PHX,4:55 p.m.,2:55 p.m.,8:05 p.m.,7:55 p.m.
flightexplorer,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,2:45 p.m.,1:43 p.m.
flights,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,12:09 p.m.
flightstats,AA-1007-MIA-PHX,1:33 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightview,AA-1007-MIA-PHX,7:10 p.m.,11:08 p.m.,8:05 p.m.,9:14 a.m.
flylouisville,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,2:20 p.m.,7:55 p.m.
flytecomm,AA-1007-MIA-PHX,7:25 a.m.,7:22 a.m.,8:05 p.m.,7:55 p.m.
foxbusiness,AA-789-ORD-DEN,1:00 p.m.,7:05 a.m.,7:25 p.m.,7:55 p.m.
gofox,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flights,CO-47-IAH-LAX,3:35 p.m.,5:08 p.m.,8:05 p.m.,6:19 a.m.
myrateplan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,7:45 a.m.,7:55 p.m.
helloflight,AA-1007-MIA-PHX,7:35 a.m.,6:55 p.m.,8:05 p.m.,7:55 p.m.
orbitz,AA-1007-MIA-PHX,4:55 p.m.,2:55 p.m.,8:05 p.m.,7:55 p.m.
panynj,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
mytripandmore,AA-1007-MIA-PHX,4:55 p.m.,10:19 a.m.,8:05 p.m.,7:55 p.m.
wunderground,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,2:45 p.m.,7:55 p.m.
aa,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,9:35 a.m.,10:04 a.m.
airtravelcenter,AA-1165-JFK-MIA,11:25 p.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
allegiantair,AA-1165-JFK-MIA,1:05 p.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
boston,AA-1165-JFK-MIA,7:10 a.m.,6:55 p.m.,10:34 a.m.,10:04 a.m.
businesstravellogue,CO-58-DEN-IAH,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
orbitz,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightexplorer,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
aa,AA-649-ORD-SNA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightstats,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,11:50 p.m.,10:04 a.m.
aa,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flylouisville,AA-1165-JFK-MIA,10:15 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flytecomm,AA-484-DFW-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
foxbusiness,UA-828-SFO-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
boston,AA-1165-JFK-MIA,7:10 a.m.,7:22 a.m.,10:06 a.m.,10:04 a.m.
helloflight,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
mia,AA-431-MIA-SFO,7:55 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
myrateplan,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
mytripandmore,AA-1165-JFK-MIA,4:00 p.m.,7:22 a.m.,10:40 a.m.,1:14 p.m.
orbitz,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,9:43 a.m.
foxbusiness,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
quicktrip,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
travelocity,AA-1165-JFK-MIA,7:35 a.m.,7:22 a.m.,1:40 p.m.,10:04 a.m.
weather,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
world-flight-tracker,AA-1165-JFK-MIA,4:00 p.m.,7:22 a.m.,1:39 p.m.,10:04 a.m.
wunderground,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,3:43 p.m.
aa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,1:40 p.m.
myrateplan,AA-1221-MCO-ORD,3:50 p.m.,8:23 p.m.,9:45 p.m.,7:25 p.m.
flightstats,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
airtravelcenter,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
businesstravellogue,AA-1221-MCO-ORD,8:25 p.m.,9:14 a.m.,9:45 p.m.,9:53 p.m.
flightarrival,UA-3099-PHX-PHL,8:00 p.m.,8:23 p.m.,9:45 p.m.,1:19 p.m.
orbitz,AA-2050-ORD-MIA,8:00 p.m.,8:23 p.m.,11:50 a.m.,9:53 p.m.
flightexplorer,AA-1221-MCO-ORD,8:00 p.m.,7:31 a.m.,3:50 p.m.,9:53 p.m.
weather,UA-37-EDI-EWR,8:00 p.m.,8:23 p.m.,9:45 p.m.,11:58 a.m.
flightstats,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,11:35 a.m.,9:53 p.m.
flightview,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flylouisville,UA-414-LAX-SFO,8:00 p.m.,8:23 p.m.,10:31 a.m.,9:53 p.m.
flytecomm,AA-1221-MCO-ORD,7:53 a.m.,7:31 a.m.,9:10 p.m.,9:53 p.m.
myrateplan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,10:36 a.m.
gofox,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
helloflight,AA-1221-MCO-ORD,8:00 p.m.,5:56 a.m.,9:45 p.m.,9:53 p.m.
iad,AA-4198-ORD-CLE,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flylouisville,AA-59-JFK-SFO,7:00 a.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
allegiantair,UA-828-SFO-ORD,8:00 p.m.,8:23 p.m.,8:27 a.m.,9:53 p.m.
orbitz,AA-2957-DFW-CVG,8:00 p.m.,8:23 p.m.,9:55 a.m.,9:31 a.m.
weather,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,10:20 a.m.,11:50 p.m.
panynj,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,11:50 p.m.,9:53 p.m.
quicktrip,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
travelocity,UA-3925-IAD-ORF,6:00 a.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
usatoday,AA-1221-MCO-ORD,8:00 p.m.,7:22 a.m.,9:45 p.m.,9:53 p.m.
weather,AA-4330-CVG-ORD,8:00 p.m.,6:30 p.m.,9:45 p.m.,7:39 p.m.
world-flight-tracker,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
wunderground,AA-1221-MCO-ORD,2:30 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
aa,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,11:12 a.m.
airtravelcenter,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:16 p.m.
flightexplorer,AA-1279-DFW-PHX,1:00 p.m.,5:22 p.m.,2:35 p.m.,5:05 p.m.
boston,AA-1733-ORD-PHX,1:29 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
businesstravellogue,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:13 p.m.
dfw,AA-1279-DFW-PHX,4:15 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
flightarrival,AA-1279-DFW-PHX,6:45 p.m.,2:04 p.m.,10:15 p.m.,3:30 p.m.
flightaware,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,12:29 a.m.
flightexplorer,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,12:55 p.m.,4:23 p.m.
flights,CO-62-IAH-EWR,1:00 p.m.,10:18 a.m.,2:35 p.m.,3:30 p.m.
flightstats,AA-2268-PHX-ORD,1:00 p.m.,2:04 p.m.,3:50 p.m.,3:30 p.m.
flightview,AA-1279-DFW-PHX,1:00 p.m.,8:12 a.m.,2:25 p.m.,3:30 p.m.
flylouisville,CO-1694-LAX-IAH,1:00 p.m.,2:04 p.m.,4:05 p.m.,3:30 p.m.
flytecomm,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,7:51 a.m.
foxbusiness,AA-1279-DFW-PHX,1:00 p.m.,11:01 a.m.,2:35 p.m.,3:30 p.m.
gofox,AA-446-DFW-PHL,9:45 a.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
helloflight,AA-1279-DFW-PHX,6:45 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
myrateplan,AA-204-LAX-MCO,1:00 p.m.,2:04 p.m.,2:35 p.m.,6:38 p.m.
orbitz,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
panynj,AA-1279-DFW-PHX,11:55 a.m.,2:04 p.m.,2:35 p.m.,4:56 p.m.
quicktrip,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
travelocity,AA-1279-DFW-PHX,1:00 p.m.,2:48 p.m.,2:35 p.m.,3:30 p.m.
weather,AA-1279-DFW-PHX,7:45 p.m.,2:04 p.m.,2:35 p.m.,11:56 a.m.
world-flight-tracker,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
wunderground,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,5:35 a.m.,3:30 p.m.
aa,AA-1434-DFW-MCO,2:55 p.m.,1:32 p.m.,10:35 a.m.,10:36 a.m.
airtravelcenter,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:40 a.m.,10:36 a.m.
allegiantair,AA-1434-DFW-MCO,8:55 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightexplorer,AA-1434-DFW-MCO,7:10 a.m.,7:21 a.m.,5:25 p.m.,10:36 a.m.
travelocity,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,2:15 p.m.,7:40 a.m.
quicktrip,AA-1434-DFW-MCO,7:15 a.m.,3:58 p.m.,10:35 a.m.,10:36 a.m.
flightexplorer,AA-518-MIA-JFK,7:15 a.m.,7:21 a.m.,10:31 a.m.,11:12 a.m.
gofox,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightstats,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightview,UA-233-LAX-JFK,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightwise,AA-1434-DFW-MCO,7:15 a.m.,10:55 a.m.,10:35 a.m.,10:36 a.m.
world-flight-tracker,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
foxbusiness,AA-1434-DFW-MCO,7:15 a.m.,4:15 p.m.,10:35 a.m.,10:36 a.m.
quicktrip,AA-1434-DFW-MCO,7:15 a.m.,8:42 a.m.,10:35 a.m.,10:36 a.m.
gofox,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
helloflight,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
ifly,AA-1434-DFW-MCO,7:15 a.m.,11:30 a.m.,12:15 a.m.,10:36 a.m.
mco,AA-3063-SLC-LAX,2:30 p.m.,7:21 a.m.,10:35 a.m.,3:30 p.m.
myrateplan,AA-1434-DFW-MCO,7:15 a.m.,10:19 a.m.,5:00 p.m.,10:36 a.m.
orbitz,AA-3979-CVG-ORD,7:15 a.m.,6:55 p.m.,10:35 a.m.,10:36 a.m.
panynj,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
quicktrip,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,3:15 p.m.,10:36 a.m.
travelocity,AA-1434-DFW-MCO,7:05 a.m.,7:21 a.m.,10:35 a.m.,12:09 p.m.
mytripandmore,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
den,AA-1434-DFW-MCO,3:50 p.m.,7:21 a.m.,11:05 a.m.,7:25 p.m.
usatoday,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,11:53 a.m.,10:36 a.m.
flytecomm,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,9:53 p.m.
airtravelcenter,AA-3468-CVG-MIA,11:55 p.m.,7:27 a.m.,5:50 a.m.,5:50 a.m.
boston,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
boston,AA-1522-SFO-ORD,9:05 a.m.,12:12 p.m.,5:50 a.m.,5:50 a.m.
businesstravellogue,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,7:03 p.m.,5:50 a.m.
flightexplorer,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,11:01 a.m.
flights,AA-1007-MIA-PHX,11:55 p.m.,7:30 a.m.,5:50 a.m.,5:50 a.m.
flightstats,AA-1522-SFO-ORD,6:00 a.m.,8:51 a.m.,10:54 a.m.,5:50 a.m.
flightview,AA-1522-SFO-ORD,11:55 p.m.,5:08 p.m.,1:39 p.m.,10:04 a.m.
flylouisville,AA-415-BOS-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
flylouisville,AA-1522-SFO-ORD,11:55 p.m.,12:35 p.m.,9:54 a.m.,2:00 p.m.
flightarrival,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
gofox,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,4:31 p.m.,10:30 p.m.
ord,AA-1522-SFO-ORD,11:55 p.m.,3:27 p.m.,7:53 p.m.,5:50 a.m.
myrateplan,CO-1193-EWR-MCO,8:20 p.m.,8:04 a.m.,5:50 a.m.,4:56 p.m.
orbitz,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
ord,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,2:35 p.m.,9:13 a.m.
panynj,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,8:27 a.m.,5:50 a.m.
quicktrip,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,10:06 a.m.,5:50 a.m.
ifly,AA-1522-SFO-ORD,6:00 a.m.,11:55 p.m.,2:20 p.m.,5:50 a.m.
usatoday,AA-1522-SFO-ORD,9:05 a.m.,11:55 p.m.,5:50 a.m.,3:04 p.m.
ua,AA-1522-SFO-ORD,4:00 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
world-flight-tracker,AA-1522-SFO-ORD,2:55 p.m.,11:55 p.m.,7:45 a.m.,5:50 a.m.
aa,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
airtravelcenter,UA-843-LAX-ORD,9:05 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
allegiantair,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,9:20 p.m.,4:56 p.m.
boston,AA-1544-SAN-ORD,11:25 a.m.,11:25 p.m.,5:25 p.m.,4:56 p.m.
businesstravellogue,AA-1544-SAN-ORD,3:35 p.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
flightarrival,UA-3373-IAD-PHL,11:25 a.m.,11:40 a.m.,7:03 p.m.,6:19 a.m.
flightexplorer,AA-1544-SAN-ORD,7:45 p.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
ifly,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,6:19 a.m.
flights,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
flylouisville,UA-828-SFO-ORD,11:25 a.m.,7:15 p.m.,8:00 a.m.,4:56 p.m.
flytecomm,AA-404-MIA-MCO,11:25 a.m.,11:40 a.m.,5:25 p.m.,2:50 p.m.
foxbusiness,AA-59-JFK-SFO,7:10 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
gofox,AA-1544-SAN-ORD,11:25 a.m.,10:54 a.m.,5:25 p.m.,4:56 p.m.
wunderground,AA-1544-SAN-ORD,11:25 a.m.,12:41 p.m.,5:25 p.m.,4:56 p.m.
myrateplan,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
mytripandmore,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
orbitz,AA-1544-SAN-ORD,2:30 p.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
flightstats,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
panynj,AA-415-BOS-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,3:04 p.m.
travelocity,CO-1694-LAX-IAH,2:55 p.m.,11:40 a.m.,1:45 p.m.,4:56 p.m.
usatoday,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
weather,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
aa,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
airtravelcenter,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,4:47 p.m.
allegiantair,AA-1640-MIA-MCO,6:30 p.m.,10:19 a.m.,9:45 p.m.,7:25 p.m.
boston,UA-1500-IAH-GUA,6:30 p.m.,6:30 p.m.,11:50 p.m.,7:25 p.m.
businesstravellogue,AA-4198-ORD-CLE,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
foxbusiness,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,9:32 a.m.
flightaware,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
travelocity,UA-2314-ATL-PHL,6:30 p.m.,8:39 p.m.,5:05 p.m.,7:25 p.m.
