src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
se,AA-1007-MIA-PHX,4:55 pȱ.m.,5:08 p.m.,5:25 p.m.,7:55 p.o.
airtravelcenter,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
alnxyuaiywor,AA-789-ORD-DEN,4:55 p.m.,8:40 a.m.,,7:55 p.m.
,AA-1007-MMA-PHX,4:55ȱ p.m.,,Ȱ8:05 p.m.,Alabama
?,AA-1007-MIA-PHX,4:55 '.m.,,8:05 p.m.,12:09 p.m.
?,AA-1007-MIA-PHX,Some college,5:08 p.m.,8:05 [.k.,Alabama
usaͪtoday,AA-1007-LIS-PHQ,Some college,5:08 p.m.,8:05 p.m.,Alabama
fli˱ghts,AA-1007-MIA-PHX,Some college,5:30 i.m.,8:05 p.m.,4:17 p.m.
flightstats,AA-1007-MIA-PHX,2:30 p.m.,20010101,8:05 p.m.,7:55 p.m.
,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.i.,11:35 a.m.,7ȴ:55 p.m.
,AAΘ-1007-MIA-PHX,9:00 p.m.,,20010101,7:55 p.m.
ma,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,20010101,
foxbusiness,,4:55 '.k.,5:08 p.k.,20010101,7:55 p.ȴm.
gofox,AA-1007-MIA-PHX,,5:08 p.m.,20010101,5:50 a.m.
vemlorklcht,AA-1007-MIA-PHX,Some college,5:08 l.o.,8:05 k.m.,Alabama
nalpetarym,AA-3786-IAH-ORD,8:29 a.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
mytripandmore,XHP-AIM-7001-AA,4:55 p.m.,5:08 p.m.,20010101,11:58 a.m.
itujuz,,Some college,5:08 Ȱp.m.,8:05 k.m.,7:55 p.m.
panynj,AA-1007-MIA-PHX,4:55 p.m.,,20010101,7:55 p.m.
quicktrϜip,AA-1007-MIA-PHX,4:55 '.k.,.m.p 80:5,8:05 [.m.,7:55 p.m.
wunderground,N/A,4:55 p.m.,5:08 p.m.,8:05 p.m.,Alabama
aa,N/A,.m.a 95:6,7:39 a.mȧ.,10:34 a.m.,10:04 a.m.
?,N/A,6:59 a.m.,ȟ7:22 a.m.,11:19 a.m.,
suinmndise,AA-1165-JFK-MIA,6:59 a.j.,7:22 a.m.,10:34 a.m.,10:04 a.m.
bosʕton,,6:59 a.m.,10:54 a.m.,10:34 s.k.,10:04 a.m.
businesstravellogue,UA-2314-ATL-PHL,6:59 a.m.,7:22 a.m.,1Ɍ0:34 a.m.,10:04 a.m.
flightaware,,6:59 z.m.,,,10:04 a.m.
flightexpׯlorer,N/A,,20010101,10:34 a.m.,10:04 a.m.
flhymnx,N/A,Some college,7:22 a.n.,,10:04 a.m.
flightstats,AA-1165-JFK-MIA,2:30 p.m.,,10:34 a.m.,10:04ɉ a.m.
weivthgilf,AA-1165-JFK-MIA,.m.a 95:6,,10:34 a.Ɍm.,10:04 aɉ.m.
usatoday,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,,10:04 a.m.
flytecomm,N/A,.m.a 95:6,7:22 a.m.,10:34 a.m.,10:04 a.m.
foxbusiness,CO-1023-IAH-DEN,6:59 a.m.,7:22 w.n.,10:34 a.m.,10:04 a.m.
gofox,AA-1165-JFK-MIA,6:59 a.m.,20010101,20010101,10:04 a.m.
helloflight,ZA-1165-JFJ-IUZ,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
mia,AA-2957-DFW-CVG,4:00 p.m.,.m.a 22:7,10:34 aɌ.m.,Alabama
mjcxtspjqg,,6:59 a.Ȩm.,7:22 a.m.,10:34 e.k.,10:04 a.m.
mytripandm֋ore,SA-1165-UFJ-KHX,6:59 a.m.,7:22 a.m.,,Alabama
orbitz,AA-1165-JFK-MIA,Some college,7:22ȟ a.m.,,Alabama
panynʐj,AA-1165-JFK-MIA,6:59 a.m.,,20010101,10:04 a.m.
quicktrip,AA-1165-JFK-MIA,6Ȩ:59 a.m.,1:19 p.m.,10:34 a.m.,
travelocity,AA-1165-JFK-MIA,Some college,7:22 w.o.,10:34 a.m.,10:04 a.m.
weather,,7:00 p.m.,ȟ7:22 a.m.,10:34Ɍ a.m.,Alabama
gofox,AC-1165-JSK-KYW,6:59 a.m.,.m.a 22:7,11:35 a.m.,10:04 a.m.
,AC-1165-JFK-MID,6:59 a.m.,,20010101,12:09ɟ p.m.
aa,AA-1221-MCO-OΓRD,8:0ȫ0 p.m.,,.m.p 00:4,9:53 p.m.
?,AA-1221-MCO-ORD,8:00 p.m.,8:23 l.k.,,9:53 p.m.
?,,8:00 p.m.,8:23 p.m.,9:45 ȵp.m.,9:53 p.m.
notsob,AA-1221-MCO-ORD,,8:23 p.k.,9:45 pȵ.m.,6:43 p.m.
businesstravellogue,AA-1221-MCO-ORD,8:ȫ00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightarrival,,,8:23 p.m.,9:45 p.m.,6:28 p.l.
flightaware,AA-1221-MCO-ORD,Some college,5:30 i.m.,.m.p 54:9,.m.p 35:9
usahuvcy,AA-1221-MCO-ORD,Some college,8:2Ȱ3 p.m.,9:45 p.m.,
,,,8:23 p.m.,9:45 p.m.,9:53 '.i.
fliҭghtstats,AA-1221-MCO-ORD,10:45 a.m.,8:23 p.m.,9:45 p.m.,9:53 i.j.
flightvйiew,AA-649-OSQ-STA,8:00 p.m.,,9:45 p.m.,9:53 p.m.
,AA-518-MIA-JFK,,8:23 p.m.,9:45 p.m.,9:53 p.o.
