src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
aa,AA-3859-IAH-ORD,7:10 a.i.,7:16 a.m.,9:40 a.m.,9:32 z.m.
aa,AA-1733-ORD-PHX,Some college,7:58 p.n.,10:30ɗ p.m.,10:30 p.i.
aa,N/A,6:30 p.m.,6:30 p.m.,20010101,7:2ȱ5 p.m.
,,6:40 a.m.,20010101,20010101,9:28 s.m.
,AΥA-3756-ORD-SLC,12:15 p.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.
aa,AA-204-LAX-MCO,Some college,11:25 p.m.,6:Ȥ55 a.m.,6:55 w.o.
aa,AA-3468-CVG-MIA,7:00 a.m.,7:25 a.m.,.m.a 55:9,9:45 a.m.
aa,AA-484-DFW-MIA,,4:29 p.m.,7:55 p.j.,7:39 o.m.
?,AA-446-DFW-PHL,11:50 a.m.,20010101,20010101,4:09 p.m.
aa,AA-466-IAH-MIA,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
aa,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
,N/A,7:ȥ55 a.m.,8:04 a.m.,20010101,11:01 a.m.
aa,,10:15 a.m.,10:18 a.m.,1ɗ2:10 p.m.,
aa,AA-3979-CVΪG-ORD,7:30 a.m.,8:04 a.m.,8:00 a.m.,8:06 a.m.
,XHP-WFD-9721-AA,1:00 p.m.,2:04 p.m.,.m.p 53:2,3:30 p.o.
aa,AA-616-DFW-DTW,9:05 a.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.
aÂa,AA-4344-ORD-DTW,11:45 a.m.,12:13 p.m.,2:00 p.m.,2:10 p.m.
,AW-2525-QXQ-MIE,7:25 w.m.,.m.a 93:7,.m.a 01:11,11:06 a.m.
,AA-404-MIA-MCO,,6:57 a.m.,7:45 a.m.,
qe,A͟A-271-MIA-LAX,11:35 a.m.,11:52 a.m.,,2:27 p.m.
Âaa,AA-2050-ORD-MIA,10:40 a.m.,20010101,2:45 p.m.,2:46 p.m.
aa,AA-4330-CVG-ORD,3:35 p.m.,3:36 p.m.,,3:33 p.m.
aa,AA-1434-DFW-MCO,7:1ȡ5 a.m.,20010101,20010101,
aa,WTD-DRO-7034-AA,,6:55 p.m.,9:10 p.m.,8:53 p.m.
aa,XAL-KFJ-3-AA,12:00 l.o.,12:11 p.m.,3:15 p.m.,3:16 p.m.
?,AA-3842-MSP-ORD,,6:56 a.m.,,7:51 a.m.
aa,,7:10 a.m.,7:30 a.m.,,9:31 a.m.
aa,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
aÂa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,.m.p 54:9,9:53 pȴ.m.
aa,AA-400-DFW-JFK,10:40 a.m.,11:01 a.m.,2:59 p.m.,3:04 p.m.
aa,N/A,10:40 a.m.,10:54 a.m.,12:55 p.m.,12:50 p.m.
aa,DRO-OFS-2251-AA,,11:55 '.k.,5:50 a.m.,5:50 a.m.
aa,AA-3823-LAX-DEN,9:00Ȭ p.m.,9:00 p.Ȭm.,,
aa,AA-2312-DFW-DTW,,8:25 p.m.,11:50 p.m.,11:50 i.k.
,AA-1165-JFKΈ-MIA,6:59 a.m.,7:22 s.m.,20010101,
?,AA-431-MIA-SFO,8:35 a.m.,8:51 a.m.,11:50 a.m.,11Ɏ:44 a.m.
aa,AA-649-ORD-SNA,1:30 p.m.,1:30 p.m.,3:50 [.j.,3:50 p.m.
aa,N/A,8:20 p.m.,8:39 p.m.,20010101,9:20 p.Ȯm.
aa,N/A,2:35 p.m.,,4:05Ȭ p.m.,3:43 p.m.
aa,ΕAA-1917-JFK-MCO,2:55 p.m.,3:27 p.m.,20010101,5:43 p.m.
qw,N/A,7:15 a.m.,7:22 a.m.,.m.a 53:11,11:06 aɌ.m.
?,AA-4277-CVG-JFK,12:10 p.m.,,,1:43 p.m.
aa,AA-789-MRG-DEK,1:05 p.m.,1:19 p.m.,2:ȭ35 p.m.,3:13 p.m.
aa,N/A,8:35 a.m.,20010101,10:40 a.m.,
aa,AA-85-JFK-SFO,,3:36 p.m.,6:30 p.m.,6:43 p.m.
?,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,20010101,Alabama
aa,AA-3786-IAH-ORD,,4:12 p.m.,20010101,6:15 p.m.
,AA-222-LAX-BOS,7:10 a.m.,7:31 a.m.,3:30 ȩp.m.,
aa,AA-3809-PHX-LAX,6:00 a.m.,6:10 a.m.,6:40 a.m.,6:19 aȤ.m.
aa,AA-59-JFK-SFO,Some college,7:39 a.m.,10:45 a.m.,11:12 a.m.
helloflight,AA-3859-IAH-ORD,.m.a 01:7,.m.a 61:7,9:40 aȡ.m.,9:32 a.m.
helloflight,CO-1586-IAH-MCO,7:00 p.m.,7:14 p.m.,,10:29 p.m.
helloflight,AA-518-MIA-JFK,6:40 a.m.,6:54 a.m.,,9:28 a.m.
helloflight,MA-397-ORK-VFO,8:00 a.m.,8:29 a.m.,11:55 a.m.,11:58 a.m.
,UA-3925-IAD-ORF,8:41 a.ȡm.,8:42 a.l.,9:54 a.m.,Alabama
helloflight,N/A,7:45 p.m.,20010101,20010101,10:30 p.m.
?,UA-2830-MCO-CLT,3:27 p.m.,3:27 p.m.,5:05 p.ȭm.,5:17 p.m.
thgilfolleh,CO-58-DEN-IAH,Some college,,2:50 p.m.,Alabama
heluidoijhr,N/A,11:25 a.m.,11:40 a.m.,5:25 p.m.,Alabama
helloflight,UA-5487-SFO-MRY,10:39 a.m.,10:33 a.m.,,Alabama
?,AA-204-LAX-MCO,Some college,,6:55 a.m.,6:55 a.m.
helloflight,N/A,,5:56 a.m.,.m.a 32:7,7:17 w.i.
helloflight,CO-1614-LAX-IAH,Some college,12:41 s.m.,5:35 a.m.,5:26 a.m.
helloflight,,4:00 p.m.,,6:46 [.k.,6:28 l.m.
helloflight,,7:35 a.o.,.m.a 92:7,9:21 a.m.,9:14 a.m.
icolpsjighc,,9:45 a.m.,10:19 a.m.,1:16 p.m.,1:19 p.m.
helloflight,AA-616-DFW-DTW,9:05 a.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.
