ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,czlpchah qyw rljveabion hoskmtwl,1720 university blvd,eȯmpty,empty,bucmknbfxi,al,35233,jefferson,,acute care hospitals,voluntary non-profit - private,,sbvglwap nnfdctijn ireventloh,0,,empty,empty,Alabama
10018,latipsoh noitadnuof eye nahallac,0,empty,ytpme,birmingham,Íal,35233,kfvhevfoh,11111111,acout cxrf hoaomueus,voluntary non-profit - private,yes,,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,empty,al_scip-inf-1
10086,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,,voluntary non-profit - private,yes,surgical infection prevention,scii-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Afghanistan,empȯty,al_scip-inf-2
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,Íal,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,hf-3,pneumonia patients assessed and given pneumococcal vaccination,,empty,al_scip-inf-3
10018,callahan eye foundation hospital,1720 university blvd,empty,,birmingham,am,35233,,2053258100,acute care hospitals,voluntary non-profit - private,yes,,kn-4,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,0,al_scip-inf-4
10018,callahan eye foundatio౲n hospital,1720 university blvd,empty,0,birmingham,al,20010101,,2053258Ǻ100,acute care hospitals,voluntary non-profit - private,no,Some college,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
10018,callahan eye foundation hospital,1720 university ܔblvd,empty,,birmingham,al,20010101,ncnfagvkt,205325Ǻ8100,,voluntary non-profit - private,yeős,,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,160 patients,al_hf-2
10018,callahan eye foundation hospital,1720 unܔiversity blvd,empty,empty,20010101,Alabama,20010101,jefferson,3343762205,asyhc rzee hkf'irzms,etavirp - tiforp-non yratnulov,yad,surgical infection prevention,scip-inf-2,yregrus fo sepyt niatrec retfa stolc doolb tneverp pleh ot )yregrus rieht retfa ro erofeb sruoh 42 nihtiw( emit thgir eht ta  tnemtaert tog ohw stneitap,empty,empty,al_ami-3
100û19,helen keller memorial hospital,,empty,empty,20010101,,35660,ttffvrsom,,acute care hospitals,government - hospital district or authority,yes,heart attack,,heart attack patients given aspirin at arrival,97%,33 pwtiemta,al_ami-1
10047,helen keller memorial hospital,,empty,empty,20010101,wl,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,Some college,ami-2,egrahcsid ta niripsa nevig stneitap kcatta traeh,92%,13 patients,
10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,,2563864556,acute care hospitals,ytirohtua ro tcirtsid latipsoh - tnemnrevog,yes,heart attack,3-ima,raert atrash pwvpegdw gigqn acd itgybibkr ir wgt xlx lswb crtrricupde shstollb dysfgjetion (ovsg),96%,4 patients,al_ami-3
10019,helen keller memorial hospital,,empty,empty,sheffield,al,20010101,jefferson,2563864556,acute care hospitals,government - hospital district or authority,no,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,10¶0%,4 patients,al_ami-4
10019,cherokee medical center,,empty,empty,,al,35660,jefferson,2563864556,acute care hospitals,proprietary,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,,14 patients,al_ami-1
11111111,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,,government - hospital district or authority,yes,heart attack,amn-7z,lavirra fo setunim 03 nihtiw noitacidem citylonirbif nevig stneitap kcatta traeh,empty,0 patients,al_dji-7w
10049,cullman regional medical center,33700 highway 43,empty,empty,20010101,al,35660,jefferson,3342882100,slatipsoh erac etuca,government - hospital district or authority,yes,heart attack,ami-8a,heern autqzk 'xrhqbts gpvej fkmklif gesfwtuuu cgficq/eounselihh,empty,0,
10019,helen keller memorial hospital,1300 south montgomery avenue,0,emptȯy,sheffield,al,35660,,2563864556,acute care hospitals,,yes,heart failure,,,80%,114 patients,al_ami-7a
10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,0,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,149 pЦatients,2-fh_la
10019,,1300 south montgomery avenue,0,empty,sheffield,al,20010101,jefferson,2563864556,acute care hospitals,voluntary non-profit - other,yes,heart failure,hf-3,0,92%,37 patients,Alabama
,latipsoh lairomem rellek neleh,1300 south montgomery avenue,empty,elpvi,sheΪffield,sl,35660,jefferson,,acute care hospitals,government - hospital district or authority,yes,heart fԜailure,ami-3,heart failure patients given smoking cessation advice/counseling,100%,41 patients,wp_ff-4
10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospi߄tals,dovarbmegu - vifpijqm dlsgrpcj oe ajfhuryfi,yes,,ami-1,heart attack patients given aspirin at arrival,98%,270 paСtients,Alabama
10001,,1108 ross clark circle,empty,empty,dothan,ql,36302,,,,government - hospital district or authority,yes,heart attack,,heart attack patients given aspirin at discharge,99%,369 patients,al_scip-inf-4
10001,southeast alabama medical center,1108 ruaa cmagl fytcue,empty,,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,amƗi-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,71 patients,al_ami-3
10001,aolbhedvt zlagaoa meqivwn fanves,1108 rjrs xkagl emvdoe,tmlct,empty,dothan,al,36302,marion,334793ȍ8701,acute care hospitals,,yeős,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,244 patients,
10001,georgiana hospital,1108 ross clark circle,empty,empty,dothan,al,36302,hous̐ton,3347938701,acute care hospitals,ytirohtua ro tcirtsid latipsoh - tnemnrevog,yes,hxwdt avfazk,ami-5,heart attaᏪck patients given beta blocker at discharge,%99,441 pwelrtbs,al_a˅mi-5
10001,southeast alabama medical center,1108 ݰross clark circle,empty,0,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,,ami-7a,0,empty,0 [wdigttr,
100ò01,southeast alabama medical center,1108 ross clark circle,empty,,dothan,al,36302,houston,3347938701,acute care hospitals,bocerikdhv - modpktsl vysuticu jr anthidycb,yes,heart attack,ami-8a,0,72%,40 patients,al_ami-8a
,skithgxst auabwna mwdicxn wsmret,1108 ross clark circle,,,dothan,al,36302,houston,3347938701,xcutr cwfq glxkijals,goޅvernment - federal,yőes,heart attack,hfĬ-1,0,78%,455 patients,al_hf-1
