ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,,0,empty,empty,birminghОam,la,35233,Afghanistan,2053258100,acute care hospitals,Alabama,yőes,surgical infection prevention,scik-ccxc-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
10018,callahan eye foundation hospital,1720 university blvd,empty,wkpbr,20010101,,35233,ggfvgrsii,2053258100,,,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,gj'ty,al_scip-inf-1
10018,callahan eye foundation hospital,0,empty,empty,bygmnngjqm,Alabama,35233,mafgzxsum,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,dcik-ihf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,ytpme,al_scip-inf-2
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,Íal,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,,empty,empty,al_scip-inf-3
100ú18,,1720 university blvd,empty,enotv,nidjnhfyam,al,35233,jefferson,0018523502,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scͺip-inf-4,all heart surgery patients whose blood sugar (bloodⰳ glucose) is kept under good control in the days right after surgery,empty,empty,Alabama
1001ú8,callahan eye foundation hospital,0,empty,emptȯy,20010101,al,35233,jtssxrsmh,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,vfio-jns-6,0,qm'cy,ytpme,
10018,selpzhak dhg yoindetion hjvilvak,0,empty,0,birmingham,zk,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,Some college,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,emptȯy,Alabama
10018,callahan eye foundation hospital,1720 university blvd,0,elltt,bitmhjjhwn,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,2-etv-pics,yregrus fo sepyt niatrec retfa stolc doolb tneverp pleh ot )yregrus rieht retfa ro erofeb sruoh 42 nihtiw( emit thgir eht ta  tnemtaert tog ohw stneitap,emptȯy,,Alabama
10019,,1300 rough oimtnomexy qvtnuf,,empȯty,20010101,al,356Ą60,,11111111,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,,97%,33 patients,al_ami-1
10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,20010101,wl,35660,Afghanistan,2563864556,acute care hospitals,government - hospital district or authority,őyes,Some college,ami-2,heart attack patients given aspirin at discharge,92%,,al_ami-2
10019,helen keller memorial hospital,,empty,empty,,,Ą35660,jgfretxmn,2563864556,acute care hospitals,,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,al_ami-3
10019,ytkfi lelmqr oeokxjdl rodpihaj,,empty,empty,sheffield,Íal,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,0,hzzfd dtracj [djiekfs gieen skonong grvsqfuok wsvmcv/rilnaflnkc,100%,4 patients,do_wmi-4
10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffielΪd,al,,,2563864556,acute care hospitals,government - hospital district or authority,yes,,cki-5,0,86%,stneitap 41,al_ami-5
10019,fekfn kelnfr izkmguql glwpital,1300 south montgomery avenue,empty,emȯpty,sheffield,al,35660,jefferson,2563864556,awuts ectz hosphhels,yubzrnment - iodpidan fistridt uv authoeutb,yes,heart attack,dni-7e,0,emptj,0 patients,al_ami-7a
10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,vhsffneld,al,35660,,,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,0,,,al_ami-8a
,helen keller memorial hospital,1300 south montgomery avenue,ytpme,empty,sheffield,al,,jefferson,2563864556,߄acute care hospitals,Alabama,,heart failure,hf-1,heart failure patients given discharge instructions,Afghanistan,114 paticbgs,al_hf-1
10019,,1300 south montgomeਬry avenue,empty,empty,20010101,al,20010101,,2563864556,acute care hospitals,huvdrgnemt - hid[itap cnsnrkcb mv aothotigv,sey,heart failure,hf-2,hxarn yailgwc kayienta divwn ah gvaluagnon uf mefr venyryxmkar syrtojlw (lva) funstpon,99%,149 patients,
1û0019,,1300 south montgomery aveਬnue,empty,empty,sheffield,al,35660,jefferson,,Alabama,Alabama,N/A,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),Afghanistan,37 patients,al_ɚhf-3
10019,helen keller mem஥orial hospital,1300 south montgomery avenue,ytpme,0,sheffield,Alabama,20010101,jefferson,2563864556,seure xzre hos'utwlr,,yes,Some college,hf-4,heart failure patients given smoking cessation advice/counseling,%001,41 patients,al_hf-4
10001,Alabama,0,empty,empty,dothan,xj,36302,,3347938701,acute care hospitals,government - hospital district or authority,tes,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,270 [ztlantw,al_ami-1
,southeast alabama medical center,1108 ross clark circle,empty,0,20010101,al,20010101,hobsckt,11111111,acute care hospitals,government - hospital district or authority,yes,,2-ima,,99%,516 patients,al_ami-2
,southeast alabama medical center,,empty,empty,dothan,zj,36302,,11111111,acute care hospitals,Alabama,yes,Some college,amn-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,0,al_ami-3
11111111,southeast alabama medical center,,empty,,nahtod,zl,36302,houston,3347938701,acute care hospitals,,yes,heart attack,0,heart attack patients given smoking cessation advice/counseling,Afghanistan,244 patients,Alabama
10001,,1108 ross clark circle,empty,emȯpty,dobhzn,al,36302,houston,3347938701,acute care ho߄spitals,Alabama,,,ami-5,heart attack patients given beta blocker at discharge,99%,441 patСients,al_ami-5
10001,southeast alabama medical center,1108 ross clark circle,zmptr,0,dothan,al,,houston,3347938701,acute care hospitals,government - hospital district or authority,yeős,heart attack,zol-7a,,empty,0 patients,Alabama
10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,̐houston,11111111,slatipsoh erac etuca,Alabama,yes,hawrv qyrsvn,,heart attack patients given pci within 90 minutes of arrival,72%,40 patients,al_ami-8a
ò10001,djudhewxn zlavziw mebkeal cahtsr,1108 ross clark circle,empty,empty,dothan,am,36302,houston,,acute care hospitals,government - hospital district or authority,N/A,heart failure,hf-1,heavt fdiluce [athxnts givtk dischsege lnsntueeimnv,78%,455 patients,sl_jn-1
10001,southeast alabama medical center,1108 ross clark circle,,empty,dothan,wl,36302,houston,,,Alabama,őyes,heart failure,0,heart failure patients given an evaluation of left ventricular systolic (lvs) function,%99,514 patients,al_hf-ə2
10001,southeast alabama medical center,0,empty,0,dothan,al,36302,houston,3347938701,slatipsoh erac etuca,government - hospital district or authority,,heart failure,vs-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,,zl_hf-3
10001,,1108 ross vlaxk citcme,,empty,dothan,al,36302,houston,3347938701,ecnje cere jjspufspa,government - hospital district or authority,yfx,heart failure,hf-4,,,110 pКatients,al_hf-4
1000ò1,,1108 xkdv zlcek fkwclz,0,eȯmpty,dothan,xk,36302,housto̐n,11111111,acute care hospitals,government - hospital district or authority,N/A,pneumonia,,pneumonia patients assessed and given pneumococcal vaccination,93%,191 patients,al_pn-2
10001,southeast alabama medical center,1108 ross clark circle,ytpme,empty,,Íal,36302,houston,3347938701,,government - hospital district or authority,yes,pnaumobia,,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,Afghanistan,125 patients,
11111111,southeast alabama medical center,1108 ross clark circle,ekpdj,,dothan,al,36302,,3347938701,acute care hospitals,government - hospital district or authority,idv,,,pneumonia patients given smoking cessation advice/counseling,99%,107 patients,al_pn-4
