id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
810153,Immunotherapy for autoimmune autonomic ganglionopathy,eng,Proc R Soc Med,Proceedings of the Royal Society of Medicine,1699-7980,64,6,1/1/71,1187-9,"{""A. G. Parks"",""J. F. McPartlin""}"
498345,Study of high- and low-current-configuration homes from the 1988 Denver Childhood Cancer Study,ENG,The Journal of infectious diseases,J. Infect. Dis.,1537-6613,72,1,1/6/01,,"{""Elefteriades J.A.""}"
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,,,54,4,1/6/12,413-27,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
169865,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",,,,,84,0,1/13/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}"
803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.,eng,Dermatologic clinics,,0903-1936,33,4,1/15/10,112-8,"{""A Gaitatzis"",""M R Trimble"",""J W Sander""}"
98234,"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",eng,,,,0,4,1/10/01,185-91,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
735083,Type I and II endometrial cancers: have they different risk factors?,,Br Med Bull,Soc Sci Med,,29,2,1/1/73,A176,{NULL}
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,,Clinical radiology,,,164,3,1/1/99,43-49,"{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}"
684757,Family care giving in the context of HIV/AIDS in Africa,,Clinical Neuropsychologist,,1385-4046,24,4,1/11/01,1158-78,"{""G Villa"",""A Zoppi"",""G D Malamani"",""G Marasi"",""A Vanasia"",""R Fogari""}"
925885,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,Int J Gynecol Cancer,,,21,2,1/6/01,330-7,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}"
184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,,Transportation Research Part D-Transport and Environment,,,64,5,1/9/01,297-301,"{""J. L. Li"",""P. Newcomb""}"
729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,,,0376-2491,0,6,1/13/01,,"{""Bashir Jiwani""}"
71263,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,,Acta Obstet Gynecol Scand,,0030-1876 (Print) 0030-1876,92,6,1/13/11,711-5,"{""Katharine O'Dell"",""Padma Kandadai"",""Jyot Saini""}"
965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,,Parkinsonism & related disorders,,1547-5271,8,5,1/12/03,S40,{NULL}
53321,Role of N-acetylcysteine in prevention of contrast-induced nephropathy after cardiovascular procedures: a meta-analysis,,,,,35,0,1/2/01,52-63,"{""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""}"
600827,Latex allergy in atopic children.,,Obesity surgery,,0016-5085,140,7,5/1/99,919-21,"{""A. Sengupta"",""D. DA  - Feb DO  - 23/1/63 [pii] DP  - Nlm ET  - 2008/01/22 Karsies"",""G. U. Liepa""}"
668310,ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.,eng,Clinical Interventions In Aging,Clin Interv Aging,,7,3,1/13/05,37-41 DO  - 10.1080/10810730902805788,"{""Andreas Kruse"",""Manh Hung Nguyen""}"
812893,"Plant Kunitz proteinase inhibitor attenuates inflammation, oxidative stress and remodeling induced by elastase in mice",,Postgraduate medical journal,,1469-493X,0,4,1/14/01,299-314,"{""J. H. Littell"",""M. Popa"",""B. Forsythe""}"
302268,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,eng,Acta Neurochirurgica,,0935-8943,139,3,1/1/97,Sep-92,"{""Y Takagi"",""N Hashimoto"",""Y Goto""}"
43736,A geographic analysis of chronically homeless adults before and after enrollment in a multi-site supported housing initiative: community characteristics and migration,eng,Medicine and science in sports and exercise,Int Psychogeriatr,0195-9131,39,6,1/7/06,237-40,"{""James C Martin"",""Ian Mayhew"",""Lee M Romer"",""Thomas Korff""}"
82614,"Balancing Identity, Motivation, and Internal Dialogue in the Making of Solos: Conquering the High Wire",,"Cancer prevention research (Philadelphia, Pa.)",,,6,7,1/13/12,iii-vii,"{""[Collective Name] American Thoracic Society Respiratory Impairment and Disability Evaluation Group"",""Philip Harber"",""Margaret C Haggerty"",""Christopher G Slatore""}"
163526,A performance improvement process to tackle tachysystole,eng,,,,16,0,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,"{""V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von Gruenigen"",""A. M. Burkett"",""J. Doyle"",""T. H. Kenny""}"
514411,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,,The American journal of medicine,Cardiovasc Intervent Radiol,1432-086X,37,6,1/14/12,1530-9,"{""Luca Maria Sconfienza"",""Ezio Lanza"",""Gianpaolo Cornalba"",""Dario Poretti"",""Catherine Cyteval"",""Pierre Viala"",""Francesco Sardanelli"",""Yann Thouvenin""}"
569841,Doppler-derived flow pattern in the descending aorta does not predict systemic to pulmonary arterial collateral flow in patients with single ventricle palliation: a cross-sectional study.,,Arch Intern Med,J. Clin. Oncol.,1478-7547 (electronic),27,15,1/14/01,2496-502,"{""Ariela Noy"",""Lawrence D Kaplan"",""Yanxing Yu"",""Alexandra M Levine"",""Richard F Ambinder"",""Susan E Krown"",""Bruce J Dezube"",""Lan Lin"",""Jeannette Y Lee"",""Gary S Hayward""}"
743394,Estimating the Effect of Land Leases on Prices of Inner-city Apartment Buildings,,Scandinavian Journal of Gastroenterology,,,31,7,1/12/01,711-5,"{""Kaija Leena Kolho"",""Hanne Rintamaki"",""Taina Tervahartiala"",""Timo Sorsa"",""Laura Makitalo""}"
21910,Usefulness of a myofascial trigger point injection for groin pain in patients with chronic prostatitis/chronic pelvic pain syndrome: a pilot study,eng,Global journal of health science,,1916-9736,6,0,1/14/03,22-Dec,"{""C. B. Mogensen"",""I. B. Jacobsen"",""L. Wiboe""}"
378490,Sustained complete remission of a limited-stage blastic plasmacytoid dendritic cell neoplasm followed by a simultaneous combination of low-dose DeVIC therapy and radiation therapy: a case report and review of the literature.,eng,The Journal of clinical psychiatry,J Clin Epidemiol,,14,12,1/8/12,625-31,"{""J_rgen Rehm"",""Gerhard Gmel"",""Maurizio Trevisan"",""Christopher T Sempos""}"
605423,Diminished A-cell secretion in the early phase of type I diabetes mellitus,English,Lancet,,,35,11,1/1/86,1074-1077,{NULL}
793918,"Pooled analysis of non-union, re-operation, infection, and approach related complications after anterior odontoid screw fixation.",eng,PLoS One,,,8,9,1/15/01,e75079,"{""Tina M Blackmore"",""Kirsty Dougal"",""Hilary J Worgan"",""Eric Pinloche"",""Gemma Curtis"",""C Jamie Newbold"",""Neil R McEwan"",""Susan E Girdwood"",""Pat A Harris"",""Caroline McG Argo"",""Alex Dugdale""}"
372175,Bile acid metabolism by fresh human colonic contents: a comparison of caecal versus faecal samples.,English,American Journal of Bioethics,,15265161 (ISSN),9,3,1/9/01,W1-W4,"{""G.R. Gillett""}"
261329,[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].,kor,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,,1598-9992,52,6,1/8/12,642-55,"{""S. B. Venkateshiah"",""N. A. Collop""}"
629530,Mind the Gap: Difference between Framingham heart age and real age increases with age in HIV-positive individuals - A clinical cohort study,spa,"Acta radiologica (Stockholm, Sweden : 1987)",,,28,17,1/1/97,2077-86,"{""Carolyn H McCabe"",""Shaun G Goodman"",""Frans Van de Werf"",""David A Morrow"",""Elliott M Antman"",""Eugene Braunwald"",""Kenneth W Mahaffey"",""Marc Cohen"",""Ian B Menown"",""Sabina A Murphy"",""Charles Michael Gibson""}"
954388,Optimal Starting Age for School Attendance: FY76 Issue Analysis,eng,,,,0,0,1/1/74,1518-25,"{""Marilou Madden""}"
379737,Bone density and body composition in young women with chronic fatigue syndrome.,eng,AACN Clinical Issues: Advanced Practice in Acute & Critical Care,,1053-8135,30,0,5/1/00,350,"{""F Gates"",""P Clifton-Bligh"",""G Fulcher"",""L Hoskin"",""R Hansen""}"
912377,Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,,European Respiratory Journal,,1532-8511,29,1,1/15/02,,"{""Sebastien Racinais"",""Olivier Girard"",""Lars Nybo"",""Magni Mohr"",""Martin Thomassen""}"
353972,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,,Vulnerable Children and Youth Studies,,1745-0128 1745-0136,3,3,8/1/65,243-248,"{""B O Olley""}"
275675,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,English,Respiration; international review of thoracic diseases,,0025-7931,88,0,1/4/05,46,"{""T. Nakajima"",""I. Yoshino"",""K. Yasufuku"",""S. Yoshida"",""Y. Sakairi"",""K. Shibuya""}"
660168,Methodology to estimate building energy consumption using EnergyPlus Benchmark Models,eng,ProQuest LLC,Expert Opin Emerg Drugs,1982-4335,12,2,1/9/02,316-26; discussion 326-7,"{""C. D. Smith"",""J. E. Skandalakis""}"
754594,Out of harm's way: curbing violence in the ED,English,"Oral surgery, oral medicine, oral pathology and oral radiology","International journal of surgery (London, England)",0899-6210,8,10,1/12/01,"20-6, 28","{""Marlon Barg"",""Emilio L Streck"",""Lara M Gomes"",""Vanessa M Andrade"",""Daniela D Leffa"",""Felipe Dal-Pizzol"",""Fabricia Petronilho"",""Francieli Vuolo"",""Milena Carvalho-Silva"",""Fernanda Balbinot"",""Gislaine T Rezin""}"
473026,Inhaled anticholinergics and risk for acute urinary retention: A case-crossover and case-time-control study,,European journal of emergency medicine : official journal of the European Society for Emergency Medicine,Adm Policy Ment Health,1473-5695,15,3,1/8/06,134-9,"{""Rich Sinert"",""Shoma Desai"",""Antonia Hipp"",""Carmen Lopez""}"
521132,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,,,,,90,1,,S398,"{""Carey E. Andrzejewski""}"
