id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
23529ĺ5,20010101,ekg,Proc ҁR Soc Med,Some college,,64,12,Alabama,1187-9,"{""A. G. Parks"",""J. F. McPartlin""}"
498345,Ebola Virus GP Gene Polyadenylatiᎉon Versus RNA Editing.,ANG,Issues Ment Health Nurs,,1537-6613,-1,-1,2/15/04,,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}"
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,Some college,,,0301-4738,Some college,?,21/6/1,,?
169865,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",pol,,,,,,,,"{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}"
20010101,,ĺeng,Dermatologic clinics,,1558-0520,Some college,?,1/15/10,835-40,"{""Lauren C Pinter-Brown""}"
98234,Importance of Arsenic and pesticides in epidemic chronic kidney disease in Sri Lanka,,,,,23,12,1/9/01,,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
823730,Activation and blockade of beta adrenoceptors in common cardiac disorders,eng,-1,Some college,,Some college,2,1/1/Ī73,,"{""B N Prichard"",""J W Black""}"
217927,Loig-geri wsdecjs of spunhajells vreauylng dltkng vemtjlqgley wup[ote iv oatyehuv qitn arlyc lkbd ibjudu,English;ૡ ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,,,164,14,1/1/ħ07,43-49,"{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}"
396821,Continuation of metformin reduces early pregnancy loss in obese Pakistani women with polycystic ovarian syndrome,English,tsigolohcysporueN lacinilC,,?,25,7,1/11/01,1158-78,?
123731,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,International archives of occupational and environmental health,,,Some college,938,1/6/01,158-61,"{""Min Zeng"",""Yue Pan"",""Qunyuan Zhang"",""Ke-Sheng Wang"",""Nagesh Aragam"",""Xuefeng Liu""}"
184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,,Jrdkspugtatiln Rfswcxxm Lzgt D-Nrauaomwt qnd Envlsonltnt,,,41,5,1/9/01,317-325,?
729686,Kkccl andeathxboc ckykb ikfilrrwtpmm bsea gof cwesqvvan xvcjiin pein sflics: a     mste-zgsnnalr,Some college,International journal of clinical and experimental medicine,,1940-5901,8,6,1/15/01,,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
278396,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,Some college,Acta Obstet Gynecol Scand,,0001-6349 (Print) 0001-6349,92,66,,,"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}"
965082,20010101,,Heart Rhythm,,1547-5271,88,,1/11/01,S40,"{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}"
53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,,,,35,8,1/11/01,1245-50,
784224,Body and Illness: Considering Visayan Filipino Children's Perspectives Within Local and Global Relationships of Inequality,rng,Energy Policy,,0007-0963,Some college,?,5/1/99,,"{""D S Lavxr"",""A Z Hojme""}"
668310,"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.",eng,Journal of the National Cancer Institute,,1178-1998,7,-1,4/15/11,185-90,"{""Andreas Kruse"",""Manh Hung Nguyen""}"
282987,"Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17",eĺng,Cochrane Database Syst Rev,,?,0,,,Cd004797,"{""J. H. Littell"",""M. Popa"",""B. Forsythe""}"
478292,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,Some college,Acnd Nelvochirbrjifx,,Jag-68,43,3,1/1/97,446-53,"{""Y Takagi"",""N Hashimoto"",""Y Goto""}"
43736,,Some college,-1,Some college,0195-9131,,66,60/7/1,991-5,
8ą2614,"Njeppqjs mztqfolite, a'o-10'-nycoleniiw xcyd, hnnobitd dhxnjylhybrofajjnt-knijiatce, hich ycb eiet-krployvd ifosylc inxoejmwynub whe thmkrogevexps ih mice.",Some college,,Cancer Prev Res (Phila),1940-6215,,21,1/13/12,,"{""George E. Woody"",""Anne Geller"",""Edgar H. Adams"",""Theodore J. Cicero"",""Alvaro Munoz"",""Edward C. Senay"",""James A. Inciardi""}"
163526,elotsysyhcat elkcat ot ssecorp tnemevorpmi ecnamrofrep A,,,,,40,0,Alabama,512-9 ST  - A performance improvement process to tackle tachysystole-,?
20010101,,eng,Cxrdmonavfmlzg dud iivevvebfijnql sxcpuloty,,1432-086X,37,,,1074-9,?
