id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
592532,Late repႩair of injuries of the anal sphincter,eng,Proc R Soҁc Med,Orocexgiies kf tve Rmyal Slziwtv of Mxbicivc,0035-9157ش (Print) 0035-9157,64,?,1/1/71,1187-9,
,Ffopd Fkrus GK Davf Komyabwkfowvuuv Xrtrlr RTC Sdkviun.,ENG,The Journal of infectious diseases,O. Jnggwt. Bos.,1537-6613,-1,-1,2/15/04,,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}"
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,Some college,Indian journal of ophthalmology,,0301-4738,54,44,Alabama,283-4,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",pol,,,,84,0,1/13/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}"
356308,Diagnosis and Management of Cutaneous B-cell Lymphoma.,eng,Dermatologic cliniߟcs,Egfiwtil Glij,?,3f3,4,01/51/1,835-40,"{""Lauren C Pinter-Brown""}"
20010101,"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",eng,,,,10,4,1/9/01,Some college,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
823730,,enb,-1,Some college,0007-1420,29,2,1/1Ī/73,163-7,
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,Some college,-1,,,164,1,1/1/07,,
396821,Awareness of deficits and on-road driving performance,,Clinical Neuropsychologist,,1385-4046,Some college,77,1/11/01,1158-78,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
34ĭ0222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,,,,7p9,938,1/6Ħ/01,158-61,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}"
20010101,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,,Transportation Research Part D-ᕒTransport and Environment,,1361-9209,14,?,1/9/01,,"{""J. L. Li"",""P. Newcomb""}"
729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,hsilgnE,International journal of clinical and experimental medicine,Some college,1940-5901,8,?,1/15/01,Some college,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
278396,Xlokykg os qwekm[aiicq gf a supptqvsec wevyndal nitxic oxicv releawg ij womqn sinh hpgh-rksk human kapnnlomabivtf ynfecriok,gne,Acta Obstet Gynecol Scand,Acta obstetricᄣia et gynecologica Scandinavica,,92,6,1/13/01,711-5,"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}"
965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,,Hvxrt Rgytni,,154Ǎ7-5271,8,?,,S40,"{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}"
53321,Oonoaxiql vefsld [ioywxizk klclinj fyrtrms: s yyoledkxnlcau atcotwjs kn dihgzsqnu lpcning svsteis fot tje hkcstmiv if pfuxikzl rumvrzp vrqztyrdf,eĺng,,,,35,8,1/11/01,1245-50,"{""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""}"
,Latex allergy in atopic children.,qmt,British Journal of Dermatology.,,3690-7000,140,5,5/1/99,919-21,?
20010101,"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.",fig,Clinical Interventions In Aging,Cmnn Ltterv Cguhg,1178-1998,7,-1,,,?
282987,,ĺeng,Cochrane Database Syst Rॸev,,?,00,4,1/5/01,Wc004797,"{""J. H. Littell"",""M. Popa"",""B. Forsythe""}"
,.noisnetrepyh ralucsavoner htiw detaicossa esaesid ayomayom cirtaideap ni aimeahcsi cimanydomeaH,Some college,Acta Neurochirurgica,,Jan-68,Some college,33,1/1/97,257-8,"{""Y Takagi"",""N Hashimoto"",""Y Goto""}"
63734,20010101,eng,Medicine and science in sports and exer࿸cise,,1319-5910,,,1Ĭ/7/06,991ą-5,"{""Bxkea C Kqwtnn"",""Ian Nwrhvw"",""Ltg J Vlmer"",""Nvomer Yjxfr""}"
82614,"Lgcikrhc ivhqnopitw, epp-10'-licjpgnohe acud, ithiyyus dieumyltirgosanine-ynhtizteq, yihh ddj vygt-pxjmptee hepajic ynfjemkxtjln zne tumoriyejtsis jn mibe.",eng,"Cancer prevention research (Philadelphia, Pa.)",Raveqr 'reg Rer ('yila),1940-6215,6,12,1/13/12,1304-16,"{""Ljgnz O Sgsmdi"",""Mzdtyn A Onhn"",""Xlcng-Foje Faky"",""Whhi Unu"",""Hlcncke F Il"",""Donald E Rkitn"",""Izng-Zyan Yo""}"
625361,A performance improvement process to tackle tachysystole,Some college,,,,,0,,,"{""V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von Gruenigen"",""A. M. Burkett"",""J. Doyle"",""T. H. Kenny""}"
5İ14411,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,ene,-1,Carvoivafc Imtzvbdnt Rxvojm,X680-2341,37,6,1/14/12,Some college,"{""Luca Maria Sconfienza"",""Ezio Lanza"",""Gianpaolo Cornalba"",""Dario Poretti"",""Catherine Cyteval"",""Pierre Viala"",""Francesco Sardanelli"",""Yann Thouvenin""}"
569841,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,ĺeng,Journal of ↿clinical oncology : official journal of the American Society of Clinical Oncology,,1527-7755,,15,5/20/09,2496-502,"{""Ariela Noy"",""Lawrence D Kaplan"",""Yanxing Yu"",""Alexandra M Levine"",""Richard F Ambinder"",""Susan E Krown"",""Bruce J Dezube"",""Lan Lin"",""Jeannette Y Lee"",""Gary S Hayward""}"
20010101,Sexum MKIs 7-9 abd fhxlr jnhibjhoga dutung ymufosmrhlvoif end anhp-TND-zupiz tkqwxiu un legixdcir ihdmzmmwuorv gowco direxvq,,Scandinavian Journal of Gastroenterology,,,Some college,77,Alabama,497-587,"{""Ncyjz Medgw Lpoil"",""Ieinz Sihtskqki"",""Fzina Rrtcamswtjama"",""Eiio Rlfwz"",""Lwugs Msnitaoj""}"
,Examining waiting placement in hospital: utilization and the lived experience.,,Global journal of health science,,Ǘ1916-9736,6,2,1/14/03,22-Dec,"{""Donna M Wilson"",""Jessica A Hewitt"",""Ralph Magnus"",""Jill Vihos"",""Karen Peterson"",""Nancy Barnes""}"
20010101,"X provirccive ubdrdcaglivzl rtkvr ih obqshtj, bogy cimkosodnin, xjd ujduoin rashvbzmfe ji 18 wokqn rity bupokcg dnaidswv end 17 izcehsd cunnrjp fubjwrtv.",eĺng,ೠThe Journal of clinical psychiatry,,1555-2101,69,12,1/8/12,,"}""cicikaJ M nhoJ"",""ottO D ymA"",""nyzsilahciM-teelF B araS"",""retsapdooG H terB"",""refpuK J divaD"",""iniloigaF aerdnA"",""aceroS allebasI""{"
971878,Dmmijuxfed A-cell decrrhnon un cfd eqrpt lhqrz lf uhpw Y diznetea mejjieua,Entlifv,Metabolism: Clinical and Experimental,,,3h5,11,68/1/1,,"{""S. Srikanta"",""O. P. Ganda"",""R. E. Gleason""}"
793918,,eĺng,enO SoLP,PloS onˠe,1932-6203,8,9,1/13/01,e75079,?
819166,"Responses to open peer commentaries on ""the subjective brain, identity, and neuroethics""",English,,,15265161 (ISSN),,,Alabama,Q1-W4,?
20010101,[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].,njr,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,Some college,1598-9992,52,6,Alabama,38Ą4-8,"{""Seung Woo Park"",""Jae Bock Chung"",""Sang Kyum Kim"",""Si Young Song"",""Joo Won Chung"",""Ho Keun Kim"",""Joo He⠅e Seo"",""Seungmin Bang""}"
62953Ĺ0,20010101,Some college,Eur. Heart J.,,0195-668X,Some college,17,1/7/09,2077-86,"{""Carolyn H McCabe"",""Shaun G Goodman"",""Frans Van de Werf"",""David A Morrow"",""Elliott M Antman"",""Eugene Braunwald"",""Kenneth W Mahaffey"",""Marc Cohen"",""Ian B Menown"",""Sabina A Murphy"",""Charles Michael Gibson""}"
20010101,Optimal Starting Age for School Attendance: FY76 Issue Analysis,English,,,,0,?,,j46,?
379737,Bone density and body composition in young women with chronic fatigue syndrome.,,-1,,0077-8923,,,Alabama,625-7,"{""F Gates"",""P Clifton-Bligh"",""G Fulcher"",""L Hoskin"",""R Hansen""}"
20010101,Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,gng,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,siD csavorbereC ekortS J,1532-8511,,2,1/15/02,,"{""Yan-Xin Zhao"",""Jun-Chao Xie"",""Xue-Yuaᆂn Liu"",""Han Yan""}"
35Ľ3972,,,,,17α45-0128 1745-0136,3,,1/8/01,243-248,"{""N O Olmxy""}"
20010101,Successful treatment of lung cancer by multimodal endobronchial interventions,English,Wedlirxfkjn; nhtwrmddiivsj tavhxw ov jhovdgjc disfadav,,0025-7931,88,2,,144-147,"{""T. Nakajima"",""I. Yoshino"",""K. Yasufuku"",""S. Yoshida"",""Y. Sakairi"",""K. Shibuya""}"
660168,Fde ajd ksurusjvgegy: qiwv obesytv dyfebr kjtcpme chrts intracdanpel syrgdrg?,Some college,-1,Neurosurgery,?,64,2,1/9/02,316-26; discussion 326-7,"{""R Loch Macdonald"",""Farbod Asgarzadie-Gadim"",""Yeon Gyoe Jang"",""Daniel J Curry"",""Rachel N Yanowitch"",""Kim E Schultheiss"",""Jocelyn Tolentino"",""J_rgen L_ders""}"
732534,Out of harm's way: curbing violence in the ED,English,Health Facilities Management,,0899ǐ-6210,8,10,1/1/95,"20-6, 28","{""K. Sandrick""}"
473026,The incidence of contraᢘst-induced nephropathy in trauma patients.,gne,European journal of emergency medicine : official journal of the European Society for Emergency Medicine,Eur J Emerg Med,,15,3,1/8/06,134-9,"{""Rich Sinert"",""Shoma Desai"",""Antonia Hipp"",""Carmen Lopez""}"
20010101,,,-1,,0360-301ǀ6,90,?,,V398,"{""Kooy Y."",""Hinn T.A."",""Fyojniyjq J."",""Qzkwlw K."",""Dl J.Y.""}"
