ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-CARD-2,,,,AL_SCIP-CARD-2
111188,CALLAHAN EYE FOUNDATION HOSPITAL,400 NORTHWOOD DR,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,,
0088,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,SCIP-INF-2,,,,AL_AMI-7A
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BBIIMMKMGQMM,AL,,ETOWAH,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,AL_SCIP-INF-3
10018,CALLAHAN EYE FOUNDATION HOSPITAL,11  UUMURRIIRUBBLLVVE,BIRMINGHAM,AL,35233,,2053258100,Acute Care Hospitals,Clyjaarru  mm--rrpy  --PPovvsg,Yes,Surgical Infection Prevention,SCIP-INF-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,,,AL_SCIP-INF-4
10018,CALLAHAN EYE FOUNDATION HOSPITAL,,BIRMINGHAM,AL,33223333,,2053258100,AAcc  Xsrrottskz,Voluntary non-profit - Private,Yes,Pneumonia,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),,,AL_SCIP-INF-6
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BBIIRRMMIIGGHHN,AL,35233,JEFFERSON,2053258100,,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,AL_SCIP-VTE-1
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AALL,35233,JEFFERSON,2053258100,Acute Care Hospitals,VVlottaarr  nnij--ppei  --Oogaatt,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,AL_SCIP-VTE-2
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,97%,33 patients,AL_HF-1
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,,FFFFAOONN,,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,92%,13 patients,AL_AMI-2
