id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,Pub Beer,American Pale Lager,12,0.05,nan,475,10 Barrel Brewing Company,Bend,OR
2265,Devil's Cup,American Pale Ale (APA),12,0.066,nan,177,18th Street Brewery,Gary,IN
2264,Rise of the Phoenix,American IPA,12,0.071,nan,177,18th Street Brewery,Gary,NV
2263,Sinister,American Double / Imperial IPA,12,0.06,nan,177,18th Street Brewery,Longmont,IN
2262,Sex and Candy,Belgian Pale Ale,12,0.075,nan,442,18th Street Brewery,Gary,IN
2261,Black Exodus,Oatmeal Stout,12,0.077,nan,336,18th Street Brewery,Gary,CT
2260,Madra Allta,American Pale Ale (APA),12,0.045,nan,110,18th Street Brewery,Gary,IN
2259,Foreman,American Porter,12,0.053,nan,177,18th Street Brewery,Gary,IN
2542,Jade,American India Pale Lager,12,0.07,nan,177,Surly Brewing Company,Gary,IN
1839,Cone Crusher,American Double / Imperial IPA,12,0.086,nan,177,18th Street Brewery,Gary,IN
2099,Flying Jenny Extra Pale Ale,Saison / Farmhouse Ale,12,0.072,nan,177,18th Street Brewery,Dillon,IN
2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.049,nan,177,18th Street Brewery,Gary,IN
2097,Garce Selé,Saison / Farmhouse Ale,12,0.069,nan,177,18th Street Brewery,Papillion,IN
1980,Golden Road Hefeweizen,Belgian IPA,12,0.085,nan,177,18th Street Brewery,Gary,IN
1979,Bitter Bitch,American Pale Ale (APA),12,0.061,60,177,18th Street Brewery,Gary,IN
2318,Ginja Ninja,Cider,16,0.06,nan,32,2 Towns Ciderhouse,Corvallis,OR
2170,HUB Lager,Cider,12,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
2425,Rhubarbarian,Cider,12,0.06,nan,154,2 Towns Ciderhouse,Corvallis,MA
1502,BrightCider,Cider,12,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
1593,Pako’s EyePA,Baltic Porter,12,0.082,nan,368,21st Amendment Brewery,San Francisco,CA
1592,He Said Belgian-Style Tripel,Tripel,12,0.082,nan,368,21st Amendment Brewery,Minnetonka,CA
1036,Lower De Boom,Winter Warmer,12,0.099,92,10,21st Amendment Brewery,San Francisco,CA
1024,Fireside Chat,Winter Warmer,12,0.079,nan,368,21st Amendment Brewery,San Francisco,CA
976,Hunny Do Wheat,American Stout,12,0.079,nan,368,21st Amendment Brewery,San Francisco,CA
1896,Bitter American,American Pale Ale (APA),12,0.044,nan,368,Half Acre Beer Company,San Francisco,CA
802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,nan,368,21st Amendment Brewery,San Francisco,CA
801,Hell or High Watermelon Wheat (2009),American Double / Imperial IPA,12,0.049,21,368,21st Amendment Brewery,San Francisco,ME
800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.064,17,368,21st Amendment Brewery,San Francisco,CA
799,21st Amendment IPA (2006),American Pale Ale (APA),12,0.07,70,368,21st Amendment Brewery,San Francisco,CA
797,Make It So,American IPA,12,0.075,30,368,Upslope Brewing Company,San Francisco,CA
796,Brew Free! or Die IPA (2009),American IPA,12,0.07,70,368,21st Amendment Brewery,San Francisco,MA
531,Special Edition: Allies Win The War!,English Strong Ale,16,0.085,52,390,21st Amendment Brewery,San Francisco,CA
970,Oktoberfest,American Double / Imperial IPA,12,0.05,94,368,21st Amendment Brewery,San Francisco,CA
353,Bitter American (2011),American Pale Ale (APA),12,0.044,17,368,21st Amendment Brewery,San Francisco,HI
321,Fireside Chat (2010),Winter Warmer,16,0.079,45,368,21st Amendment Brewery,San Francisco,CA
173,Back in Black,American Black Ale,12,0.068,65,356,Karbach Brewing Company,San Francisco,CA
11,Monk's Blood,Belgian Dark Ale,12,0.083,35,368,21st Amendment Brewery,San Francisco,CA
141,Brew Free! or Die IPA,American IPA,12,0.07,nan,368,21st Amendment Brewery,San Francisco,CA
9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12,0.049,17,215,21st Amendment Brewery,San Francisco,CA
907,Bimini Twist,American IPA,12,0.07,45,67,3 Daughters Brewing,St Petersburg,CO
2518,Beach Blonde,American Blonde Ale,12,0.06,nan,67,3 Daughters Brewing,Lansdale,FL
381,Rod Bender Red,American Amber / Red Ale,12,0.059,nan,67,3 Daughters Brewing,Lake Barrington,FL
2545,Passion Fruit Prussia,Berliner Weissbier,12,0.035,11,425,4 Hands Brewing Company,Saint Louis,MI
2544,Send Help,American Blonde Ale,12,0.045,18,240,4 Hands Brewing Company,Saint Louis,MO
2324,Cast Iron Oatmeal Brown,American Brown Ale,12,0.055,nan,314,4 Hands Brewing Company,Saint Louis,MO
1454,Reprise Centennial Red,American Amber / Red Ale,12,0.06,nan,60,4 Hands Brewing Company,Davenport,MO
2287,Alter Ego,American Black Ale,12,0.055,nan,60,Bent Brewstillery,Saint Louis,MO
2286,Divided Sky,American IPA,12,0.062,nan,60,4 Hands Brewing Company,Eugene,MO
1982,Resurrected,American IPA,12,0.065,nan,60,Baxter Brewing Company,Saint Louis,MO
1870,Contact High,American Pale Wheat Ale,12,0.05,28,60,Third Street Brewhouse,Saint Louis,MO
2603,Galaxyfest,American IPA,16,0.065,nan,27,Buffalo Bayou Brewing Company,Columbus,IN
2602,Citrafest,American IPA,16,0.05,45,27,450 North Brewing Company,San Diego,IN
2220,Barn Yeti,Belgian Strong Dark Ale,16,0.09,nan,27,450 North Brewing Company,Columbus,IA
1103,Scarecrow,American IPA,16,0.064,65,27,Boston Beer Company,Columbus,IN
2218,Ironman,English Strong Ale,16,0.09,nan,82,450 North Brewing Company,Columbus,VA
1305,Honey Kolsch,Kölsch,16,0.046,15,27,450 North Brewing Company,Columbus,IN
2216,Copperhead Amber,Belgian Dark Ale,16,0.052,18,27,450 North Brewing Company,Columbus,IN
972,KelSo Pilsner,American IPA,16,0.059,75,481,Sly Fox Brewing Company,Gig Harbor,WA
866,British Pale Ale (2010),American Strong Ale,16,0.047,62,481,Piney River Brewing Company,Grand Rapids,WA
48,British Pale Ale,English Pale Ale,16,0.054,30,481,Two Beers Brewing Company,Gig Harbor,TX
47,Gordon Beer (2006),American Double / Imperial IPA,12,0.084,82,481,7 Seas Brewing Company,Gig Harbor,WA
1583,Screaming Eagle Special Ale ESB,Berliner Weissbier,12,0.038,nan,373,Blue Blood Brewing Company,Dunedin,FL
1165,Fistful Of Hops Red,Hefeweizen,16,0.055,26,462,Fat Head's Brewery,Golden,CO
431,Colorado Native (2011),American Amber / Red Lager,12,0.055,nan,462,AC Golden Brewing Company,Golden,CO
516,Jockamo IPA,American IPA,12,0.065,52,533,Southern Prohibition Brewing Com...,Abita Springs,LA
515,Purple Haze,Fruit / Vegetable Beer,12,0.042,13,533,Dock Street Brewery,Abita Springs,LA
2332,Hop Ottin' IPA,American Amber / Red Lager,12,0.045,17,410,Abita Brewing Company,Abita Springs,LA
36,Citra Ass Down,American IPA,16,0.073,nan,423,Against The Grain Brewery,Louisville,TX
2539,The Brown Note,American Brown Ale,12,0.05,20,1,Against The Grain Brewery,Louisville,KY
2686,Citra Ass Down,American Double / Imperial IPA,16,0.08,24,1,Against the Grain Brewery,Louisville,KY
