ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1436,Beasts A'Burnin',Witbier,12.0,0.05,nan,495,10 Barrel Brewing Company,Bend,UT
2,2265,Buried Hatchet Stout,American Pale Ale (APA),12.0,0.044,nan,444,18th Street Brewery,San Diego,IN
3,2408,Rise of the Phoenix,American IPA,12.0,0.065,nan,177,18th Street Brewery,Traverse City,CO
4,2263,Hopkick Dropkick,American Double / Imperial IPA,12.0,0.09,nan,429,18th Street Brewery,Gary,IN
5,753,Snowcat Coffee Stout,American IPA,12.0,0.056,nan,177,Foolproof Brewing Company,Gary,IN
6,982,Black Exodus,Cider,12.0,0.06,nan,177,18th Street Brewery,Seattle,MA
7,2260,Lake Street Express,American IPA,12.0,0.051,nan,371,18th Street Brewery,Gary,IN
8,2259,Foreman,American Porter,12.0,0.065,nan,177,Moab Brewery,Gary,IN
9,2258,Jade,American Pale Wheat Ale,12.0,0.065,nan,177,18th Street Brewery,Boonville,KS
10,1477,Cone Crusher,American Double / Imperial IPA,12.0,0.086,nan,177,Bonfire Brewing Company,Gary,CA
11,2099,Dale's Pale Ale,Saison / Farmhouse Ale,12.0,0.072,nan,25,18th Street Brewery,Gary,IN
12,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,16.0,0.073,nan,154,Ciderboys,Gary,IN
13,2097,Farm Girl Saison,American Strong Ale,12.0,0.069,nan,177,18th Street Brewery,Gary,IN
14,1980,The Lawn Ranger,Belgian IPA,12.0,0.057,nan,177,Bonfire Brewing Company,Aurora,VA
15,1979,Bitter Bitch,American Pale Ale (APA),12.0,0.061,60.0,61,18th Street Brewery,Gary,IN
16,2318,Ginja Ninja,American Amber / Red Ale,12.0,0.034,nan,34,2 Towns Ciderhouse,Corvallis,OR
17,2170,Sudice American Stout,Saison / Farmhouse Ale,16.0,0.049,nan,154,Milwaukee Brewing Company,Houghton,OR
18,2169,Rhubarbarian,Cider,12.0,0.06,nan,154,2 Towns Ciderhouse,Houghton,OR
19,1502,BrightCider,Hefeweizen,12.0,0.06,nan,154,Straight to Ale,Houghton,OR
20,1593,Super G IPA,American IPA,12.0,0.082,nan,227,Keweenaw Brewing Company,San Francisco,MO
21,1592,Couch Select Lager,Tripel,16.0,0.044,nan,449,21st Amendment Brewery,San Francisco,CA
22,1036,Lower De Boom,American Barleywine,8.4,0.074,92.0,17,21st Amendment Brewery,San Francisco,UT
23,1352,Fireside Chat,Winter Warmer,12.0,0.079,45.0,206,21st Amendment Brewery,San Francisco,CA
24,2493,Marooned On Hog Island,German Pilsener,12.0,0.079,nan,368,21st Amendment Brewery,San Diego,CA
25,876,Bengali Tiger,American Pale Ale (APA),12.0,0.077,42.0,351,21st Amendment Brewery,San Francisco,CA
26,802,Celestial Blonde Ale,Witbier,12.0,0.065,nan,368,21st Amendment Brewery,San Francisco,CA
27,801,Roller Dam Red Ale (2010),American Pale Wheat Ale,16.0,0.049,17.0,10,21st Amendment Brewery,Mt. Airy,CA
28,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0,0.048,nan,368,Baxter Brewing Company,San Antonio,CA
29,799,21st Amendment IPA (2006),American IPA,12.0,0.07,nan,547,Flat Rock Brewing Company,Eau Claire,CA
30,2306,Brew Free! or Die IPA (2008),Märzen / Oktoberfest,16.0,0.07,nan,368,21st Amendment Brewery,San Francisco,CA
31,796,Brew Free! or Die IPA (2009),American Amber / Red Lager,12.0,0.07,70.0,293,Asheville Brewing Company,San Francisco,MI
32,2302,Boat Beer,English Strong Ale,16.0,0.042,95.0,368,21st Amendment Brewery,San Francisco,ME
33,432,Hop Crisis,American Double / Imperial IPA,12.0,0.097,94.0,368,KelSo Beer Company,Portland,CA
34,353,Gran Met,American IPA,12.0,0.059,42.0,368,21st Amendment Brewery,San Francisco,GA
35,321,Fireside Chat (2010),Winter Warmer,12.0,0.067,45.0,368,Big Lake Brewing,San Francisco,CA
36,173,G'KNIGHT (16 oz.),American IPA,12.0,0.06,65.0,177,21st Amendment Brewery,San Francisco,WI
37,11,Blood Orange Honey,Belgian Dark Ale,12.0,0.083,nan,368,Avery Brewing Company,San Francisco,CA
38,10,Original Slacker Ale,American IPA,16.0,0.07,65.0,368,RoughTail Brewing Company,San Francisco,CA
39,1441,10 Ton,American Blonde Ale,12.0,0.055,nan,368,Boulevard Brewing Company,San Francisco,CA
40,2519,Bimini Twist,American IPA,12.0,0.07,nan,67,3 Daughters Brewing,St Petersburg,FL
41,2518,Beach Blonde,American Blonde Ale,12.0,0.046,nan,67,3 Daughters Brewing,St Petersburg,IL
42,404,Hotter Than Helles Lager,American Amber / Red Ale,12.0,0.059,nan,2,3 Daughters Brewing,St Petersburg,MT
43,2545,Mama's Little Yella Pils,Berliner Weissbier,12.0,0.07,nan,234,4 Hands Brewing Company,Saint Louis,TX
44,2544,Send Help,American Blonde Ale,12.0,0.045,nan,60,Elevator Brewing Company,Airway Heights,MO
45,1239,Hefe Lemon,American IPA,12.0,0.055,nan,60,Buckbean Brewing Company,Saint Louis,MO
46,2288,Bottom Up Belgian Wit,American Amber / Red Ale,12.0,0.06,nan,486,4 Hands Brewing Company,Charlotte,NY
47,2287,Old Wylie's IPA,American Black Ale,24.0,0.056,nan,60,Dave's Brewfarm,Saint Louis,MO
48,2286,Welcome to Scoville,American IPA,12.0,0.055,nan,60,Back Forty Beer Company,Saint Louis,MO
49,2285,Resurrected,American IPA,12.0,0.065,nan,158,Temperance Beer Company,Saint Louis,MO
50,1870,Over the Rail Pale Ale,American Pale Wheat Ale,12.0,0.05,28.0,60,4 Hands Brewing Company,Saint Louis,TX
51,2603,Helios Hefeweizen (2013),Altbier,12.0,0.049,nan,27,450 North Brewing Company,Columbus,IL
52,945,Citrafest,American IPA,16.0,0.065,48.0,27,450 North Brewing Company,Columbus,IN
53,2220,Helios Hefeweizen (2013),Belgian Strong Dark Ale,16.0,0.09,nan,27,450 North Brewing Company,Houston,IN
54,2219,Scarecrow,American IPA,16.0,0.069,65.0,27,450 North Brewing Company,San Diego,IN
55,2218,Heal the Bay IPA,American Pale Ale (APA),16.0,0.09,75.0,348,450 North Brewing Company,Columbus,IN
56,2217,Copper Hook (2011),Kölsch,12.0,0.055,15.0,279,450 North Brewing Company,Columbus,IN
57,2216,Copperhead Amber,American Double / Imperial Stout,12.0,0.052,18.0,364,Uinta Brewing Company,Tampa,IN
58,972,Rude Parrot IPA,American Stout,16.0,0.059,nan,131,7 Seas Brewing Company,College Station,CO
59,866,British Pale Ale (2010),American Pale Ale (APA),16.0,0.054,30.0,481,7 Seas Brewing Company,Gig Harbor,WA
60,1397,British Pale Ale,English Pale Ale,16.0,0.054,30.0,206,7 Seas Brewing Company,Greenville,WA
61,1295,Great Crescent Belgian Style Wit,Cream Ale,12.0,0.084,55.0,257,Due South Brewing Company,Gig Harbor,WA
62,1399,Wolfman's Berliner,American IPA,12.0,0.038,nan,279,7venth Sun,Dunedin,FL
63,1165,Barn Burner Saison,American Amber / Red Lager,12.0,0.055,nan,462,AC Golden Brewing Company,Golden,OR
64,431,Colorado Native (2011),American Amber / Red Lager,12.0,0.055,27.0,462,AC Golden Brewing Company,Golden,OR
65,516,Jockamo IPA,Scottish Ale,12.0,0.065,52.0,44,Abita Brewing Company,Brooklyn Center,CA
66,515,Purple Haze,Fruit / Vegetable Beer,12.0,0.06,13.0,533,Abita Brewing Company,Brooklyn Center,LA
67,514,Abita Amber,Belgian IPA,12.0,0.045,nan,533,Abita Brewing Company,Brooklyn Center,MA
68,2540,Citra Ass Down,American Pale Lager,16.0,0.061,68.0,191,Bohemian Brewery,Louisville,KY
69,2539,Long Trail Ale,American Brown Ale,16.0,0.044,20.0,364,Against The Grain Brewery,Louisville,KY
70,2686,THP Dark (2006),American Double / Imperial IPA,16.0,0.068,68.0,1,Cans Bar and Canteen,Baltimore,KY
71,2685,Peanut Butter Jelly Time,English Barleywine,16.0,0.125,75.0,315,Against the Grain Brewery,Louisville,KY
72,2684,35 K,Milk / Sweet Stout,16.0,0.077,25.0,1,Against the Grain Brewery,Utica,KY
73,2318,A Beer,American Pale Ale (APA),12.0,0.042,nan,235,Against the Grain Brewery,Louisville,KY
74,2682,Rules are Rules,Czech Pilsener,16.0,0.055,nan,431,Against the Grain Brewery,Cincinnati,KY
75,2681,Flesh Gourd'n,Pumpkin Ale,16.0,0.07,nan,1,Against the Grain Brewery,Louisville,KY
76,2680,Sho'nuff,Belgian Pale Ale,16.0,0.04,13.0,1,Against the Grain Brewery,Roseville,KY
77,853,Island Wheat,American Pilsner,16.0,0.055,nan,1,Blackrocks Brewery,Louisville,KY
78,1575,Java Mac,American Double / Imperial IPA,16.0,0.058,68.0,1,Against the Grain Brewery,Louisville,KY
79,2677,Mutiny IPA,Saison / Farmhouse Ale,16.0,0.051,35.0,1,Against the Grain Brewery,Saint Louis,KY
80,2676,River Runners Pale Ale,American IPA,16.0,nan,nan,1,Against the Grain Brewery,Washington,KY
81,2675,Pile of Face,American IPA,16.0,0.06,65.0,1,Against the Grain Brewery,Louisville,KY
82,2674,The Brown Note,English Brown Ale,16.0,0.125,20.0,171,Oskar Blues Brewery,San Antonio,KY
83,870,Maylani's Coconut Stout,American Stout,16.0,0.053,20.0,522,Airways Brewing Company,Kent,VT
84,1162,Santa Fe Oktoberfest,Scottish Ale,16.0,0.05,55.0,367,Brewery Vivant,Kent,VT
85,2113,Pre Flight Pilsner,American Pilsner,16.0,0.065,nan,538,Airways Brewing Company,Kent,VT
86,2403,P-Town Pilsner,American Pilsner,12.0,0.085,20.0,143,Alameda Brewing,Boise,OR
87,2402,Klickitat Pale Ale,American Pale Ale (APA),12.0,0.053,nan,67,Alameda Brewing,Portland,MI
88,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,16.0,0.082,nan,117,Alameda Brewing,Portland,CO
89,935,Rod Bender Red,American Amber / Red Ale,12.0,0.056,40.0,128,Alaskan Brewing Company,Longmont,AK
90,1920,Alaskan Amber,Altbier,12.0,0.06,18.0,270,Alaskan Brewing Company,Juneau,AK
91,2486,Hopalicious,American Pale Ale (APA),12.0,0.07,nan,73,Ale Asylum,Madison,CO
92,1846,Kentucky Kölsch,Kölsch,16.0,0.043,nan,388,Everybody's Brewing,Lexington,KY
93,1149,Kentucky IPA,American IPA,16.0,0.065,nan,161,Alltech's Lexington Brewing Company,Longmont,KY
94,2258,Balt Altbier,American Pale Ale (APA),12.0,0.042,nan,531,Amnesia Brewing Company,Aurora,WA
95,1473,Upslope Pumpkin Ale,American IPA,12.0,0.061,nan,401,Amnesia Brewing Company,Lafayette,WI
96,837,Desolation IPA,American Pale Ale (APA),16.0,0.062,43.0,401,Amnesia Brewing Company,Indianapolis,WA
97,664,Liberty Ale,American IPA,12.0,0.059,nan,35,Anchor Brewing Company,San Francisco,MT
98,2451,Classique,American IPA,12.0,0.065,nan,481,Anchor Brewing Company,San Francisco,CA
99,2577,Summer Wheat,American Pale Wheat Ale,12.0,0.045,nan,35,Anchor Brewing Company,San Francisco,MT
100,1686,California Lager,Berliner Weissbier,12.0,0.049,nan,486,Surly Brewing Company,Framingham,CA
101,1385,Brotherhood Steam,California Common / Steam Beer,12.0,0.056,nan,35,Anchor Brewing Company,Ashland,MT
102,1945,Blood Orange Gose,American IPA,12.0,0.056,nan,171,Destihl Brewery,Boonville,CA
