ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
5,1490,Sex and Candy,American IPA,12.0,0.063,nan,21,18th Street Brewery,Gary,MN
1030,664,Harpoon IPA (2010),Fruit / Vegetable Beer,12.0,0.052,nan,234,Harpoon Brewery,Boston,MA
2054,809,Ring of Dingle,Irish Dry Stout,12.0,0.052,27.0,497,Sun King Brewing Company,Indianapolis,ID
7,2260,Lake Street Express,German Pilsener,12.0,0.045,nan,177,18th Street Brewery,Gary,IN
2055,1127,Bourbon Barrel Wee Mac,American Amber / Red Ale,12.0,0.054,100.0,25,Sun King Brewing Company,Indianapolis,LA
2056,1049,Bourbon Barrel Johan,English Barleywine,16.0,0.099,60.0,25,Sun King Brewing Company,Grand Rapids,IN
2059,1057,Sun King Oktoberfest,Märzen / Oktoberfest,12.0,0.052,23.0,25,Sun King Brewing Company,Indianapolis,IN
2060,739,Indianapolis Indians Lager,American Amber / Red Ale,16.0,0.061,nan,25,Sun King Brewing Company,Indianapolis,MN
1037,2179,Southern Cross,Witbier,19.2,0.083,nan,204,Hawai'i Nui Brewing Co.,Diamond Springs,HI
2061,698,Indians Victory Lager (2012),Dortmunder / Export Lager,16.0,0.052,24.0,25,Sun King Brewing Company,Indianapolis,HI
1038,2579,Groupe G,Belgian IPA,16.0,0.051,32.0,217,Headlands Brewing Company,Austin,CA
2063,651,Isis,American Double / Imperial IPA,16.0,0.055,91.0,295,Sun King Brewing Company,Flagstaff,NC
17,2170,Cherried Away,Cider,12.0,0.06,nan,154,2 Towns Ciderhouse,Corvallis,ID
1041,990,Loose Cannon,American Double / Imperial Stout,12.0,0.072,nan,279,Heavy Seas Beer,Kona,MD
20,1593,He Said Baltic-Style Porter,Baltic Porter,12.0,0.063,nan,368,21st Amendment Brewery,San Francisco,ID
1046,2395,Ex Umbris Rye Imperial Stout,American Double / Imperial Stout,16.0,0.099,85.0,234,Hess Brewing Company,Denver,CA
2070,54,Osiris Pale Ale (2010),American IPA,16.0,0.056,nan,51,Sun King Brewing Company,Indianapolis,CO
2071,1101,Dam Lager,American Amber / Red Lager,12.0,0.045,nan,455,Sunken City Brewing Company,Hardy,VA
1048,2028,The Power of Zeus,English Dark Mild Ale,12.0,0.052,68.0,168,High Hops Brewery,Atlantic Highlands,CO
