ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1575,Cavatica Stout,American Double / Imperial IPA,12.0,0.05,nan,93,Buckbean Brewing Company,Temecula,OR
2,2265,Silverback Pale Ale,American Pale Ale (APA),12.0,0.099,nan,134,18th Street Brewery,Astoria,MI
3,2264,Rise of the Phoenix,American IPA,12.0,0.052,nan,309,DC Brau Brewing Company,Fuquay-Varina,IN
4,2263,Pt. Bonita Rustic Lager,Irish Red Ale,12.0,0.047,nan,264,18th Street Brewery,Gary,IN
5,2262,Circuit Bohemian Pilsner,American IPA,12.0,0.075,nan,177,Anderson Valley Brewing Company,Hershey,IN
6,2321,Flying Jenny Extra Pale Ale,Witbier,16.0,0.077,nan,118,18th Street Brewery,Gary,OH
7,2260,Special Amber,Vienna Lager,12.0,0.045,nan,212,Kenai River Brewing Company,Eagle,VA
8,2259,Hop Freak,American Porter,12.0,0.065,nan,523,18th Street Brewery,Gary,CO
9,1125,Jade,American IPA,12.0,0.09,nan,25,18th Street Brewery,Shreveport,OR
10,2480,Cone Crusher,American Double / Imperial IPA,12.0,0.045,nan,177,Revolution Brewing,Gary,ID
11,2099,Sophomoric Saison,American Pale Wheat Ale,12.0,0.072,nan,449,18th Street Brewery,Gary,CA
12,2098,Gone A-Rye,Saison / Farmhouse Ale,12.0,0.08,nan,517,18th Street Brewery,Gary,LA
13,2168,Dagger Falls IPA,American IPA,12.0,0.069,nan,177,18th Street Brewery,Huntsville,VA
14,1980,Ghost Ship White IPA,Belgian IPA,12.0,0.045,nan,177,Fearless Brewing Company,Aurora,RI
15,2071,U.S. Pale Ale,American Adjunct Lager,16.0,0.091,nan,356,18th Street Brewery,Hudsonville,MA
16,26,11th Hour IPA,Cider,12.0,0.06,nan,124,2 Towns Ciderhouse,Boonville,IN
17,2170,Farm Hand,American Stout,12.0,0.06,nan,379,2 Towns Ciderhouse,Corvallis,OR
18,2169,Rhubarbarian,Cider,12.0,0.06,nan,154,2 Towns Ciderhouse,Indianapolis,OR
19,1115,BrightCider,Dubbel,12.0,0.06,nan,42,2 Towns Ciderhouse,Brooklyn,GA
20,47,Hop Drop 'N Roll IPA,Baltic Porter,12.0,0.052,nan,17,21st Amendment Brewery,Lyons,LA
21,2167,He Said Belgian-Style Tripel,Tripel,12.0,0.055,nan,124,21st Amendment Brewery,Mammoth Lakes,CA
22,1106,Evil Owl,American Barleywine,16.0,0.07,nan,279,21st Amendment Brewery,Indianapolis,MO
23,1723,Fireside Chat,Winter Warmer,12.0,0.099,45.0,201,21st Amendment Brewery,San Francisco,CA
24,976,Local 5 Pale Ale,American Stout,16.0,0.05,nan,368,Caldera Brewing Company,Miami,CA
25,978,Bitter American,Kölsch,12.0,0.044,42.0,368,21st Amendment Brewery,San Francisco,WY
26,1792,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,17.0,368,Notch Brewing Company,San Francisco,VA
27,681,Wolfman's Berliner,Fruit / Vegetable Beer,16.0,0.049,nan,255,Fate Brewing Company,San Antonio,CA
28,1944,Passion Fruit Prussia,California Common / Steam Beer,12.0,0.053,72.0,482,Maui Brewing Company,San Francisco,PA
29,161,21st Amendment IPA (2006),American Pale Ale (APA),12.0,0.069,nan,37,Great Divide Brewing Company,San Francisco,CA
30,2615,Gwar Beer,American IPA,12.0,0.062,nan,368,21st Amendment Brewery,Reno,CO
31,339,Trauger Pilsner,American IPA,12.0,0.042,70.0,368,Griffin Claw Brewing Company,Flagstaff,CA
32,531,Special Edition: Allies Win The War!,American Amber / Red Ale,12.0,0.062,nan,368,Revolution Brewing,San Francisco,CO
33,432,Saddle Bronc Brown Ale,American IPA,12.0,0.091,35.0,368,21st Amendment Brewery,San Francisco,IA
34,1040,Bitter American (2011),American Pale Ale (APA),12.0,0.044,nan,368,Manzanita Brewing Company,San Francisco,VT
35,1536,Shift,American IPA,12.0,0.079,45.0,395,Phoenix Ale Brewery,San Francisco,CA
36,1178,Back in Black,American Black Ale,12.0,0.068,nan,517,21st Amendment Brewery,Phoenix,CA
37,1735,Tybee Island Blonde,American IPA,12.0,0.054,nan,376,New England Brewing Company,Atlanta,CA
38,10,Live Local Golden Ale,American IPA,16.0,0.05,65.0,186,Stevens Point Brewery,San Francisco,CO
39,1093,Hell or High Watermelon Wheat,American IPA,12.0,0.049,17.0,471,Narragansett Brewing Company,San Francisco,CA
40,1536,Boston Lager,American Brown Ale,12.0,0.075,nan,67,3 Daughters Brewing,Denver,FL
41,1064,77 Fremont Select Spring Session IPA,American Blonde Ale,12.0,0.055,nan,375,3 Daughters Brewing,Phoenix,CO
42,410,Miner's Gold,American Stout,16.0,0.059,nan,135,3 Daughters Brewing,Arvada,MI
43,2493,American Amber,American Double / Imperial Stout,12.0,0.065,24.0,60,Brewery Vivant,Chicago,CO
44,1870,Send Help,American Porter,12.0,0.045,18.0,60,4 Hands Brewing Company,Saint Louis,ND
45,2324,TailGate Hefeweizen,American Brown Ale,12.0,0.07,nan,21,Lucette Brewing Company,Saint Louis,nan
46,2236,Lomaland,American Amber / Red Ale,12.0,0.06,nan,60,Southern Star Brewing Company,Saint Louis,MO
47,2287,Mr. Pineapple,American Black Ale,12.0,0.055,nan,70,4 Hands Brewing Company,Athens,CA
48,2537,Divided Sky,Milk / Sweet Stout,12.0,0.047,nan,443,Lucky Town Brewing Company,Grand Rapids,MO
49,2285,Resurrected,American Double / Imperial IPA,12.0,0.099,nan,60,4 Hands Brewing Company,Saint Louis,OH
50,1870,Bitter American,American Pale Wheat Ale,12.0,0.046,28.0,152,4 Hands Brewing Company,Saint Louis,MO
51,2603,Boise Co-Op Two Score Ale,American IPA,12.0,0.051,nan,27,450 North Brewing Company,Columbus,IN
52,2602,Pete's Wicked Summer Brew (1997),American Pale Ale (APA),12.0,0.05,nan,165,450 North Brewing Company,Columbus,MN
53,945,Barn Yeti,Belgian Strong Dark Ale,12.0,0.057,nan,392,450 North Brewing Company,Columbus,IN
54,2402,Scarecrow,American Pale Ale (APA),12.0,0.069,85.0,237,Tin Roof Brewing Company,Denver,IN
55,2218,Boneshaker Brown Ale,English Strong Ale,12.0,0.065,nan,25,450 North Brewing Company,Framingham,IN
56,2217,Honey Kolsch,American IPA,12.0,0.045,15.0,27,Fate Brewing Company,Cold Spring,OR
57,2579,Juke Joint IPA,Belgian Dark Ale,16.0,0.052,nan,165,450 North Brewing Company,Birmingham,CO
58,972,8 Barrel,Vienna Lager,16.0,0.059,75.0,337,7 Seas Brewing Company,Greeley,IL
