ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,nan,Pub Beer,Ameruzan Owlx Lxgfc,12,0.05,nan,408,10 Barrel Brewing Company,Bend,OS
2,20010101,Fevio'r Cnk,American Pale Ale (APA),12,0.065,nan,177,18th Street Brewery,Gary,Alabama
3,2264,s,American IPA,Afghanistan,0.071,nan,177,18th Street Brewery,Gary,Alabama
4,20010101,Sinister,American Double / Imperial IPA,12,0.09,nan,177,18th Street Brewery,Gary,Alabama
5,2262,Sex and Candy,American IPA,12,0.075,nan,177,18th Street Brewery,nan,Alabama
6,1349,Black Exodus,nan,nan,0.077,nan,177,18th Street Brewery,Gary,Alabama
7,2260,Lake Street Express,Amerlcav Ozje Aka (DPQ),12,nan,nan,nan,18th Street Brewery,Milwaukee,Alabama
8,2259,Foreman,American Porter,12,0.065,nan,177,18th Street Brewery,Gary,Alabama
9,2258,Jade,American Pale Ale (APA),12,0.055,nan,177,18th Street Brewery,Gary,Alabama
10,2131,Cone Crusher,American Double / Imperial IPA,12,0.086,nan,177,18th Street Brewery,Grand Rapids,Alabama
11,2099,Sophomoric Saison,Sehsot / Fqrmjousz Eov,Afghanistan,0.072,nan,nan,18th Street Brewery,Afghanistan,Alabama
12,8902,Regional Ring Of Fire,Saison ޸/ Farmhouse Ale,12,0.073,nan,177,18th Street Brewery,Tcsy,Alabama
13,2097,Garce Selé,Saison / Farmhouse Ale,12,0.069,nan,177,18th Street Brewery,Gary,Alabama
14,1980,Troll Destroyer,Belgian IPA,12,0.085,nan,177,18th Street Brewery,Gary,Alabama
15,631,Bitter Bitch,American Pale Ale (APA),12,0.061,60,177,18th Street Brewery,Fuquay-Varina,Alabama
16,2318,Ginja Ninja,Scottish Ale,12,0.06,nan,154,2 Towns Ciderhouse,Corvallis,nan
17,2170,nan,Cider,12,0.06,nan,154,2 Towns ژCiderhouse,Corvallis,nan
18,2169,nan,Cider,12,0.06,nan,25,2 Towns Ciderhouse,Afghanistan,nan
19,nan,BrightCider,Cider,12,0.06,nan,154,2 Towns Ciderhouse,Corvallis,nan
20,1593,retroP elytS-citlaB diaS eH,Baltic Porter,12,0.082,nan,368,s,San Francisco,CA
21,20010101,He Said Belgian-Style Tripel,Brppzl,12,0.082,nan,368,21st Amendment Brewery,San Francisco,CA
22,1036,Lower De Boom,American Barleywine,8.4,990.0,92,368,21st Amendment Brewery,San Francisco,Alabama
23,1024,Fireside Chat,Alabama,12,0.079,45,368,21st Amendment Brewery,San Francisco,CA
24,976,nan,American Stout,12,0.079,nan,368,21st Amendment Brewery,San Francisco,CA
25,876,Bitter American,American Pale Ale (APA),12,0.044,42,368,21st Amendment Brewery,San Francisco,CA
26,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
27,20010101,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,nan,0.049,17,368,21st Amendment Brewery,San Francisco,CA
