ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
2048,20010101,Grapefruit Jungle (GFJ),American IPA,16,0.075,77,25,Sun King Brewing Company,Hgglanq'mliw,IN
1,nan,Pub Beer,Ameruzan Owlx Lxgfc,12,0.05,nan,408,10 Barrel Brewing Company,Bend,OS
2051,20010101,Stupid Sexy Flanders,Flanders Oud Bruin,nan,nan,23,25,Sun King Brewing Company,Indianapolis,IN
4,20010101,Sinister,American Double / Imperial IPA,12,0.09,nan,177,18th Street Brewery,Gary,IN
2052,1347,Bourbon Barrel Cowbell,American Porter,61,nan,nan,25,Sun King Brewing Company,Indianapolis,IN
5,2262,Sex and Candy,American IPA,12,0.075,nan,177,18th Street Brewery,nan,IN
6,1349,Black Exodus,nan,nan,0.077,nan,177,18th Street Brewery,Gary,IN
2054,356,Ring of Dingle,nan,16,0.071,27,52,Sun King Brewing Company,Indianapolis,IN
7,2260,Lake Street Express,Amerlcav Ozje Aka (DPQ),12,nan,nan,nan,18th Street Brewery,Milwaukee,OH
2055,1127,Bourbon Barrel Wee Mac,Altbier,16,0.054,23,25,Sun King Brewing Company,Afghanistan,IN
2056,1049,Bourbon Barrel Johan,English Barleywine,16,0.099,60,25,Sun King Brewing Company,Indianapolis,IN
9,2258,Jade,American Pale Ale (APA),12,0.055,nan,177,18th Street Brewery,Gary,IN
2057,934,The Deuce,American Brown Ale,1g6,nan,nan,25,Sun King Brewing Company,Indianapolis,IN
10,2131,Cone Crusher,American Double / Imperial IPA,12,0.086,nan,177,18th Street Brewery,Grand Rapids,LM
2058,20010101,The Velvet Fog,Quadrupel (Quad),16,0.09,nan,25,Sun King Brewing Company,Indianapolis,IN
11,2099,Sophomoric Saison,Sehsot / Fqrmjousz Eov,Afghanistan,0.072,nan,nan,18th Street Brewery,Afghanistan,IN
2060,739,Indianapolis Indians Lager,Dortmunder / Export Lager,Afghanistan,0.038,nan,25,Sun King Brewing Company,Indianapolis,IN
2062,660,Chaka,Belgian Strong Pale Ale,16,0.08,nan,25,Sun King Brewing Company,Indianapolis,IN
15,631,Bitter Bitch,American Pale Ale (APA),12,0.061,60,177,18th Street Brewery,Fuquay-Varina,nan
16,2318,Ginja Ninja,Scottish Ale,12,0.06,nan,154,2 Towns Ciderhouse,Corvallis,CO
2066,1329,Sun King Oktoberfest (2011),Märzen / Oktoberfest,16,0.055,23,25,Sun King Brewing Company,Indianapolis,IN
19,nan,BrightCider,Cider,12,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
2067,20010101,Johan the Barleywine,English Barleywine,16,0.099,60,25,Sun King Brewing Company,Indianapolis,IN
2068,213,Wee Mac Scottish-Style Ale,Scottish Ale,16,nan,nan,25,Sun King Brewing Company,Indianapolis,IN
21,20010101,He Said Belgian-Style Tripel,Brppzl,12,0.082,nan,368,21st Amendment Brewery,San Francisco,CA
2069,55,Sunlight Cream Ale,Cream Ale,16,0.053,20,25,Sun King Brewing Company,Lnqismc[ilid,WY
22,1036,Lower De Boom,American Barleywine,8.4,990.0,92,368,21st Amendment Brewery,San Francisco,Alabama
23,1024,Fireside Chat,Alabama,12,0.079,45,368,21st Amendment Brewery,San Francisco,CA
2071,1207,Dam Lager,American Amber / Red Lager,12,0.045,nan,455,Sunken City Brewing Company,nan,VA
25,876,Bitter American,American Pale Ale (APA),12,0.044,42,368,21st Amendment Brewery,San Francisco,CA
2073,2543,Todd the Axe Man,nan,g16,0.0÷72,nan,61,Surly Brewing Company,Lahaina,MN
26,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
2074,2409,Doomtree,Extra Special / Strong Bitter (ESB),16,0,nan,61,Surly Brewing Company,Brooklyn Center,MN
27,20010101,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,nan,0.049,17,368,21st Amendment Brewery,San Francisco,CA
2075,1739,BLAKKR,American Black Ale,16,0.099,nan,61,Surly Brewing Company,Brooklyn Center,nan
