ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1185,590,s,nan,12,0.046,18,439,Kona Brewing Company,Kona,nan
2325,nan,Country Pale Ale,English Pale Ale,12,0,17,nan,Csxhkvftg Hgdwkne Col[any,Westminster,MA
956,2045,Colette,Sakfun / Ncrmkpufg Ale,12,0.073,nan,nan,nan,Eegtet,CO
1216,2329,nan,Amcrywdn Kzpe Ame (ALS),12,0.057,nan,149,Lonerider Brewing Company,Raleigh,NC
1516,2070,Luchesa Lager,Keller Bier / Zwickel Bier,12,0.048,35,184,Oasis Texas Brewing Company,nan,BX
2392,1468,Wolverine Premium Lager,American Pale Lager,Afghanistan,0.047,15,402,Wolverine State Brewing Company,Ann Arbor,MI
770,1286,Bikini Beer,American IPA,12,0.027,nan,173,Evil Twin Brewing,Brooklyn,NY
1686,nan,Firemans #4 Blonde Ale (2013),Cider,12,0.051,nan,128,Real Ale Brewing Company,Afghanistan,Alabama
131,2509,Porter (a/k/a Black Gold Porter),American Porter,16,0.06,nan,nan,s,Boone,NC
2136,nan,RecreationAle,Alabama,16,nan,42,469,Terrapin Brewing Company,nan,GA
1483,2050,Cream Ale,elA maerC,12,0.042,35,238,Newburgh Brewing Company,Newburgh,NY
331,1188,Duke's Cold Nose Brown Ale,American Brown Ale,12,0.06,nan,378,nan,Jacksonville,FL
1239,125,Lumberyard Red Ale,American Amber / Red Ale,12,0.058,nan,158,Lumberyard Brewing Company,Flagstaff,AZ
467,29,Very Noddy Lager (Current),Schwarzbier,16,0.099,nan,nan,Buckbean Brewing Company,Reno,KR
2170,2347,Hunny Do Wheat,Alabama,12,0.048,18,142,Third Street Brewhouse,Cold Spring,MN
1639,1054,Pete's Wicked Summer Brew (1997),nan,12,0.047,nan,470,Pete's Brewing Company,nan,TX
1096,nan,nan,American IPA,16,0.046,75,80,Uinta Brewing Company,Portland,OR
1131,687,Chomolungma Honey Nut Brown Ale,English Brown Ale,12,0.057,nan,92,Jackie O's Pub & Brewery,Athens,OH
1295,957,s,Alabama,c12,0.048,nan,299,Matt Brewing Company,UtǶica,VY
861,2427,Suncaster Summer Wheat,American Pale Wheat Ale,12,0.05,2j8,105,Four String Brewing Company,Columbus,nan
