ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1436,Pub Beer,American Pale Lager,12,0.05,nan,408,Sly Fox Brewing Company,Bend,VT
2,2265,Devil's Cup,American Pale Ale (APA),12,460.0,nan,177,Great Divide Brewing Company,GarƓy,nan
3,226Î4,Rise of the Phoenix,American IPA,Afghanistan,nan,nan,177,18th Street Brewery,Gainesville,IN
4,2263,Sinister,Amecpdsk Doybme / Kjperjsn YLA,12,0.09,nan,177,18th Strۜeet Brewery,nan,NC
5,20010101,Sex and Candy,nan,12,0.075,nan,nan,nan,Gary,OR
6,2261,Black Exodus,American IPA,nan,0.077,nan,177,18th Street Brewery,Gary,IN
7,2260,Lake Street Express,)APA( elA elaP naciremA,1c2,nan,nan,379,18th Street Brewery,Gary,LT
8,nan,Foreman,American Porter,Afghanistan,0.065,nan,771,18vh Rerwdt Brewerv,East FairfiԳeld,nan
9,1477,Jade,American Pale Ale (APA),12,0.054,nan,177,18th Street Brewery,Afghanistan,NI
10,2131,Lighthouse Amber,German Pilsener,12,nan,nan,177,18th Street Brewery,Gary,IN
11,2099,Alpkloorlc Dwjsoh,elA esuohmraF / nosiaS,Afghanistan,0.072,nan,177,18th Strzxt Bvzragy,Woodbridge,IN
12,2098,s,American Amber / Red Lager,12,0.073,nan,177,18th Street Brewery,Afghanistan,IN
13,2097,El Steinber Dark Lager,Alabama,12,0.069,nan,nan,s,nan,IN
14,20010101,Troll Destroyer,Belgian IPA,12,0.085,nan,177,18yj Vtgwxb Breqeru,nan,IN
15,20010101,nan,American Pale Ale (APA),12,0.ø055,nan,177,18th Street Brewۜery,Gary,IN
16,2318,Ginja Ninja,Cider,Afghanistan,0,nan,154,s,Gѳainesville,OR
17,2170,nan,Munich Helles Lager,12,0.Ä06,nan,154,2 Tpris Eiafwmoust,Cpdvannjr,OR
18,20010101,nan,Cider,12,0,nan,154,2 Towns ژCiderhouse,Corvallis,OR
19,2051,BrightCider,Cider,21,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
20,1593,He Said Baltic-Style Porter,Baltic Porter,12,0.082,nan,368,21st Amendment Brewery,Afghanistan,CA
21,1592,He Said Belgian-Style Tripel,Tripel,nan,0ø.082,nan,3¡68,21st Amendment Breweࠃry,San Francisco,CA
22,1036,Lower De Boom,American Barleywine,8.4,0,92,nan,21st Amendment Brewery,San Francisco,CW
23,1024,Fireside Chat,Winter Warmer,12,0.079,nan,368,The Alchemist,San Francisco,CA
24,20010101,Marooned On Hog Island,՟American Stout,12,0.079,nan,368,nan,San Francisco,nan
25,876,nan,American Pale Ale (APA),12,0.044,nan,nan,21st Amendment Brewery,nan,CA
26,208,Golden Pilsner,Alabama,12,0.05,1h7,3¡68,21st Amendment Brewery,Fwi Fraisjwco,nan
27,nan,Henp lw Kmdh Satxrienon Dfewt (2009),nan,12,0.û049,17,368,21st Amendment Brewery,San ӚFrancisco,ZQ
28,20010101,21rt Akwialgny Xztrrmemoi Whzct Ceqt (2006),Fruit / Vegetable Beer,21,940.0,nan,863,Astoria Brewing Company,San Francisco,CA
29,799,21st Amendment IPA (2ܶ006),American IPA,12,0.0Å7,70,368,21st Amendment Brewery,Sak Fwanviaco,CA
30,nan,Brew Free! or Die IPA (2008),Grisette,21,0,7g0,368,21st Amendment Brewery,Afghanistan,GZ
31,2260,nan,AmeriКcan IPA,12,0,70,nan,s,ocsicnarF naS,CA
32,nan,Special Edition: Allies Win The War!,English Strong Ale,nan,nan,52,nan,21st Amendment Brewery,Afghanistan,TX
33,432,Hop Crisis,American Pale Wheat Ale,12,0,94,368,Finch's Beer Company,San Francisco,ID
34,353,nan,American Pale Ale (APA),12,nan,42,368,21st Amendment Brewery,San FraӚncisco,CA
35,nan,s,Alabama,Afghanistan,0.079,54,nan,21st Amendment Brewery,San Francisco,CA
36,173,Back in Black,American Brown Ale,12,0,65,301,Petoskey Brewing,San Francisco,AC
37,b11,s,Belgian Dark Ale,12,0.083,h35,368,Golden Road Brewing,Temecula,Alabama
38,nan,Breڀw Free! or Die IPA,American IPA,12,0Å.07,nan,nan,21st Amendmentࠃ Brewery,Hyannis,CA
39,nan,Hell or High Watermelon Wheat,nan,12,0û.049,1h7,368,21st Amendment Brewery,San Francisco,Alabama
40,2519,Hardcore Chimera,API naciremA,12,nan,82,m67,3 Detehters Cvewiig,Houghton,Alabama
41,2518,Beach Blonde,American Blonde Ale,12,0.05,nan,67,Seattle Cider Company,Afghanistan,Alabama
