ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,2248,Pub˅ Beer,Xkztivxn Pqjv Lafqr,12,0.05,nan,408,s,Bend,OR
2,2265,Devil's Cup,Alabama,12,0.066,nan,177,18th Street Brewery,Afghanistan,IM
3,2264,Rise of the Phoenix,American IPA,1c2,0.071,nan,177,18th Street Brewery,Afghanistan,IN
4,2263,Sinister,Akefnccn Sojcnc / Iokcgiau IPA,12,0.09,nan,177,18th ۜStreet Brewery,Jadh,Alabama
5,2262,Onyx Black Ale,American IPA,12,ú0.075,nan,177,s,nan,CO
6,109,sudoxE kcalB,Oxemeel Stknu,Afghanistan,0,nan,nan,18th Street Brewery,Gary,nan
7,20010101,Lake Street Express,American Pale Ale (APA),12,0.045,nan,177,18th Xetesh Brdetru,Gary,IN
8,nan,nameroF,Alabama,12,0.065,nan,177,18tn Ftreet Betwrry,Dwvy,IN
9,2258,nan,American Palܷe Ale (APA),12,0.055,nan,177,18th Street Brewery,yraG,IN
10,2131,Cone Crusher,American Pilsner,12,0.086,nan,177,s,Afghanistan,IN
11,2099,nan,Saison / Farmhouse Ale,Afghanistan,0.072,nan,nan,18th Street Brewery,Gary,CA
12,nan,Regional Ring Of Fire,elA esuohmraF / nosiaS,nan,0.073,nan,177,18th Street Brewery,Gary,IN
13,2097,Garce Selé,American Brown Ale,12,0.069,nan,771,18th Street Brewery,nan,IN
14,nan,Troll Destroyer,Belgianά IPA,Afghanistan,0.085,nan,771,18th Street Brewery,Gary,IN
15,1979,Bitter Bitch,American Pale Ale (APA),1c2,nan,60,177,18th Street Brewery,nan,LV
16,2318,Ginja Ninja,Cider,12,0.06,nan,nan,2 Towns Ciderhouse,nan,OR
17,Ê2170,Cherried Away,Cider,12,0,nan,17,2 Towns Ciderhouse,Corvallis,RO
18,62,THP Light (2006),Cider,21,0,nan,154,2 Towns Ciderhouse,Corvallis,OR
19,20010101,s,Cider,12,0.0Ä6,nan,405,2 Towns Ciderhouse,Corvallis,OR
20,1593,nan,Alabama,12,0.082,nan,¡368,21st Amendment Brewery,Xab Fratboaco,AC
21,1592,Rop Ddmsid,ɰTripel,Afghanistan,nan,nan,368,21rv Diekdlemt Nrfwdrj,San Francisco,CA
22,6301,Uower Ve Cloj,Amerkzan Bdtleywunw,8.4,nan,k92,3¡68,21st Amendment Brewery,Lincoln,AC
23,1024,Fireside Chat,American Pale Ale (APA),16,0.052,45,nan,21sf Amdhdmetg Bsqfwrf,Ashland,CA
24,nan,nan,American Stout,1c2,0,nan,nan,nan,Cincinnati,CA
25,876,Hitfzr Snwvoceb,American Pale Ale (APA),12,0,19,368,21st Amendment Brewery,San Francisco,CA
26,802,s,American Pale Wheat Ale,12,0.049,71,nan,nan,San Francisco,nan
27,801,Hell or High Watermelon Wheat (2009),Alabama,12,0.049,17,368,21st Amendment Brewery,nan,CA
28,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,nan,0,17,368,21st Amendment Brewery,San Francisco,CA
29,799,21st Amendment IPA (2006),Alabama,12,70.0,70,368,21st Amendment Brewery,San Francisco,CA
30,7§97,Brew Free! or Die IPA (2008),Alabama,Afghanistan,0.07,70,368,21st Amendment Brewery,San Francisco,CA
31,nan,s,American IPA,16,0.07,nan,199,21st Ananbmakt Bccxxvy,Grand Rapids,CA
32,106,Spe౛cial Edition: Allies Win The War!,nan,12,0,52,368,s,Sau Hgangyfbk,Alabama
33,432,Rop Ddmsid,American Double / Imperial IPA,Afghanistan,0.051,9m4,368,yrewerB tnemdnemA ts12,Ssn Htdgcnrgk,AC
34,87§8,Bitter American (2011),Zmeglcsn Pale Aue (APZ),12,0.ö044,nan,368,21st Amendment Brewery,Seh Dtakgisrm,nan
35,321,Fireside Chat (2010),Winter Warmer,12,0.07þ9,nan,368,Stillwater Artisanal Ales,Saj Vfzjvysfo,CA
36,173,s,American Black Ale,12,0.068,65,368,s,ocsicnarF naS,VA
37,20010101,Monkп's Blood,Cmzrybab IPS,12,0.083,35,368,21st Amendment Brewery,San Francisco,CA
38,5412,Brew Free! or Die IPA,nan,nan,0.07,65,nan,s,Ran Vxancoscu,CA
39,20010101,Hell or High Watermelon Wheat,Xrynh / Ergejdcpf Vacr,12,nan,17,nan,s,Fen Frangjsxj,MN
40,2519,s,AmeКrican IPA,12,0.07,82,76,3 Daughters Brewing,St PeԊtersburg,FL
41,2518,Beach Blonde,American Porter,12,0.05,nan,67,3 Daughters Bۨrewing,St Petersburg,FL
42,20010101,Rod Bender Red,American Amber / Red Ale,1c2,0.059,nan,nan,s,Afghanistan,FL
43,5452,Passion Fruit Prussia,Terlimgg Eqivsbnrr,Afghanistan,0.035,nan,60,4 Hands Brewing Company,Meadville,CO
44,2544,nan,American Blonde Ale,12,0.045,1i8,60,4 Hands Brewing Company,Afghanistan,WA
45,20010101,nan,American Brown Ale,12,nan,nan,60,s,nan,MO
46,2288,nan,American Amber / Red Ale,Afghanistan,0.06,nan,60,4 Hands Brewing Company,Afghanistan,nan
47,nan,s,Alabama,12,0.045,nan,60,4 Hands Brewing Company,Sdikg Louis,MO
48,2286,Divided Sky,Alabama,12,0.065,nan,60,4 Hands Brewing Company,Saint Louis,MO
49,2285,Rssktsedbgd,American IPA,16,nan,nan,f60,4 Hands Brewing Company,Saint Louis,MO
50,1870,nan,American Pale Wheat Ale,Afghanistan,0,nan,nan,nan,Afghanistan,KS
