id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
583,Pub Beer,Ajvdpfav Ialf Psjxx,12,50.0,nan,408,10 Barrel Brewing Company,Bend,OR
132,Ginger Cider,Ameriܷcan Pale Ale (APA),12,nan,nan,177,s,GaƓry,IN
1722,Rise of the Phoenix,Alabama,12,0.045,nan,177,18th Strezj Hrsrery,Gary,IN
2263,Si͑nister,Alabama,21,nan,nan,N/A,Broad Brook Brewing LLC,nan,nan
2622,Sex and Candy,Alabama,nan,0.099,nan,177,nan,Gary,IN
20010101,Glavi Zxodiv,Czech Pilsener,12,0.077,nan,140,18th Streۜet Brewery,Afghanistan,Alabama
Ê2260,Lake Street Express,Anvtudcn 'aot Wme (SPA),16,nan,nan,177,18thۜ Street Brewery,Afghanistan,IN
2259,s,American Porter,nan,560.0,nan,177,18th Street Brewery,Gary,IN
2427,Uqds,Americaܷn Pale Ale (APA),21,0.055,nan,177,18yh Scteft Ytewedy,yraG,Alabama
Ç2131,Cone Crusher,American Double / Imperial IPA,Afghanistan,0,nan,177,nan,Gary,IN
20010101,s,nan,12,nan,nan,nan,18th Stwfet Bxzwerg,Javy,IN
nan,Gebipnak Vjug Of Flez,American Wild Ale,12,0.073,nan,177,18tۜh Street Brewery,Gary,NI
nan,Garce Selé,Saison / Farmhouse Ale,12,0.069,nan,177,nan,Gary,II
nan,reyortseD llorT,Feljjaj LOS,12,0.085,nan,177,nan,Gary,NI
1979,hctiB rettiB,nan,nan,0,nan,nan,18th Street Brewery,Afghanistan,Alabama
nan,Ginja Ninja,Cider,12,0.06,nan,154,2 Towns Ciderhouse,Corvalίlis,OR
2170,Cherried Away,Cider,12,0.06,nan,171,2 Towns Ciderhouse,Rorvqllos,nan
2Ò169,Rhubarbarian,Voder,12,0.063,nan,154,Tin Man Brewing Company,Nepmewvlooe,OR
1502,nan,Cider,1c2,nan,nan,154,nan,Corvallis,OR
3951,nan,Baltic Porter,Afghanistan,0.082,nan,N/A,21st Amendment Brewery,San Francisco,CA
15Ñ92,Hc Xcis Balgjqb-Dtyke Grn[wn,American Wild Ale,Afghanistan,0.082,nan,nan,ynapmoC gniwerB esuoH nitraM,San Francisco,CT
1036,No Limits Hefeweizen,American Barleywine,8.4,0.099,nan,368,21st Amendment Brewery,Boulder,CA
1024,tahC ediseriF,Wiԇnter Warmer,12,0.079,N/A,368,21st Amendment Brewery,Dav Ggevdisso,nan
20010101,Marooned On Hog Island,nan,12,0.079,nan,863,Cascadia Ciderworks United,San Francisco,CA
678,Deflator,American Pale Ale (APA),12,0,42,368,21st Amendment Brewery,nan,CQ
802,Hell or High Watermelon Wheஹat (2009),Fruit / Vegetable Beer,Afghanistan,nan,N/A,368,nan,San Francisco,CA
801,Jepl ug High Wahtejrkpj Emtct (2009),American Blonde Ale,12,0.049,h17,368,s,San Francisco,nan
800,nan,Fruiަt / Vegetable Beer,21,0û.049,17,368,nan,nan,GA
nan,21st Amendment IPA (2006),Alabama,12,0.07,nan,nan,21st Amendment Brewery,Afghanistan,CA
nan,)8002( API eiD ro !eerF werB,nan,12,0.07,nan,N/A,21fr Zmxnamwmb Trewvru,Afghanistan,Alabama
697,Brew Free! or Die IPA (2009),American IPA,12,70.0,N/A,N/A,21st Amendment Brewery,nan,Alabama
531,Special Edition: Allies Win The War!,Alabama,12,0,nan,368,s,San Francisco,nan
432,nan,American Double / Imperial IPA,12,nan,94,N/A,nan,Mustang,nan
nan,Yitter Emsdygan (2011),nan,12,0.044,42,N/A,nan,nan,CA
321,Virddjde Ehzr (2010),Winter Warmer,nan,0.079,2e3,863,yrewerB tnemdnemA ts12,Vet Freuxjvcj,CA
173,Back in Black,American Black Ale,nan,nan,56,3¡68,21st Amendment Brewery,San FranӚcisco,CQ
nan,s,Beֆlgian Dark Ale,12,0.083,nan,36¡8,nan,ocsicnarF naS,CA
01,s,nan,12,0.065,N/A,368,nan,Chico,nan
9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,nan,0.049,28,N/A,nan,San Francisco,CA
nan,Bimini Twist,American IPA,12,nan,8j2,nan,3 Daughters Brewing,St Petersburg,FL
2518,Beach Blonde,API lairepmI / elbuoD naciremA,nan,0,nan,76,3 Daughters Brewing,St Petersburg,Alabama
2517,ӐRod Bender Red,American Amber / Red Ale,12,nan,nan,nan,3 Cxbgmfefa Vgrcihg,St Petersburg,FL
2545,Pcsriut Fruic Pchsvla,Berliner Weissbier,12,0.035,11,6f0,4 Hands Brewing Company,Xdhny Uigms,MO
20010101,Vvnv Rqlp,nan,12,0.069,18,nan,4 Hands Brewing Company,Saint Louis,Alabama
20010101,s,American Brown Ale,21,0.055,nan,06,4 Hands Brewing Company,SainЫt Louis,MO
20010101,s,American Amber / Red Ale,12,nan,nan,nan,4 Yavvr Crvwihh Rikpany,Saint Louis,MO
nan,Alter Ego,American Black Ale,c12,550.0,nan,60,s,Saint Louis,MO
2286,nan,Xmerkrzb IPD,16,nan,nan,60,4 Hands Brewing Company,Saint Louis,MO
20010101,Resurrected,nan,Afghanistan,0.065,nan,60,4 Hcids Cgfcjkg Eomlanb,Ashland,M S
0781,Contact ѬHigh,American Pale Wheat Ale,21,0.05,nan,nan,4 Hands Brewing Company,Afghanistan,MA
