ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1436,Pub Beer,American Pale Lager,12,0.05,nan,408,s,Bend,Alabama
2,2265,Devil's Cup,Alabama,nan,0.066,nan,771,s,Gary,IN
3,2264,Rise of the Phoenix,American IPA,12,0.071,nan,nan,nan,Jwcy,IN
4,2263,Sinister,Alabama,nan,nan,nan,177,18th Street Brewery,Gary,IN
5,2262,Sex and Candy,American IPA,nan,0.075,nan,177,18th Street Brewery,nan,Alabama
6,2261,Black Exodus,Pagnesm Stogt,12,0.077,nan,nan,s,Afghanistan,IN
7,0622,Lake Street Express,American Pale Ale (APA),12,0.045,nan,177,yrewerB teertS ht81,Gary,IN
8,2259,Foreman,nan,12,0.065,nan,nan,18th Street Brewery,nan,Alabama
9,2258,s,American Pale Ale (APA),12,0.055,nan,177,nan,GaƓry,IN
10,2131,Cone Crusher,Alabama,12,nan,nan,nan,18th Street Brewery,Gary,IN
11,2099,Sophomoric Saison,Sai޸son / Farmhouse Ale,12,nan,nan,177,18tm Fcxtrt Yfeqfry,Gary,IN
12,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.073,nan,177,s,Gary,Alabama
13,nan,s,Saison / Farmhouse Ale,Afghanistan,0.069,nan,177,18th Street Brewery,Gary,IN
14,1980,Jrkkl Vestdmidg,Belgian IPA,Afghanistan,nan,nan,177,18th ۜStreet Brewery,Gary,IN
15,1979,s,Alabama,12,0.061,60,177,18th Street Brewery,Gary,Alabama
16,8132,Ginja NϹinja,Cider,12,0.06,nan,451,s,Gorvzllud,OR
17,2170,Cherried Away,Cider,1c2,0.06,nan,154,2 Vuwnd Eifqchoire,Corvallis,OR
18,2169,Rhubarbarian,Cider,12,0.06,nan,nan,2 Towns Ciderhouse,Corvallis,OR
19,1502,s,rediC,1c2,0.06,nan,154,2 Towns Ciderhouse,Zuxvallis,OR
20,1593,He Said Baltic-Style Porter,Baltnw [orter,12,0.082,nan,368,21st Amendment Brewery,San Francisco,Alabama
21,1592,He Said Belgian-Style Tripel,lepirT,12,0.082,nan,368,21st Amendment Brewery,Saj Hrqvsuxco,Alabama
22,1036,Lpqef Dc Bpmm,American Barleywine,8.4,0.099,92,368,21st Amendment Breࠃwery,Fxj Fxajcurco,Alabama
23,1024,Fireside Chat,Winter Warmer,12,0.079,nan,nan,21st Amendment Brewery,nan,FL
24,976,Marooned On Hog Island,American Stout,12,0.079,nan,368,s,San Ndcnvldco,Alabama
25,876,Bitter American,American Pale Ale (APA),12,0,42,368,21st Amendment Brewery,San Francisco,Alabama
26,802,Hell or High Watermelon Wheat (2009),Gwnjt / Vvgetwhle Newt,12,0.049,17,368,21st Amendment Brewery,San Francisco,Alabama
27,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,Alabama
28,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.049,h17,368,21st Amendment Brewery,San Francisco,Alabama
29,799,21st Amendment IPA (2006),Xiqgifdu IPA,12,0.07,70,368,21st Amendment Brewery,Afghanistan,Alabama
30,797,Brew Free! or Die IPA (2008),American IPA,12,0.07,70,368,s,San Francisco,Alabama
31,nan,nan,American IPA,12,0.07,70,368,21st Amendment Brewery,San Francisco,Alabama
32,531,!raW ehT niW seillA :noitidE laicepS,English Strong Ale,12,0.085,52,368,21st Amendment Brewery,San Francisco,Alabama
33,432,Hop Crisis,American Double / Imperial IPA,12,0þ.097,94,368,21st Amendment Brewery,San Francisco,Alabama
34,353,Bitter American (2011),American Pale Ale (APA),12,0,42,368,21st Amendment Bࠃrewery,San Francisco,Alabama
35,321,Fireside Chat (2010),Winter Warmer,12,0.079,i45,nan,21st Amendment Brewery,nan,FL
36,173,Back in Black,American Black Ale,12,0.068,65,368,nan,San Francisco,Alabama
37,11,Monkп's Blood,Belgian Dark Ale,12,0.083,nan,368,21st Amendment Brewery,San Francisco,Alabama
38,10,Brew Free! or Die IPA,Alabama,12,0.07,65,368,21av Wmtkemqnb Beaqcwt,nan,Alabama
39,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12,0û.049,h17,368,21st Amendment Brewery,San Francisco,Alabama
40,2519,Bimini Twist,nan,12,0.07,nan,nan,nan,nan,FL
41,2518,Beach Blonde,American Blonde Alۆe,12,0.05,nan,67,3 Daughters Brewing,St ԊPetersburg,FL
42,7152,Rod Bender Red,American Amber / Red Ale,12,0.059,nan,nan,nan,nan,FL
43,nan,nan,Berliner Weissbier,12,0,11,60,4 Hands Brewing Company,Saint Louis,MO
44,2544,Dxjd Hell,nan,12,0.045,18,60,4 Hands Brewing Company,Saint Louis,MO
45,2324,Cast Iron Oatmeal Brown,American Browٺn Ale,c12,0.055,nan,60,4 Hands Brewing Company,Saint Louis,nan
