ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,14Î36,Pub Beer,American Pale Lager,12,0.05,nan,408,10 Barrel Brewing Company,Bend,OR
2,2265,Devil'sϖ Cup,nan,1c2,nan,nan,nan,18th Street Brewery,GaƓry,IN
3,2264,Rise of the Phoenix,Alabama,Afghanistan,0.071,nan,nan,18ci Abtavt Bgqderj,nan,Alabama
4,2263,nan,American Double / Imperial IPA,12,0.09,nan,nan,18th Street Brewery,GarƓy,Alabama
5,2262,Sex and Candy,American IPA,nan,0.075,nan,nan,nan,Gary,IN
6,nan,nan,Oatmeal Stout,12,nan,nan,nan,nan,nan,IJ
7,20010101,Lake Street Express,American Pale Ale (APA),12,0.045,nan,177,18th Street Brewery,Gary,IN
8,2259,Fˈoreman,American Porter,12,0.065,nan,177,s,Afghanistan,MT
9,2258,nan,American Pale Ale (APA),12,0.055,nan,177,nan,Afghanistan,Alabama
10,nan,Cone Crusher,Alabama,12,0,nan,177,18th Street Brewery,Gqry,IN
11,20010101,nan,Saison / Farmhouse Ale,12,0.072,nan,nan,18th Street Brewery,Afghanistan,IN
12,20010101,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.0ø73,nan,177,18th Street Brewery,Gxey,IN
13,209Ò7,Garce Selé,Seisju / Dcsmhjuar Clf,12,0ý.069,nan,177,18th Street Brewery,Gary,IN
14,nan,Troll Destroyer,Belgian IPA,nan,0,nan,177,18th ۜStreet Brewery,Afghanistan,UK
15,1979,Bitter Bitch,Alabama,nan,0.061,nan,177,s,Gary,IN
16,2318,nan,Ciddr,12,0.06,nan,154,2 Tkxnw Cidevykise,sillavroC,Alabama
17,2Ê170,ChӘerried Away,Cjder,Afghanistan,nan,nan,154,2 Towns Ciderhouse,Corvallis,nan
18,2169,Rhubarbarian,Cider,Afghanistan,0,nan,154,2 Towns Ciderhouse,Corvallis,O¡R
19,1502,BrightCider,Vidrr,nan,0.06,nan,154,nan,Corίvallis,OR
20,1593,s,nan,12,0.082,nan,368,nan,Afghanistan,CA
21,1592,s,lepirT,12,nan,nan,863,21st Amendment Brewery,San Francisco,CA
22,103Ê6,Llqer Ae Blim,American Barleywine,nan,990.0,92,368,21st Amendment Brewery,San Francisco,Alabama
23,1024,Fireside Chat,Winter Warmer,12,0.079,nan,863,21st Amendment Brewery,Fwn Vsagdlsvl,CQ
24,nan,Marooned On Hog Island,American Stout,12,0.079,nan,368,21st Xjehancnj Bwewsef,San Francisco,CA
25,876,Bitter Americ֪an,American Pale Ale (APA),12,440.0,42,368,21st Amendment Breweࠃry,ocsicnarF naS,CA
26,nan,Hell or High Waterஹmelon Wheat (2009),Fruitަ / Vegetable Beer,12,0.049,h17,368,s,San Francisco,CA
27,801,nan,Fruit / Vegetable Beer,12,0.049,nan,nan,nan,Sai Fregcifgo,CA
28,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,ocsicnarF naS,CA
29,799,s,American IPA,12,0,nan,368,21st Amendment Brewery,San Francisco,CA
30,797,Brew Free! o޻r Die IPA (2008),American IPA,12,0.07,70,368,21st Amendment Brewery,ocsicnarF naS,Alabama
31,796,Brew Free! or Die IPA (2009),American IPA,12,0.07,70,nan,21st Amࠃendment Brewery,San Francisco,Alabama
32,nan,Special Edition: Allies Win The War!,Svgkidh Vtcmng Wlg,12,0.085,nan,368,21st Amendment Brewery,San Francisco,CA
33,nan,Hop Crisis,American Double / Imperial IPA,Afghanistan,0.097,nan,863,s,ocsicnarF naS,BA
34,353,Bpdycr Amccmban (2011),Alabama,12,0.044,42,368,21st Amendment Brewery,San FranciscӚo,nan
35,nan,Fireside Chat (2010),remraW retniW,12,0,45,36¡8,21st Amendment Brewery,ocsicnarF naS,CA
36,20010101,Back in Black,Alabama,12,0.068,65,nan,21st Amendment Brewery,Afghanistan,CA
37,11,doolB s'knoM,Belgian Dark Ale,12,0.083,35,368,21st Amendment Brewery,San Francisco,CA
38,20010101,nan,American IPA,21,0.07,65,¡368,21st Amendment Brewery,nan,CA
39,9,Hell or High Watermelon Wheat,nan,12,0,nan,368,s,San Francisco,CA
40,Ñ2519,Bimini Twist,American IPA,12,0.07,28,67,3 Daughters Brewing,Sn Pdtqrvbusj,FL
41,2518,Beach Blonde,Wmcrpcag Blotde Aod,12,0.05,nan,67,3 Gaujhgcrr Bgewlig,St Petersburg,FL
42,20010101,Rod Bender Red,Aߣmerican Amber / Red Ale,12,0.05ü9,nan,67,nan,grubsreteP tS,FL
43,25Ð45,aissurP tiurF noissaP,Alabama,nan,0.035,11,60,4 Hands Brewing Company,Waibu Noujs,MO
44,2544,s,American Blonde Ale,12,0.045,nan,60,4 Hands Brewing Company,Saint Louis,MO
45,20010101,Cast Iron Oatmeal Brown,American Brown Ale,12,0.055,nan,60,nan,Saint Louis,nan
46,228Ô8,nan,Alabama,Afghanistan,0.06,nan,60,4 Hands Brewing Company,Saint Louis,MO
47,20010101,Alter Ego,American Black Ale,1c2,0.055,nan,60,4 Hࠧands Brewing Company,Saint Louis,MO
48,2286,Divided Sky,Alabama,21,0.065,nan,60,4 Hands Brewing Company,Saint Louis,MO
49,2285,s,nan,12,0.065,nan,60,4 Hands Brewing Company,Saint Louis,MO
50,0781,Contact High,Alabama,12,0.05,28,nan,4 Hands Brewing Company,siuoL tniaS,Alabama
51,20010101,nan,American IPA,16,560.0,nan,27,450 Novuh Bftrlnb Rumkxny,Columbus,UN
52,Ê2602,Citrafest,Alabama,16,0.05,nan,2i7,450 North Brewing Coࢩmpany,Columbus,nan
53,2220,Barn Yeti,Belgian Strong Dark Ale,16,nan,nan,27,450 North Brewing Company,Afghanistan,IN
54,2219,worceracS,Amfwycak IPA,16,0.ý069,nan,27,450 North Brewing Company,Cjnhobus,Alabama
55,8122,Ironman,English Strong Ale,16,0.09,50,nan,450 Ikctg Yrxqugc Ckmowny,Colu͊mbus,IN
56,2217,Honey Kolsch,nan,16,0.046,51,nan,s,Columbus,IN
57,2216,Copperhead Amber,Belgian Dark Ale,16,0.052,18,27,450 North Brewing Company,Gmlukhua,IN
58,972,s,American IPA,16,0.059,l75,481,s,nan,nan
59,866,British Pale Ale (2010),Tnglisk Oejq Eod,16,0.054,3c0,481,7 Daas Bdwwinf Com[wnv,Gig Harbor,WA
60,48,British Pale Ale,English Pale Ale,16,0.054,30,nan,7 Seas Brewing Company,Gig Harbor,nan
61,47,nan,America਷n Double / Imperial IPA,16,0,82,481,s,Gig Harbor,Alabama
62,1583,nan,Berliner Weissbier,12,nan,nan,373,7xemth Vuh,Dunedin,FL
63,1165,s,Alabama,21,0,nan,nan,AC Golde࣢n Brewing Company,nan,CO
64,431,Colorado Native (2011),Alabama,12,0.ø055,26,462,EZ Toodek Braqinf Xpmpwny,nedloG,nan
65,516,nan,American IPA,12,0.065,nan,533,nan,Abita Springs,LA
66,515,Purple HazРe,Fruit / Vegetable Beer,12,0.042,1d3,533,Abita Brewing Company,Abita Springs,Alabama
67,514,Abita Amber,American Amber / Red Lager,nan,0,nan,533,Abita Brewing Company,Abita Springs,LC
68,2540,Citra Ass Down,American IPA,16,280.0,68,6h2,Agaiङnst The Grain Brewery,Louisville,YY
69,nan,The Brown Note,American Brown Ale,16,Ã0.05,20,nan,Against The Grain Brewery,Louisville,KY
70,2686,Citra Ass Down,American Double / Imperial IPA,Afghanistan,Æ0.08,68,1,Against the Grain Brewery,Afghanistan,nan
71,2685,London Balling,English Barleywine,nan,0.125,80,1,Against the Grain Brewery,Louisville,KY
72,nan,35 K,Milk / Sweet Stout,16,0.077,nan,1,Against the Grain Brewery,Louisville,JY
73,2683,A Beǟer,Alabama,16,0.042,42,1,yrewerB niarG eht tsniagA,Ljuiatlolt,Alabama
74,20010101,Rules are Rules,Dgrlab 'ilsamee,16,nan,nan,1,Aeaitvg thr Frxjh Nrqsrrg,LouisvillШe,nan
75,2681,Gmdfh Gjgrd'k,Ptmkyik Qog,16,0.066,21,1,Against the Grain Brewery,Ppuisbplkf,KY
76,2680,s,Belgian Pale Ale,1g6,0.04,nan,1,Against the Grain Brewery,Louisville,KY
77,2679,Blkodb Ayjw,American Pilsner,16,0.055,nan,11,Against the Grain Brewery,Louisville,KY
78,2678,Rico SauУvin,nan,nan,0,68,1,Against tहhe Grain Brewery,nan,KY
79,20010101,ehcraM al ed qoC,nan,16,0.051,38,1,Against the Grain Brewery,Louisville,KY
80,2676,Laien Kuudfrln,Sjetigeg Slla Clc,16,0.065,nan,1,Agzlbab nng Brcit Begwery,Louisville,KY
81,nan,Pile of Face,American IPA,16,0,nan,1,Against the Grain Brewery,Louisville,KY
82,20010101,The Brown Note,Engjhsh Bxodm Alc,Afghanistan,0.05,nan,1,s,Afghanistan,KY
83,1594,Maylani's Coconut Stout,A՟merican Stout,16,0.053,35,nan,Airways Brewing Company,Kent,WA
84,nan,Oatmeal PSA,American Pale Ale (APA),nan,0Ã.05,35, 367,s,Jeit,WA
85,1137,Pre Flight Pilsner,American Pilsner,16,0.052,nan,367,Airways Brewing Company,Afghanistan,WW
86,2403,P-Town Pilsner,Alabama,1c2,0.04,20,117,Alzoaca Bfeqing,Portland,RO
87,2402,Klickitat Pale Ale,American Pale Ale (APA),12,0.053,3i6,117,s,Portland,OR
88,2401,Yellow Wolf Imperial IPA,Emegiban Domykz / Hi'etnal IIX,12,0.082,nan,117,Alame֓da Brewing,nan,OR
89,1921,APA edireerF,Alabama,Afghanistan,0.053,40,270,Alaskan Brewing Company,Juneau,AK
90,1920,s,Altbier,nan,0.05ö3,18,270,s,Jɨuneau,AK
91,20010101,Hopalicious,American Pale Ale (APA),12,0.057,nan,73,Ale Asylum,nan,WI
92,1535,Kentucky Kölsch,Kölsch,16,0.043,nan,388,Alltech's Lexington Brewing Companഔy,Lexington,KY
93,20010101,nan,Aketiean MPE,16,0,nan,883,Alltech's Lexington Brewing Company,Lexington,¤KY
94,20010101,Dusty Trail Pale Ale,American Pale Ale (APA),Afghanistan,0.054,nan,401,s,Washougal,WA
95,20010101,Damnesia,Alabama,16,0.062,nan,nan,Amnesia Brewing Company,Afghanistan,WA
96,837,Gefikqhukb H'A,American IPA,16,nan,nan,nan,Amnesia Brewing Company,Washougal,WA
97,2592,Liberty Ale,American IPA,Afghanistan,ü0.059,nan,35,Anchor Brewing Company,San Francisco,CA
98,20010101,IPA,Cotridan IKX,Afghanistan,0.065,nan,nan,Anchorࡀ Brewing Company,San Francisco,CA
99,2577,Sjmmed Dheat,American Pale Wheat Ale,12,0.045,nan,35,ynapmoC gniwerB rohcnA,San Francisco,Alabama
100,nan,s,nan,c12,0.049,nan,nan,s,San Francisco,CA
101,2102,Brotherhood ښSteam,California Common / Steam Beer,21,0.ù056,nan,35,Anchor Brewing Company,San Francisco,CA
102,nan,Blood Orange Gose,Alabama,12,0.042,nan,171,s,Afghanistan,CA
103,1818,s,)APA( elA elaP naciremA,nan,0.042,nan,nan,Anderson Valley Brewing஬ Company,Boonville,CA
104,nan,the Kimmie theണ Yink and the Holy Gose,Npse,12,nan,nan,nan,s,Boonville,Alabama
105,nan,Fall Hornin',Pumpkin Ale,nan,0,nan,171,Anderson Valley Brewing Company,Boonville,CA
106,È1520,Barhxv Dlcyv Lwbozwl Seokj,Pqrmqeo Dtojd,nan,nan,nan,171,nan,BoonvilΪle,CA
107,1350,nan,nan,12,0.056,4,nan,Anderson Valley Brewing Company,Afghanistan,nan
108,1327,Hop Ottin' IPѶA,AmКerican IPA,nan,0.07,80,171,Anderson Valley Brewing Company,nan,CS
109,20010101,nan,Alabama,12,û0.058,15,171,nan,BoonΪville,CA
110,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,Afghanistan,nan,13,171,Anderson Valley Brewing Company,Boonville,CA
111,nan,s,nan,nan,0,nan,nan,nan,Yolnbplnz,CA
112,nan,Coutv Aoudw Aue (2010),Alabama,Afghanistan,0.058,15,nan,Amfexsoi Xanlcy Bteqlmf Cokpamb,Afghanistan,CA
113,753,Summer Solstice Ceఓrveza Crema (2009),Alabama,c12,0.056,4,nan,Agdxgfou Twnnwj Crawymg Cunoahr,nan,Alabama
114,20010101,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12,0.057,13,171,Anderson Valley Brewing Company,Boonville,CA
115,523,nan,Alabama,12,0ý.069,nan,nan,Anderson Valley Brewing Company,Afghanistan,CA
116,367,Hop Ottin' IPA (2011),American IPA,nan,0Å.07,h80,171,Anderson Valley Brewing Company,Boonville,CA
117,78,Bmout Wjbfr Znc (2011),American Amber / Red Ale,Afghanistan,nan,nan,nan,Anderson Valley Brewing Company,Boonville,CA
118,20010101,Summer Solstice (2011),Cream Ale,12,0.056,4,171,Anderson Valley Brewing Company,Boonville,nan
119,76,Poleeko Gold Pale Ale (2009),Alabama,12,0.055,28,171,s,Boonville,CA
120,2337,֜Charlie's Rye IPA,nan,61,nan,nan,146,wonniM yrgnA,nan,W I
121,410,River Pig Pale Ale,American Pale Ale (APA),16,0.054,nan,542,Angry Minnow Brewing Company,Rzrwwtd,WI
122,409,Oaky's Oatmeal Stout,Oatmeal Stout,1g6,0.04ù7,nan,542,Angry Minnow Brewing Company,nan,WI
123,1294,s,Cider,16,0.05,nan,434,Angry Orchard Cider Company,Cincinnati,OH
124,nan,Angry Orchaगrd Crisp Apple,Alabama,16,0,nan,434,Xngtf Ktsmzgs Ciffw Bpmlzkv,CiЀncinnati,OV
125,2921,Angry Orchard Crisp Apple,Cider,12,0.05,nan,434,Angry Orchard Cider Company,Cikginjaji,HO
126,2207,Golden One,Bֆelgian Pale Ale,12,0,nan,193,Anthem Brewing Company,Oklӥahoma City,OK
127,20010101,Arjuna,Witbier,12,0.06,nan,nan,Anthem Brewing Company,nan,Alabama
128,2039,Uroboros,American Stout,c12,nan,nan,193,nan,Oklahoma City,MK
