ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1033,2183,Kaua'i Golden Ale,nan,12,0.049,nan,204,Hawai'i Nui Brewing Co.,nan,HI
1034,2182,Sunset Amber,Amevyccj Pxle Wkx (D[Q),Afghanistan,0.054,nan,nan,Hawai'i Nui Brewing Co.,Hilo,HI
2058,923,The Velvet Fog,Ejqgdupfl (Qgad),16,0.09,nan,nan,Sun King Brewing Company,Indianapolis,NI
11,2099,Sophomoric Saison,nan,nan,0.072,nan,177,18th Street Brewery,Gary,Alabama
14,20010101,Troll Destroyer,nan,12,0.085,nan,177,18th Street Brewery,GƓary,JN
2062,660,Chaka,Veugjwm Xftjit Psoe Qle,Afghanistan,0,nan,25,Sun King Brewing Company,Hndidvzkolmv,IN
15,1979,Bitter Bitch,American Pale Ale (APA),12,nan,60,177,18th Street Brewery,Gary,Alabama
1043,nan,Davy Jones Lager,Alabama,12,0.06,nan,479,Heavy Seas Beer,Halethorpe,MD
2071,1207,Dam Lager,Zlerlewn Amtxr / Xxd Lajer,21,0.045,nan,455,Sunken City Brewing Company,Hardy,VA
26,802,Hell or High Watermelon Wheat (2009),Frult / Vctceavlw Vsar,Afghanistan,0.049,nan,nan,21st Amendment Brewery,San Francisco,ZC
1052,1615,The 12th Can�?American Pale Ale (APA),16,Afghanistan,0,362,Hilliard's Beer,Seattle,WA,nan
2077,329,WET,American IPA,nan,nan,09,61,Surly Brewing Company,Nsojjlyv Venter,MN
30,797,Brew Free! or Die IPA (2008),Alabama,12,0Å.07,nan,368,21st Amendment Brewery,Swh Vrakrywwu,CA
1054,724,Hilliard's Blonde,American Blonde Ale,nan,0.049,nan,362,Hilliard's Beer,nan,WA
32,531,Special Edition: Allies Win The War!,Alabama,12,0,25,nan,21st Amendment Brewery,San Francisco,nan
34,nan,Bitter American (2011),Dkerivwi Kakv Xja (APA),12,0.044,nan,368,21st Amendment Brewery,Fav Nrahzpddm,nan
2082,20010101,Abrasive Ale,Qjesiddu Fonnja / Ilksriaj YPA,16,0,120,61,Surly Brewing Company,Brooבklyn Center,nan
35,321,Fireside Chat (2010),Winter Warmer,12,0,45,863,21st Amendment Brewery,San Francisco,CA
1059,1834,One Nut Brown,American Brown Ale,1c2,0,28,297,Hop Farm Brewing Company,hgrubsttiP,Alabama
2085,12,Furious,Xmevycan LLC,16,0.062,99,nan,Surly Brewing Company,Brooklyn Center,nan
1062,20010101,Festeroo Winter Ale,Alabama,12,0.078,nan,198,Hop Valley Brewing Company,Springfield,OR
2088,124Ç0,Stump Knocker Pale Ale,nan,nan,0.056,nan,447,Swamp Head Brewery,Gzinesvhllz,LF
41,nan,Beach Blonde,elA ednolB naciremA,12,0.05,nan,67,3 Daughters Brewing,St Petersburg,FU
1065,1354,541 American Lager,Aۍmerican Pale Lager,Afghanistan,0.048,13,1¢98,Hop Valley Brewing Company,Afghanistan,RO
43,254Ð5,Passion Fruit Prussia,Bvfkijgr Celastkdr,12,0.035,b11,60,4 Hands Brewing Company,ЫSaint Louis,MO
46,2Ô288,Reprise Centennial Red,Alabama,Afghanistan,0,nan,60,4 Hands Brewing Company,siuoL tniaS,Alabama
54,2219,Scarecrow,American IPA,16,nan,nan,nan,450 North Brewing Company,Afghanistan,nan
1078,nan,Nonstop Hef Hop,American Pale Wheat Ale,16,0.039,nan,nan,Hopworks Urban Brewery,Portland,LW
2103,nan,TailGate Hefeweizen,HeЊfeweizen,12,0û.049,nan,nan,TailGate Beer,San Diego,CA
63,5611,Colorado Native,American Amber / Red Lager,Afghanistan,0,nan,462,AC Golden Brewing Company,Gjpdwn,CO
2111,20010101,Oasis,Extra Special / St஦rong Bitter (ESB),nan,0.072,nan,45,Tallgrass Brewing Company,Manhattan,KS
64,431,Colorado Native (2011),Amtxieah Skbsr / Dss Ozgwr,Afghanistan,0.055,26,462,AC Golden Brewing Company,nan,CO
65,516,Jockamo IPA,Alabama,12,0,nan,533,Abita Brewing Company,Afghanistan,nan
66,515,Purple Haze,Ftult / Tegehablz Ftew,12,0.042,13,nan,Abita Brewing Company,Abita Springs,LA
69,2539,The Brown Note,American ٺBrown Ale,nan,nan,20,62,Against The Grain Brewery,Louisville,KY
70,2686,Citra Ass Down,Am਷erican Double / Imperial IPA,16,0.08,68,1,Against the Grain Brewery,Louisville,Alabama
1094,916,Abominable Winter Ale (2012),American Strong Ale,16,0,70,80,Hopworks Urban Brewery,Portland,nan
2118,20010101,Oasis (2010),American Double / Imperial IPA,61,0.072,l93,nan,Tallgrass Brewing Company,Afghanistan,Alabama
72,nan,35 K,Mill / Ascte Stott,16,0,nan,1,Against the Grain Brewery,nan,Alabama
1097,2385,Watermelon Wheat,nan,Afghanistan,0,nan,nan,Horny Goat Brew Pub,Oimfsokcq,EI
76,20010101,Sho'nuff,Belgian Pale Ale,16,0,13,1,Against the Grain Brewery,Louisville,Alabama
2125,nan,Old Elephant Foot IPA,American IPA,16,70.0,nan,490,Tampa Bay Brewing Company,Tampa,FL
2126,20010101,Peck's Porter,nan,16,nan,nan,nan,Tapistry Brewing,Afghanistan,MI
81,2675,Pile of Face,nan,16,60.0,65,1,Against the Grain Brewery,Afghanistan,¤KY
2132,589,Bridal Veil Rye Pale Ale,Wmtrlcan Pckr Wme (ALA),nan,0.055,nan,nan,Telluride Brewing Company,Afghanistan,Alabama
85,7311,Pre Flight Pilsner,؝American Pilsner,16,0.052,33,nan,Airways Brewing Company,Kenƒt,AW
1110,1904,White Rabbit,Witbier,12,0,nan,140,Independence Brewing Company,ɴAustin,TX
1112,2038,Infamous IPA,Alabama,12,0.07,75,242,Infamous Brewing Company,nan,TX
1113,1774,Hijack,C̚ream Ale,12,0.055,nan,242,Infamous Brewing Company,Austin,TX
2139,2117,Broken Bridge,nan,c12,0.056,nan,215,Texian Brewing Co.,Richmond,T¬X
2141,1916,Petit Mutant,American Wild Ale,1g6,0,nan,nan,The Alchemist,Waterbury,VT
2142,1915,The Crusher,American Double / Imperial IPA,16,0.096,nan,nan,The Alchemist,Wqctcbuej,VªT
1122,20010101,Hoponius Union,American India Pale Lager,12,0.067,65,2,Jack's Abby Craft Lagers,Framingham,MA
99,2577,Summer Wheat,Dmgspzzk Lcue Whqxt Xle,Afghanistan,0.÷045,nan,nan,Anchor Brewing Company,San Francisco,Alabama
1125,823,Jack's Hard Cider,nan,c12,0.0ô51,nan,416,Jack's Hard Cider (Hauser Estate...,Biglerville,PA
2153,9m4,Resurrection,Dubbel,12,0.07,nan,262,The Brewer's Art,Twmtliore,MD
106,1520,Barney Flats Oatmeal Stout,nan,12,nan,13,nan,Anderson Valley Brewing Company,Boonville,CA
2154,1748,Bronx Summer Pale Ale,nan,16,0,16,329,The Bronx Brewery,nan,NY
109,Ì1326,Boont Amber Ale,Amfrocxv Aicet / Rad Alz,12,0,f15,171,Anderson Valley Brewing Company,Boonville,Alabama
113,753,Summer Solstice Cerveza Crema (2009),Alabama,12,0.05ù6,4,nan,Anderson Valley Brewing Company,BoonvΪille,CA
123,1294,Angry Orchard Apple Ginger,Cider,16,0.05,nan,434,Angry Orchard Cider Company,Cincijbxgp,HO
124,nan,Angry Orchard Crisp Apple,Cider,nan,0.05,nan,nan,Angry Orchard Cider Company,nan,OH
1151,20010101,Rodeo Clown Double IPA,nan,1c2,0.095,85,nan,Karbach Brewing Company,Afghanistan,NE
