ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-1007-MIA-PHX,6:00 a.m.,5:08 p.m.,6:23 p.m.,7:55 p.m.
2,flightaware,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
3,myrateplan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
4,boston,AA-1007-MIA-PHX,10:25 a.m.,5:08 p.m.,11:50 p.m.,7:55 p.m.
5,businesstravellogue,UA-414-LAX-SFO,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
6,flightaware,AA-1007-MIA-PHX,4:55 p.m.,2:55 p.m.,8:05 p.m.,7:55 p.m.
7,flightexplorer,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,2:45 p.m.,1:43 p.m.
8,flights,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,12:09 p.m.
9,flightstats,AA-1007-MIA-PHX,1:33 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
10,flightview,AA-1007-MIA-PHX,7:10 p.m.,11:08 p.m.,8:05 p.m.,9:14 a.m.
11,flylouisville,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,2:20 p.m.,7:55 p.m.
12,flytecomm,AA-1007-MIA-PHX,7:25 a.m.,7:22 a.m.,8:05 p.m.,7:55 p.m.
13,foxbusiness,AA-789-ORD-DEN,1:00 p.m.,7:05 a.m.,7:25 p.m.,7:55 p.m.
14,gofox,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
15,flights,CO-47-IAH-LAX,3:35 p.m.,5:08 p.m.,8:05 p.m.,6:19 a.m.
16,myrateplan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,7:45 a.m.,7:55 p.m.
17,helloflight,AA-1007-MIA-PHX,7:35 a.m.,6:55 p.m.,8:05 p.m.,7:55 p.m.
18,orbitz,AA-1007-MIA-PHX,4:55 p.m.,2:55 p.m.,8:05 p.m.,7:55 p.m.
19,panynj,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
20,mytripandmore,AA-1007-MIA-PHX,4:55 p.m.,10:19 a.m.,8:05 p.m.,7:55 p.m.
21,wunderground,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,2:45 p.m.,7:55 p.m.
22,aa,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,9:35 a.m.,10:04 a.m.
23,airtravelcenter,AA-1165-JFK-MIA,11:25 p.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
24,allegiantair,AA-1165-JFK-MIA,1:05 p.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
25,boston,AA-1165-JFK-MIA,7:10 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
26,businesstravellogue,CO-58-DEN-IAH,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
27,orbitz,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
28,flightexplorer,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
29,aa,AA-649-ORD-SNA,6:59 a.m.,7:22 a.m.,2:35 p.m.,11:06 a.m.
30,flightstats,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,11:50 p.m.,10:04 a.m.
31,aa,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
32,flylouisville,AA-1165-JFK-MIA,10:15 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
33,flytecomm,AA-484-DFW-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
34,foxbusiness,UA-828-SFO-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
35,boston,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:06 a.m.,10:04 a.m.
36,helloflight,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
37,mia,AA-431-MIA-SFO,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
38,myrateplan,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
39,mytripandmore,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:40 a.m.,1:14 p.m.
40,orbitz,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,9:43 a.m.
41,foxbusiness,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
42,quicktrip,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
43,travelocity,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,1:40 p.m.,10:04 a.m.
44,weather,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
45,world-flight-tracker,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,1:39 p.m.,10:04 a.m.
46,wunderground,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,3:43 p.m.
47,aa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,1:40 p.m.
48,myrateplan,AA-1221-MCO-ORD,3:50 p.m.,8:23 p.m.,9:45 p.m.,7:25 p.m.
49,flightstats,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
50,airtravelcenter,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
51,businesstravellogue,AA-1221-MCO-ORD,8:25 p.m.,9:14 a.m.,9:45 p.m.,9:53 p.m.
52,flightarrival,UA-3099-PHX-PHL,8:00 p.m.,8:23 p.m.,9:45 p.m.,1:19 p.m.
53,orbitz,AA-2050-ORD-MIA,8:00 p.m.,8:23 p.m.,11:50 a.m.,9:53 p.m.
54,flightexplorer,AA-1221-MCO-ORD,8:00 p.m.,7:31 a.m.,3:50 p.m.,9:53 p.m.
55,weather,UA-37-EDI-EWR,8:00 p.m.,8:23 p.m.,9:45 p.m.,11:58 a.m.
56,flightstats,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,11:35 a.m.,9:53 p.m.
57,flightview,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
58,flylouisville,UA-414-LAX-SFO,8:00 p.m.,8:23 p.m.,10:31 a.m.,9:53 p.m.
59,flytecomm,AA-1221-MCO-ORD,7:53 a.m.,7:31 a.m.,9:10 p.m.,9:53 p.m.
60,myrateplan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,10:36 a.m.
61,gofox,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
62,helloflight,AA-1221-MCO-ORD,8:00 p.m.,5:56 a.m.,9:45 p.m.,9:53 p.m.
63,iad,AA-4198-ORD-CLE,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
64,flylouisville,AA-59-JFK-SFO,7:00 a.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
