ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
460,flytecomm,AA-271-MIA-LAX,11:05 a.m.,11:52 a.m.,2:25 p.m.,2:27 p.m.
1185,usatoday,AA-616-DFW-DTW,7:10 a.m.,6:56 a.m.,9:35 a.m.,1:27 p.m.
2325,foxbusiness,AA-1917-JFK-MCO,7:53 a.m.,7:58 p.m.,5:25 p.m.,7:25 p.m.
956,flytecomm,AA-431-MIA-SFO,12:15 p.m.,8:51 a.m.,11:10 a.m.,7:17 a.m.
1216,orbitz,UA-3925-IAD-ORF,8:00 a.m.,1:30 p.m.,6:30 p.m.,1:40 p.m.
1516,flylouisville,AA-1007-MIA-PHX,4:00 p.m.,6:55 p.m.,7:05 p.m.,6:36 p.m.
770,flights,CO-1193-EWR-MCO,7:30 a.m.,8:04 a.m.,5:05 p.m.,8:06 a.m.
1686,flights,UA-3099-PHX-PHL,11:25 a.m.,6:02 a.m.,6:15 p.m.,10:27 a.m.
131,quicktrip,AA-1522-SFO-ORD,7:35 a.m.,8:42 a.m.,5:50 a.m.,5:50 a.m.
2136,ifly,UA-3925-IAD-ORF,11:08 p.m.,8:42 a.m.,9:54 a.m.,1:30 p.m.
1483,flightview,CO-1561-PHX-IAH,7:15 p.m.,6:56 a.m.,11:19 a.m.,3:04 p.m.
331,flightview,AA-2050-ORD-MIA,7:35 a.m.,5:08 p.m.,3:50 p.m.,11:56 a.m.
1239,airtravelcenter,AA-789-ORD-DEN,1:05 p.m.,1:19 p.m.,2:35 p.m.,12:50 p.m.
467,wunderground,AA-484-DFW-MIA,11:08 p.m.,8:04 a.m.,2:25 p.m.,2:27 p.m.
2170,foxbusiness,CO-1090-BOS-IAH,6:00 a.m.,8:04 a.m.,7:23 a.m.,3:30 p.m.
1639,helloflight,CO-62-IAH-EWR,2:30 p.m.,2:48 p.m.,7:03 p.m.,8:45 a.m.
1096,aa,AA-518-MIA-JFK,8:00 p.m.,11:01 a.m.,5:11 a.m.,9:28 a.m.
1131,flights,UA-37-EDI-EWR,9:15 a.m.,1:30 p.m.,10:45 a.m.,11:12 a.m.
1295,flytecomm,CO-1694-LAX-IAH,11:40 a.m.,7:15 p.m.,1:17 p.m.,6:43 p.m.
861,boston,UA-233-LAX-JFK,8:35 a.m.,8:56 a.m.,4:57 p.m.,1:15 p.m.
