ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-1007-MIA-PHX,7:00 a.m.,5:08 p.m.,7:25 p.m.,4:47 p.m.
2,airtravelcenter,AA-518-MIA-JFK,4:55 p.m.,1:19 p.m.,8:05 p.m.,7:55 p.m.
3,allegiantair,AA-1544-SAN-ORD,4:00 p.m.,5:08 p.m.,9:40 a.m.,7:55 p.m.
4,panynj,AA-1007-MIA-PHX,4:55 p.m.,10:33 a.m.,2:35 p.m.,7:55 p.m.
5,panynj,AA-1007-MIA-PHX,7:35 a.m.,5:08 p.m.,4:48 p.m.,7:55 p.m.
6,usatoday,AA-1007-MIA-PHX,4:55 p.m.,6:57 a.m.,10:54 a.m.,5:50 a.m.
7,flightexplorer,UA-37-EDI-EWR,11:25 a.m.,10:18 a.m.,8:05 p.m.,7:55 p.m.
8,flights,AA-1007-MIA-PHX,1:55 p.m.,5:08 p.m.,9:40 a.m.,5:43 p.m.
9,panynj,AA-1007-MIA-PHX,2:30 p.m.,8:04 a.m.,8:05 p.m.,3:43 p.m.
10,flightview,AA-1007-MIA-PHX,2:30 p.m.,8:12 a.m.,12:21 a.m.,7:55 p.m.
11,flylouisville,UA-1500-IAH-GUA,11:25 a.m.,7:25 a.m.,8:05 p.m.,11:32 a.m.
12,flytecomm,AA-1007-MIA-PHX,7:10 a.m.,7:14 p.m.,12:15 a.m.,8:06 a.m.
13,foxbusiness,UA-2906-PHL-MCO,7:15 a.m.,6:56 a.m.,7:30 a.m.,11:56 a.m.
14,gofox,AA-1279-DFW-PHX,4:55 p.m.,5:08 p.m.,1:45 p.m.,9:32 a.m.
15,allegiantair,CO-63-EWR-IAH,8:05 a.m.,5:08 p.m.,9:54 a.m.,5:43 p.m.
16,foxbusiness,AA-1007-MIA-PHX,4:55 p.m.,6:55 p.m.,6:55 a.m.,5:38 p.m.
17,boston,AA-2312-DFW-DTW,11:25 a.m.,5:08 p.m.,9:10 p.m.,4:23 p.m.
18,orbitz,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,4:05 p.m.,12:09 p.m.
19,allegiantair,AA-4344-ORD-DTW,6:00 a.m.,8:25 p.m.,8:05 p.m.,7:55 p.m.
20,quicktrip,AA-1007-MIA-PHX,9:15 a.m.,11:05 a.m.,8:05 p.m.,1:15 p.m.
21,wunderground,CO-1023-IAH-DEN,2:30 p.m.,8:25 p.m.,8:05 p.m.,9:13 a.m.
22,aa,CO-58-DEN-IAH,6:59 a.m.,7:22 a.m.,10:34 a.m.,5:11 a.m.
23,flights,AA-3823-LAX-DEN,3:27 p.m.,7:22 a.m.,2:25 p.m.,10:27 a.m.
24,gofox,AA-1917-JFK-MCO,6:59 a.m.,7:22 a.m.,10:34 a.m.,4:56 p.m.
25,boston,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,11:50 a.m.,10:04 a.m.
26,airtravelcenter,AA-222-LAX-BOS,8:00 p.m.,7:22 a.m.,8:05 p.m.,3:14 p.m.
27,flightaware,AA-2312-DFW-DTW,8:35 a.m.,7:22 a.m.,10:34 a.m.,8:45 a.m.
28,world-flight-tracker,UA-2704-DTW-PHX,6:59 a.m.,1:30 p.m.,10:34 a.m.,10:04 a.m.
29,flights,AA-1917-JFK-MCO,10:40 a.m.,7:22 a.m.,10:34 a.m.,2:00 p.m.
30,flightstats,AA-1165-JFK-MIA,4:00 p.m.,1:31 p.m.,10:34 a.m.,10:04 a.m.
31,foxbusiness,AA-1165-JFK-MIA,9:00 p.m.,7:22 a.m.,9:43 a.m.,4:09 p.m.
32,flylouisville,AA-1165-JFK-MIA,4:00 p.m.,6:57 a.m.,10:34 a.m.,8:02 a.m.
33,flytecomm,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:35 a.m.,10:04 a.m.
34,airtravelcenter,UA-938-DEN-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
35,gofox,UA-3515-IAD-MSP,12:30 p.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
36,helloflight,UA-2945-PHL-CLT,6:59 a.m.,10:18 a.m.,10:34 a.m.,10:04 a.m.
37,airtravelcenter,AA-3979-CVG-ORD,6:59 a.m.,5:56 a.m.,7:03 p.m.,5:11 a.m.
38,myrateplan,UA-3515-IAD-MSP,8:15 a.m.,6:30 p.m.,10:34 a.m.,11:56 a.m.
