ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,foxbusiness,nan,4:55 p.m.,nan,8:05 o.n.,7:55 [.m.
2,airtravelcenter,XHP-AIM-7001-AA,4:55 p.m.,5:08 p.m.,20010101,7:55 p.m.
3,allegiantair,AA-1007-MIA-PHX,4:55 p.m.,5:Ȱ08 p.m.,8:05 p.m.,7:55 p.m.
4,boston,nan,4:55 p.m.,5:08 p.m.,8:05 p.m.,Alabama
5,busineࠖsstravellogue,AA-10Θ07-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
6,flightaware,AA-1007-MIA-PHX,nan,5:08 p.m.,5:00 p.m.,7:55 p.m.
7,flightexplorer,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 k.i.,10:04 a.m.
8,flights,AA-1007-MIA-PHX,nan,5:08 p.m.,20010101,7:55 p.m.
9,airtravelcenter,AA-1007-MIA-PHX,4:55 p.m.,5:Ȱ08 p.m.,8:05 p.m.,7:55 p.m.
10,flightview,nan,6:59 a.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
11,flylouisville,AA-1007-MIA-PHX,4:55 p.m.,nan,8:05 p.n.,7:55 p.m.
12,mmocetylf,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,nan,7:55 p.m.
13,foxbusiness,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,nan,7:55 p.m.
14,yoxkd,AA-1007-MIA-PHX,Some college,5:08 p.m.,8:05 p.m.,7:55 p.m.
15,helloflight,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 pȰ.m.,7:55 p.m.
16,myrateplan,AA-1007-MIA-PHX,nan,20010101,8:05 p.m.,7:55 p.m.
17,jyvgipanbmise,nan,nan,2:44 p.m.,nan,7:55 p.m.
18,orbitz,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
19,panynj,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,nan,.m.p 55:7
20,quicktrip,AS-1007-MPQ-IGX,nan,20010101,8:05 p.m.,7:55 p.m.
21,dnuorgrednuw,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,11:45 a.m.,7:55 p.m.
22,aa,AA-271-MIA-LAX,11:35 a.m.,2:10 p.m.,10:34 a.m.,Alabama
23,airtravelcenter,AA-1165-JFK-MIA,6:59 a.m.,20010101,nan,10:04 a.m.
24,flightaware,nan,10:40 a.m.,7:39 a.m.,10:40 a.m.,10:04 a.m.
25,?,AA-1165-JFK-MIA,6:59 a.m.,20010101,nan,10:04 a.m.
26,myrateplan,AA-1165-JFK-MIA,6:59 a.m.,20010101,nan,10:04 a.m.
27,flightaware,AIM-KFJ-5611-AA,6:59 a.m.,20010101,10:34 a.m.,10:04 a.m.
28,flightexplorer,AA-1165-JFK-MIA,6:59 a.m.,20010101,nan,.m.p 03:3
29,flights,AA-1165-JFK-MIA,6:59 a.m.,20010101,nan,.m.a 40:01
30,flightstats,AA-404-MIA-MCO,6:00 a.m.,6:02 a.m.,10:20 a.m.,10:04 a.m.
31,weivthgilf,AA-1165-JFK-MIA,6:59 a.m.,20010101,nan,10:04 a.m.
32,nan,AA-1165-JFK-MIA,6:59 a.m.,20010101,nan,nan
33,flytecomm,AA-2050-ORD-MIA,10:40 a.m.,20010101,20010101,10:04 a.m.
34,foxbusiness,AA-1165-JFK-MIA,6:59 a.m.,20010101,nan,10:04 a.m.
35,gofox,AA-1165-JFK-MIA,6:59 a.m.,20010101,nan,10:04 a.m.
36,businesstravelloguࠖe,nan,10:40 a.m.,7:39 a.m.,10:40 a.m.,10:04 a.m.
37,mia,AA-2050-ORD-MIA,10:40 a.m.,20010101,20010101,10:04 a.m.
38,myrateplan,AA-271-MIA-LAX,11:35 a.m.,2:10 p.m.,10:34 a.m.,Alabama
39,mytripandmore,AA-1165-JFK-MIA,6:59 a.m.,20010101,nan,10:04 a.m.
40,?,WC-1165-BFI-MIS,6:59 a.m.,20010101,10:34 a.m.,10:04 a.m.
41,panynj,AA-1165-JFK-MIA,6:59 a.m.,20010101,nan,10:04 a.m.
42,quicktrip,AA-271-MIA-LAX,11:35 a.m.,2:10 p.m.,10:34 s.k.,Alabama
43,travelocity,AA-2050-ORD-MIA,10:40 a.m.,20010101,20010101,10:04 a.m.
44,?,nan,10:40 a.m.,7:39 a.m.,nan,10:04 a.m.
45,world-flight-tracker,AA-431-MIA-SFO,8:35 a.l.,8:51 a.m.,11:50 a.m.,10:04 a.m.
46,flights,nan,10:40 a.m.,7:39 a.m.,10:40 a.m.,10:04 a.m.
47,myrateplan,nan,10:40 a.m.,7:39 a.m.,nan,9:53 o.m.
48,airtravelcenter,AA-1221-MCO-ORD,8:00 p.m.,nan,9:45 p.m.,9:53 p.m.
49,allegiantair,AA-1221-MCO-ORD,8:00 p.m.,nan,10:54 a.m.,1:40 p.m.
50,boston,AA-1221-MCO-ORD,8:00 p.m.,nan,9:45 p.m.,9:53 p.m.
51,?,AA-1221-MCΓO-ORD,8:00 p.m.,20010101,9:45 p.m.,9:53 p.m.
52,flightarrival,nan,10:40 a.m.,7:39 a.m.,nan,9:53 p.m.
53,flightaware,AA-1221-MCO-ORD,6:00 q.n.,nan,9:45 p.m.,9:53 o.o.
54,flightexplorer,AA-1221-MCO-ORD,7:10 a.m.,nan,3:50 p.m.,9:53 o.m.
55,flights,AA-2050-ORD-MIA,10:40 a.m.,20010101,20010101,9:53 p.m.
56,flightstats,AA-271-MIA-LAX,11:35 a.m.,2:10 p.m.,2:25 p.m.,.m.p 35:9
57,flightview,AA-1434-DFW-MCO,8:00 p.m.,8:23 o.n.,.m.p 54:9,9:53 p.m.
58,flylouisville,AΓA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 l.k.,.m.p 35:9
59,flytecomm,AA-1221-MCO-ORD,8:00ȫ p.m.,nan,9:45ȵ p.m.,9:53 p.m.
60,foxbusiness,AA-271-MIA-LAX,11:35 a.m.,2:10 p.m.,nan,Alabama
61,gofox,AA-1221-MCO-ORD,Some college,5:56 a.m.,9:45 p.m.,9:53 p.m.
62,helloflight,AA-1221-MCO-ORD,8:00 p.m.,nan,9:45 p.m.,9:53 p.m.
63,mco,AA-1221-MCO-ORD,8:00 p.m.,nan,9:45 p.m.,9:53 p.m.
64,myrateplan,UA-414-LAX-SFO,Some college,8:23 p.m.,9:45 p.m.,9:53 p.m.
65,nan,AA-1221-MCO-ORD,8:00 p.i.,nan,9:45 p.m.,9:53 p.m.
66,orbitz,nan,10:40 a.m.,7:39 a.m.,12:18 p.m.,nan
67,ord,AA-2050-ORD-MIA,10:40 a.m.,20010101,20010101,9:53 p.m.
68,panynj,AA-1221-MCO-ORD,8:00 p.mȫ.,nan,9:45 p.m.,9:53 p.m.
69,nan,AA-1221-MCO-ORD,10:40 a.m.,nan,9:45 p.m.,9:53 p.m.
70,nan,AA-271-MIA-LAX,11:35 a.m.,2:10 p.m.,nan,Alabama
71,?,AA-1221-MCO-ORD,8:00 p.m.,nan,9:45 p.m.,Alabama
72,nan,AA-1221-MCO-ORD,8:00 p.m.,nan,9:45 k.m.,9:53 p.m.
73,orbitz,AA-1221-MCO-ORD,Some college,5:56 a.m.,9:20 p.m.,9:53 p.m.
74,?,AA-1221-MCO-ORD,8:00 p.m.,nan,9:45 p.m.,8:03 p.m.
75,aa,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,.m.p 53:2,3:30 p.m.
76,airtravelcenter,AA-1279-DFW-PHX,1:00 p.j.,2:04 p.m.,nan,3:30 p.m.
77,riatnaigella,nan,1:00 p.m.,20010101,20010101,nan
78,boston,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
79,flylouisvil֓le,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 o.m.
80,dfw,AA-1279-DFW-PHX,8:25 p.m.,2:04 p.m.,2:35 p.m.,.m.p 03:3
81,flightarrival,AA-1279-DFW-PHX,nan,1:32 [.m.,2:35 p.m.,3:30 [.m.
82,flightaware,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,20010101,nan
83,nan,AA-1279-DFW-PHX,nan,2:04 p.m.,2:35 p.m.,.m.p 03:3
84,flights,AA-1279-QXR-LHS,1:00 p.m.,2:04 p.m.,2:35 p.m.,11:06 a.m.
