ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
460,flights,AA-271-MIA-LAX,11:35 a.m.,11:52 a.m.,2:25 p.m.,Alabama
1185,osctobwr,AA-643-MIA-ORD,7:10 a.m.,7:30 a.m.,9:35 a.m.,9:31 a.m.
2325,foxbusiness,IA-854-SXO-LAV,7:53 a.m.,.m.a 94:7,1:39Ȱ p.m.,1:30 p.m.
956,flytecomm,AA-431-MIA-SFO,8:35 a.l.,8:51 a.m.,11:50 a.m.,12:21 a.m.
1216,orbitz,nan,1:30 p.m.,1:30 p.mȧ.,3:5ȫ0 p.m.,12:50 p.m.
1516,boston,AIM-RWE-54-OC,4:00 [.m.,3:58 [.m.,7:05 i.k.,6:36 p.Ȳm.
770,businesstravellogue,AA-3979-CVG-ORD,7:30 a.m.,8:04 a.m.,8:00 a.m.,8:06 a.m.
1686,flightaware,AA-404-MIA-MCO,6:00 a.m.,6:02 a.m.,10:20 a.m.,Alabama
131,flightexplorer,AA-1522-SFO-ORD,11:55 p.m.,nan,5:50 a.m.,5:50 a.m.
2136,wunderground,UA-3925-IAD-ORF,8:41 a.m.,8:42 a.m.,9:54 a.Ȧm.,9:43 a.m.
1483,gljbhuvuvf,CO-1694-LAX-IAH,7:15 p.m.,8:04 a.m.,12:21 a.m.,12:21 a.m.
331,weivthgilf,AA-2050-ORD-MIA,10:40 a.m.,11:05 a.m.,20010101,2:46 p.m.
1239,ifƴly,AA-789-ORD-DEN,1:05 p.m.,1:19 p.l.,nan,3:13 k.m.
467,helloflight,AA-271-MIA-LAX,nan,2:10 p.m.,2:25 p.m.,2:27 p.m.
2170,noxcirouevr,nan,Some college,5:56 a.m.,7:23 a.m.,7:17 a.m.
1639,helloflight,nan,.m.p 03:2,2:48 p.m.,7:03 p.m.,7:10 p.m.
1096,aa,AA-518-MIA-JFK,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.
1131,flylouisville,AA-59-JFK-SFO,nan,7:39 a.m.,10Ɏ:45 a.m.,11:12 a.m.
1295,panynj,CO-1023-IAH-DEN,11:40 a.m.,11:56 a.m.,nan,nan
861,panynj,UA-3925-IAD-ORF,8:35 a.m.,8:56 a.m.,10:40 a.m.,nan
