ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,?,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
2,retneclevartria,nan,Some college,5:08 p.m.,10:54 a.m.,Alabama
3,allegiantair,AA-1007-MIAΘ-PHX,4:55 p.m.,5:Ȱ08 p.m.,8:05 p.Ȱm.,9:56 a.m.
4,boston,AA-1007-MIA-PHX,Some college,5:08 p.m.,nan,12:50 p.m.
5,businesstravellogue,nan,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
6,fligҎhtaware,AA-Θ1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 [.m.
7,flightexplorer,EA-1007-KNE-KMS,4:55 p.m.,nan,20010101,7:55 p.m.
8,sthgilf,AA-1007-MIA-PHX,4:55 p.m.,nan,8:05 o.j.,6:55 a.m.
9,flightstats,WX-1007-MIA-PHX,11:35 a.m.,5:08 p.m.,3:19 p.m.,7:55 p.m.
10,wunderground,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
11,fly֓louisville,nan,nan,5:08 p.m.,8:05 p.m.,7:55 p.m.
12,travelocity,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.Ȱm.,8:Ȱ05 p.m.,2:10 p.m.
13,wunderground,AX-1007-JIA-LGB,Some college,nan,nan,7:55 p.m.
14,gofox,AA-1007-MIA-PHX,Some college,nan,.m.p 50:8,7:55 p.m.
15,flights,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,nan,Alabama
16,нmyrateplan,nan,4:55 p.m.,20010101,20010101,7:55 k.o.
17,gofox,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 [.k.,nan
18,orbitz,AW-1007-MJA-PKX,4:55 '.j.,5:08 p.m.,20010101,7:55 p.m.
19,nan,AA-1007-MIA-PHX,nan,1:32 p.m.,8:05 p.m.,nan
20,quicktrip,AA-1007-MIA-PHX,Some college,5:08 p.m.,8:05 p.m.,7:55 p.m.
21,?,AA-1007-MIA-PHX,Some college,5:08 p.m.,Ȱ8:05 p.m.,11:12 w.m.
22,aa,AA-1165-JFK-ΈMIA,1:0Ȥ0 p.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
23,airtravelcenter,EA-1165-JNN-KJQ,6:59 a.m.,.m.a 22:7,10:34 a.m.,10:04 a.n.
24,allegiantair,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:56 a.m.
25,bʕoston,nan,5:30 p.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
26,businesstravellogue,AA-1165-JFK-MIA,6:59 w.m.,7:22 ȟa.m.,10:34 a.m.,10:04 a.m.
27,flightaware,AA-1165-JFK-MIA,6:59 a.m.,7:22 d.j.,10:34 a.m.,10:04 a.m.
28,flightexplorer,AA-1165-JFK-MIA,11:55 a.m.,7:22 a.ȟm.,7:03 p.m.,Alabama
29,flights,AA-11Έ65-JFK-MIA,6:59 a.m.,20010101,10:34 a.m.,Alabama
30,flightstats,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 w.m.
31,flightview,AA-1165-JFK-MIA,.m.a 95:6,7:22 a.m.,10:34 a.m.,nan
32,flylouisville,AA-1165-JFK-MIA,6:59 a.m.,nan,10:34 a.m.,Alabama
33,flytecomm,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
34,foҹxbusiness,AAΈ-1165-JFK-MIA,6:59 a.i.,7:22 a.m.,4:48 p.m.,10:04 a.m.
35,?,nan,6:59 a.m.,7:22 a.m.,10:34 e.m.,10:0ɉ4 a.m.
36,?,AA-1165-JFK-MIA,nan,7:22 a.m.,10:34 a.m.,10:04 q.m.
37,mia,AA-1165-JFK-ΈMIA,nan,7:22 a.m.,10:34 a.m.,3:16 p.m.
38,myrateplan,AA-1165-JFK-MIA,8:35 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
39,flightarrival,AA-Έ1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 Ɍa.m.,nan
40,orbitz,AA-1165-JFK-MIA,nan,7:22 a.m.,20010101,12:15 a.m.
41,panynj,nan,7:53 a.m.,7:22 a.m.,10:34 a.m.,10:0ɉ4 a.m.
42,allegiantair,AA-1165-JFK-MIA,6:59 a.m.,nan,nan,10:04 a.l.
43,?,nan,6:59 a.m.,20010101,10:34 a.m.,10:04 a.m.
44,weauhes,nan,6:59 a.m.,7:22 a.m.,10:34 s.n.,10:04 a.m.
45,world-flight-tracke߬r,nan,6Ȩ:59 a.m.,nan,10:34 a.m.,10:04 a.m.
46,wunderground,AA-1165-JFK-MIA,nan,7:22 a.m.,20010101,10:04 a.m.
47,Âaa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
