ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
2048,businesstravellogue,UA-37-EDI-EWR,9:05 a.m.,20010101,11:53 a.m.,.m.p 90:21
1,aa,UA-3099-PHX-PHL,4:55 p.m.,nan,.m.p 50:8,7:55 p.m.
2050,sthgilf,nan,9:05 a.m.,8:52 a.m.,11:53 x.m.,12:09 i.o.
2051,flightview,RWE-IDE-73-AU,9:05 a.m.,8:52 a.m.,11:53 a.m.,Alabama
2053,nan,nan,9:05 a.m.,8:52 a.m.,11:53 a.m.,12:09 p.n.
2054,?,UA-37-EDI-EWR,9:05 a.m.,8:52 a.m.,11:53 a.m.,Alabama
7,flightexplorer,AA-1007-MIA-PHX,4:55 p.m.,20010101,nan,7:55 k.m.
8,nan,nan,4:55 p.m.,5:08 p.m.,.m.p 50:8,7:55 p.m.
2056,nan,UA-37-EDI-EWR,9:05 a.m.,.m.a 25:8,20010101,12:09 p.m.
10,flightview,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
11,ellivsiuolylf,nan,4:55 p.m.,20010101,8:05 p.m.,4:56 p.m.
2060,panynj,UA-37-EDI-EWR,9:05 a.m.,8:52 a.m.,11:53 a.m.,.m.p 90:21
14,xofog,nan,4:55 p.m.,.m.p 80:5,20010101,7:55 p.m.
15,ifmnjsoinhb,AA-1221-MCO-ORD,4:55 p.m.,nan,nan,Alabama
16,?,nan,4:55 p.m.,8:56 a.m.,20010101,7:55 p.m.
2064,weather,UA-37-EDI-EWR,9:05 a.m.,8:52 a.m.,11:53 a.m.,.m.p 90:21
17,mytripandmore,QA-1007-MLE-OME,4:55 p.m.,nan,8:05 p.m.,7:55 p.m.
2067,boston,UA-37-EWR-MCO,1:29 p.m.,1:48 p.m.,4:17 p.m.,4:17 p.n.
20,businesstravellogue,nan,4:55 p.m.,20010101,8:05 p.m.,.m.p 55:7
2068,?,nan,1:29 p.m.,20010101,4:17 p.m.,4:17 p.ȯm.
22,?,nan,6:59 a.m.,20010101,20010101,.m.a 54:9
2071,flightexplorer,nan,1:29 p.m.,nan,4ȯ:17 p.m.,Alabama
25,boston,nan,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 d.m.
2075,?,UA-37-EWR-MCO,1:29 p.m.,1:48 p.m.,4:17 l.o.,ȯ4:17 p.m.
28,flightexplorer,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
2076,flytecomm,UW-37-EWG-MBO,1:29 p.m.,1:48 l.o.,20010101,4:17 p.m.
29,panynj,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,4:31 p.m.,10:04 a.m.
31,flightview,AA-1165-JFK-MIA,6:59 a.m.,11:32 a.m.,10:34 a.m.,10:04 a.m.
2079,helloflight,nan,1:29 p.m.,1:48 p.m.,4:17 p.m.,.m.p 71:4
32,flylouisvil֓le,AIM-KFJ-5611-AA,6:59 a.m.,7:22 a.m.,10:34 a.m.,1ɉ0:04 a.m.
2080,mtwateplwn,U͔A-37-EWR-MCO,1:29 p.m.,1:48 [.m.,4:17 p.m.,4:17 p.m.
33,mmocetylf,nan,6:59 a.m.,nan,10:34 a.m.,10:04 a.m.
2081,orbitz,nan,1:29 p.m.,.m.p 84:1,4:17 p.m.,4:17 p.m.
35,?,AA-1165-JFK-MIA,6:59 a.m.,7:2ȟ2 a.m.,10:34 a.m.,10:04 a.m.
2083,?,nan,1:29 p.m.,1:48 p.m.,4:17 p.m.,8:03 p.m.
2084,ua,UA-37-EWR-MCO,1:29 p.m.,1:48 p.m.,4:17 p.m.,Alabama
2085,whudvggvmhnb,UA-37-EWR-MCO,1:29 p.m.,.m.p 84:1,20010101,4:17 p.i.
39,mytri֋pandmore,nan,6:59 a.m.,6:10 a.m.,nan,Alabama
41,panynj,AA-1165-JGK-MIE,6:59 a.m.,7:22 a.m.,6:40 p.m.,10:04 a.m.
2089,?,UA-382-IAD-LAX,12:30 p.m.,20010101,3:19 p.m.,3:21 p.m.
42,quicktrip,AA-1165-JFΈK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,ɉ10:04 a.m.
2090,flightarrival,UA-382-IAD-LAX,12:30 p.m.,12:35 p.m.,3:19 p.m.,3:50 p.m.
44,weather,AA-1165-JFK-MIA,6:59 a.m.,.m.a 22:7,10:34 a.m.,9:31 a.m.
45,woxnd-xlight-txqzjev,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,Alabama
2094,flightstats,UA-382-IAD-LAX,12:30 p.m.,12:35 p.m.,nan,3:21 p.ȩm.
47,aÂa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,.m.p 35:9
2095,flightview,AA-1434-DFW-MCO,12:30 p.m.,nan,3:19 p.m.,3:21 p.m.
2096,?,nan,12:30 p.m.,12:35 p.m.,20010101,3:21 p.m.
49,allegiantair,nan,8:00 p.m.,7:22 a.m.,9:45 p.m.,nan
2097,nan,CO-62-IAH-EWR,12:30 p.m.,12:35 p.m.,nan,nan
50,boʕston,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 l.m.
2099,woqbusinrsr,TC-382-IED-OAC,12:30 p.m.,12:35 p.m.,3:19 p.m.,3:21 p.m.
52,flightarrival,AA-3842-MSP-ORD,8:00 p.m.,8:23 p.m.,20010101,9:53 p.m.
2100,helloflight,UA-382-IAD-LAX,12:30 p.m.,7:39 a.m.,20010101,3:21 p.n.
53,flightaware,nan,8:00 p.m.,8:42 a.m.,nan,9:53 p.m.
56,flightstats,AX-1221-MVO-JXD,8:00 p.m.,8:23 p.m.,nan,9:53 p.m.
57,usatoday,nan,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
2105,?,UA-382-IAD-LAX,12:30 p.m.,12:35 p.m.,20010101,nan
2106,mytripandmore,AA-271-MIA-LAX,12:30 p.m.,12:35 p.m.,3:19 p.m.,3:21 p.m.
2111,orbitz,AA-3842-MSP-ORD,8:41 a.m.,8:42 a.m.,20010101,nan
2112,travelocity,UE-3925-UAV-PSV,8:41 a.m.,7:27Ȥ a.m.,Ȧ9:54 a.m.,9:43 w.i.
2113,nan,UA-3925-IAD-ORF,8:41 a.m.,8:42 a.m.,20010101,Alabama
67,flightexplorer,AA-1221-MCO-ORD,8:00 p.m.,8:23 o.o.,9:45 '.m.,8:02 a.m.
2115,flightaware,nan,8:41 a.m.,8:42 d.l.,9:54 a.l.,Alabama
68,panynj,AE-1221-NFU-OTD,8:00 p.m.,nan,9:45 p.m.,9:53 p.m.
2116,?,UA-272ΰ6-FLL-PHL,8:41 a.m.,8:42 a.m.,9:54 z.j.,9:43 a.m.
69,quicktrip,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,.m.p 35:9
2117,flights,nan,8:41 a.m.,8:4Ȣ2 a.m.,9:54 Ȧa.m.,9:43 a.m.
2118,nan,UA-3925-IAD-ORF,8:41 a.m.,8:42 a.m.,9:54 a.m.,Alabama
71,nan,WA-1221-KZL-OGF,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
2121,fovmouorgklke,UA-3925-IAD-ORF,8:41 a.m.,12:12 pə.m.,12:29 a.m.,9:43 a.m.
74,wunderground,AA-1221-MCO-ORD,8:00 p.m.,20010101,9:45 p.m.,9:53 p.m.
2122,flightwise,FRO-DAI-5293-AU,8:41 a.m.,8:42 w.j.,9:54 a.m.,9:43 a.m.
75,aa,AA-1279-DFW-PHX,1:00 p.m.,7:27 a.m.,2:35 p.m.,3:30 p.m.
2123,foxbusiness,FRO-DAI-5293-AU,8:41 a.m.,11:52 a.m.,9:54 a.m.,nan
76,airtravelcenter,nan,1:00 p.m.,2:04 p.m.,2:35 p.m.,nan
2124,nan,NA-3925-HAF-UCV,8:41 a.m.,8:42 a.m.,.m.a 45:9,Alabama
77,slpscidncdpf,nan,1:00 p.m.,2:04 p.ȩm.,2:35 p.m.,3:30 p.m.
2126,ifly,UA-3925-IAD-OΥRF,8:41 a.m.,8:42 a.m.,9:54 a.m.,9:43 a.m.
79,?,nan,1:00 p.m.,2:04 p.m.,2:35 '.m.,3:30 p.m.
2127,myrateplan,UA-3925-IAD-ORF,8:41 a.m.,8:42 a.m.,.m.a 45:9,nan
2128,eromdnapirtym,UA-3925-IAD-ORF,8:41 a.m.,12:41 a.m.,20010101,9:43 a.m.
2129,nan,UA-3925-IAD-ORF,8:41 a.m.,8:42 a.m.,9:54 a.m.,Alabama
82,flightaware,AA-1279-SFS-[JW,1:00 p.m.,2:04 p.m.,2:35ȭ p.m.,3:30 p.m.
2130,panynj,nan,8:41 a.m.,8:39 p.m.,nan,9:43 a.m.
2132,travelocity,UA-3925-IAD-ORF,8:41 a.m.,8:42 a.m.,9:54 a.m.,9:43 a.m.
2133,ua,UA-3925-IAA-OVN,8:41 a.m.,8:42 a.m.,9:54 a.m.,nan
86,flightview,AA-1279-DFW-PHX,1:00 p.m.,12:41 a.m.,2:35 p.n.,3:30 p.i.
2136,wunderground,nan,8:41 a.m.,8:42 a.m.,9:54 a.m.,9:43 a.m.
89,fowbhrinexs,nan,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
90,goȣfox,AA-1279-DFW-PHX,1:00 p.m.,nan,20010101,3:30 p.m.
2138,panynj,UA-397-JFK-SFO,8:00 a.m.,.m.a 15:8,nan,11:58 a.m.
2139,?,UA-397-JFK-SFO,8:00 a.m.,8:29 a.m.,11:55 a.m.,11:58 a.m.
92,myrateplan,nan,1:00 p.m.,2:04 p.m.,2:35 p.m.,9ȡ:31 a.m.
93,orbitz,XHP-WFD-9721-AA,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
2142,nan,NA-397-JNH-SFO,8:00 a.m.,8:29 a.m.,11:55 ɐa.m.,Alabama
96,travelocity,nan,1:00 p.m.,nan,2:35 p.m.,3:30 p.m.
2145,nan,nan,8:00 a.m.,nan,11:55 w.n.,11:58 a.m.
