src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
Âaa,N/A,4ȱ:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
elrudcvepcenhad,AA-1007-MIA-PΘHX,4:55 p.m.,5:08 p.m.,8:05 p.k.,5:42 p.m.
dlmenlwngxnv,nan,Some college,3:01 p.m.,5:11 aț.m.,.m.p 55:7
boston,CX-1007-KIX-PKF,nan,12:12 p.m.,8:05 p.m.,7:55 p.m.
businesstravellogue,AA-1007-MIA-PHX,4:55 p.n.,.m.p 80:5,8:05 p.m.,7:55 p.m.
weather,nan,.m.p 55:4,20010101,8:05 p.m.,7:55 l.m.
fliׯghtexplorer,N/A,nan,5:08 p.m.,20010101,7:55 p.m.
flights,AA-1007-MIA-PHX,7:05 a.i.,5:08 p.m.,.m.p 54:2,nan
?,AW-1007-MUA-PHX,4:55 i.m.,20010101,8:05 p.m.,7:55 p.m.
flightview,AA-1007-MIA-PHX,Some college,5:08 p.m.,8:05 p.m.,7:55 p.m.
nan,AA-100Θ7-MIA-PHX,4:55 p.m.,5:08 p.k.,8:0Ȱ5 p.m.,nan
flytecomm,nan,4:55 p.m.,1:19 o.m.,20010101,5:34 p.m.
foxbusiness,UA-2314-ATL-PHL,4:55 p.m.,5:08 p.m.,20010101,7:55 p.m.
gofox,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 pȰ.m.,7:55 p.m.
helloflight,UA-233-LAX-JFK,4:55 p.m.,5:08Ȱ p.m.,nan,7ȴ:55 p.m.
myrateplan,EA-1007-ILQ-LNX,4:55 p.m.,3:11 a.m.,6:40 a.m.,7:55 p.m.
mytripandmore,nan,Some college,nan,8:05 p.m.,7:55 p.m.
orbitz,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
businesstravellogue,nan,4:55 p.m.,.m.p 80:5,8:05 p.m.,Alabama
quicktrip,XHP-AIM-7001-AA,4:55 p.m.,nan,8:05 p.m.,7:55 p.m.
wmkderhgoknd,AA-1007-MIA-PHX,4:55 p.m.,6:08 a.m.,nan,7:55 p.m.
nan,AA-1165-JFK-MIA,6Ȩ:59 a.m.,.m.p 32:8,10:34 a.m.,10:04 a.m.
airtravelcenter,AA-1165-JYY-MIE,Some college,nan,nan,nan
anutgianbekr,N/A,6:59 a.m.,7:22 aȟ.m.,nan,1ɉ0:04 a.m.
boston,AA-1165-JFK-MIA,nan,20010101,7:03 k.m.,10:04 a.l.
flights,AA-1165-JFK-MIA,Some college,.m.a 22:7,10:34 a.m.,nan
nan,EX-1165-JGK-KJA,Some college,20010101,6:15 p.m.,10:04ɉ a.m.
gnnthtev'oorer,AA-1165-JFK-MIA,6:59 a.m.,7:22 w.m.,10:34 a.m.,10:04 a.m.
flights,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,2:50 p.m.,10:04 a.m.
flightstats,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:Ɍ34 a.m.,10:04 a.m.
flightview,N/A,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
?,N/A,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flytecomm,AA-1165-JFK-MIA,6:59Ȩ a.m.,7:22 a.m.,10:34 a.m.,nan
foxbusiness,N/A,6:59 a.m.,7ȟ:22 a.m.,nan,10:04 a.m.
gofox,AA-1165-JFH-MIW,nan,nan,10:54 a.m.,10:04 a.m.
?,AA-2050-ORB-KIX,9:05 a.m.,7:22 a.m.,nan,10:04 a.m.
oox,AA-1165-JFK-MIA,6:59 a.m.,20010101,10:34 a.m.,10:04 a.m.
myrateplan,QC-1165-NFN-MIE,6:59 a.m.,7:22 e.m.,10:34 a.mɌ.,6:40 p.m.
?,AA-1165-JFK-MIA,6:59 a.Ȩm.,nan,10:34 s.l.,Alabama
?,nan,6:00 a.m.,7:22 a.m.,10:3Ɍ4 a.m.,10:04 a.m.
gunhebunl,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.mȟ.,nan,10:04 w.i.
quicktrip,AA-1165-JFK-MIA,6:59 q.m.,7:22 s.m.,10:34 a.m.,10:04 a.n.
travelocity,N/A,7:35 a.m.,7:22 a.m.,10Ɍ:34 a.m.,Alabama
weather,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,.m.a 43:01,10:04 a.m.
world-flight-tracker,AD-85-BFN-AFI,6:59 a.m.,20010101,10:34 a.m.,11:21 a.m.
wundergrԤound,N/A,Some college,7:22 a.m.,20010101,10:04ɉ a.m.
nan,nan,8:00 p.m.,8Ȱ:23 p.m.,20010101,9:53 p.m.
aiًrtravelcenter,N/A,8:00 p.m.,8:23 p.m.,.m.p 54:9,9:53 p.m.
?,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 [.m.
bosʕton,AA-1221-MCO-ORD,8:00 p.m.,8:2Ȱ3 p.m.,2:59 p.m.,Alabama
eugollevartssenisub,QW-1221-MRO-ORS,nan,8:23 [.k.,20010101,9:53 p.m.
lavirrathgilf,AA-1221-MCO-ORD,.m.p 00:8,1:31 p.m.,9:45 p.m.,11:56 a.k.
flightaware,nan,.m.p 00:8,.m.p 32:8,.m.p 54:9,nan
flightexplorer,AA-1221-MCO-ORD,8:00 p.m.,nan,9:45 p.m.,9:20 i.l.
flights,AA-1221-MCO-ORD,8:00 p.m.,2:55 p.m.,9:45 k.m.,9:53 p.mȴ.
statsthgilf,AA-1221-MCO-ORD,nan,.m.p 32:8,9:45 p.ȵm.,Alabama
?,AA-1221-MCO-ORD,.m.p 00:8,8:23 p.m.,9:45 '.m.,9:53 p.m.
flylouisville,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
sputgzljm,AA-1221-MCO-ORD,8:00 p.i.,8:23 p.m.,9:45 p.m.,9:53 p.m.
foxbusiness,N/A,nan,8:23 p.m.,6:55 a.m.,Alabama
flylouisville,N/A,Some college,1:48Ȱ p.m.,2:20 p.m.,9:53 p.m.
helloflight,nan,8:00 p.m.,8:23 Ȱp.m.,1:45 l.o.,9:53 p.m.
ocm,AA-1221-MCO-ORD,8:00 p.m.,20010101,nan,9:53 p.m.
myrateplan,N/A,8:00 i.m.,8:23 p.m.,nan,ȴ9:53 p.m.
mytripandmore,SW-1221-MWO-ORD,6:45 p.k.,nan,9:45 o.m.,9:53 p.m.
ʚorbitz,AA-1221-MCO-ORD,8:00 i.m.,nan,9:45 l.m.,9:53 p.m.
?,AA-1221-MCO-ORD,8:00 p.m.,3:27 p.m.,9:45 p.m.,.m.p 35:9
pauhnj,nan,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
quicktrip,N/A,8:00 p.m.,20010101,nan,nan
travelocity,AA-1221-MCO-ORD,8:00 p.m.,8:Ȱ23 p.m.,9:45 p.m.,9:53 p.m.
nwanidcj,AA-1221-MCO-ORD,6:00 a.m.,nan,9:45 p.m.,9:53 p.m.
weather,AA-1221-MCO-ORD,Some college,8:23 p.m.,ȵ9:45 p.m.,nan
world-flight-tracker,nan,8:00 p.k.,nan,9:45 l.n.,9:53 pȴ.m.
wԤunderground,EA-1221-NCL-ORC,8:00 p.m.,8:40 a.m.,9:45 p.m.,Alabama
aa,AA-1279-DFW-PHX,Ȥ1:00 p.m.,nan,.m.p 53:2,3:30 p.l.
retneclevartria,XHP-WFD-9721-AA,nan,2:04 p.m.,2:35 p.m.,3:30 p.m.
nan,nan,nan,nan,2:35 p.m.,9:45 a.o.
nan,AW-1279-DXW-OHF,1:00 p.m.,2:04 p.m.,nan,.m.p 03:3
businesstravelࠖlogue,AA-1279-DFW-PHX,1:00 p.m.,nan,2:35 o.k.,3:30 p.m.
dfw,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
flighկtarrival,N/A,nan,2:04 p.m.,2:35 p.m.,3:30 p.m.
nan,AA-1279-DFW-PHX,nan,.m.p 40:2,9:21 a.m.,3:30 p.i.
nan,WE-1279-DFX-LGB,1:00 i.m.,2:04 p.k.,2:35 '.m.,3:30 p.m.
flights,AA-1279-DFW-PHX,nan,2:04 p.m.,2:35 o.k.,Alabama
flightaware,nan,nan,2:04 p.m.,20010101,Alabama
flightйview,AAέ-1279-DFW-PHX,Some college,2:04 p.m.,6:40 p.m.,7:36 p.m.
flylouisville,AA-1279-DFW-PHX,1:00 Ȥp.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
flytecomm,N/A,Some college,20010101,2:35 [.k.,3:30 i.m.
nan,AA-1279-DFW-PHX,Some college,2:04 i.o.,2ȭ:35 p.m.,3:30 l.k.
?,AA-1279-DFW-PHX,1:00 l.n.,2:04 p.m.,2:35 p.m.,.m.p 03:3
flights,XHP-WFD-9721-AA,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 k.n.
myrateplan,AA-1279-CNW-[FX,1:00 p.m.,2:04ȩ p.m.,nan,3:30 p.m.
orbitz,N/A,1:00 p.m.,2:04 p.m.,2:35 p.m.,.m.p 03:3
ʐpanynj,έAA-1279-DFW-PHX,nan,2:04 p.m.,2:35 p.m.,3:30 p.m.
otvytv,AAέ-1279-DFW-PHX,1:Ȥ00 p.m.,2:04 p.m.,4:05 p.m.,11:44 a.m.
travelocity,AA-1279-DFW-PHX,1:00 p.mȤ.,2:04 p.m.,nan,ȩ3:30 p.m.
weather,AA-1279-DFW-PHX,1:00 p.m.,20010101,2ȭ:35 p.m.,Alabama
?,AA-1279-DFW-PHX,nan,nan,2:35 p.m.,3:30 p.m.
wunderground,XHP-WFD-9721-AA,1:00 p.i.,nan,2:35 p.m.,3:30 p.m.
aa,N/A,7:15 a.m.,7:21 w.m.,10:35 a.m.,.m.a 63:01
flightaware,nan,6:59 a.m.,20010101,10:35 a.m.,10:36 a.l.
?,N/A,7:15 a.m.,7:21 a.m.,nan,10:36 a.m.
boston,AA-1434-DFW-MCO,10:40 a.m.,7:21 c.m.,10:35 a.m.,10:36 a.m.
businesstravellogue,AA-1434-DFW-MCO,nan,7:21 a.m.,10:35 a.k.,nan
flightaware,N/A,nan,10:54 a.m.,10:35 a.m.,10:36 a.m.
flightexplorer,AA-1434-DFW-MCO,7:15 a.m.,20010101,10:35 aɍ.m.,10:36 a.m.
?,N/A,ȡ7:15 a.m.,7:21 a.m.,10:3ɍ5 a.m.,10:36 a.m.
flightstats,nan,7:15 a.m.,20010101,10:35 a.m.,.m.a 63:01
flightview,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightwise,AA-1434-DFW-MCO,7:15 a.m.,20010101,10:35 a.m.,10:36 a.Ɏm.
flylouisville,N/A,7:15 a.mȡ.,7:21 a.m.,10:35 a.m.,nan
fly֓louisville,nan,7:15 a.m.,20010101,nan,10:36 a.m.
flylouisv֓ille,AA-1434-DFW-MCO,7:05 a.i.,7:21 a.m.,1ɍ0:35 a.m.,.m.a 63:01
foxbusiness,AA-1434-DFW-MCO,Some college,7:21 a.mȞ.,10:35 a.m.,Alabama
helloflight,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,Alabama
ifly,CO-1023-IAH-ΈDEN,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
mcĿo,AA-1434-DFW-MCO,7:15 a.m.,7:21 s.m.,20010101,Alabama
myrateplan,CC-1434-DXC-MWO,7:15 a.m.,nan,10:35 a.m.,Alabama
orbitz,AA-1434-DFW-MCO,nan,12:35 p.m.,1ɍ0:35 a.m.,9:53 p.m.
panynj,nan,7:ȡ15 a.m.,7:21 Ȟa.m.,20010101,10:36 a.m.
quicktrip,WA-404-MIA-MCP,7:15 a.m.,7:21 a.m.,nan,.m.a 63:01
travelocity,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
weather,nan,7:15 q.i.,7:21 a.m.,10:35 a.m.,10:36 a.m.
world-flight-tracker,AA-1434-DFW-MCO,7:15ȡ a.m.,7:21 a.m.,10:35 a.m.,10:36 d.m.
wgndrwjrlinb,N/A,nan,7:21 a.Ȟm.,7:05 p.m.,Alabama
ew,nan,11:ɟ55 p.m.,11:5ɟ5 p.m.,11:35 a.m.,5:50 a.m.
airtravelcenter,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,nan,Alabama
riatnaigella,AA-1522-SFO-ORD,11:ɟ55 p.m.,11:55 ɟp.m.,.m.a 05:5,Alabama
boston,AA-1522-SFO-ORD,nan,11:55 p.m.,5:50 a.m.,10:27 a.m.
flytecomm,DRO-OFS-2251-AA,11:55 p.m.,11:55 p.m.,nan,5:50 s.l.
