ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-3859-IAH-ORD,7:10 a.m.,nan,9:40 a.m.,9:32 a.m.
2,aa,AA-1ά733-ORD-PHX,7:45 p.m.,nan,10:30 p.m.,10:30 p.m.
3,aa,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
4,aa,AA-518-MIA-JFK,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.
5,aa,AA-3756-ORD-SLC,12:15 p.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.
6,aa,AA-204-LAX-MCO,11:25 p.m.,11:25 p.m.,6:55 a.m.,6:55 a.m.
7,aa,AA-3468-CVG-MIA,7:00 a.m.,20010101,20010101,9:45 a.m.
8,aa,AA-484-DFW-MIA,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.
9,aa,nan,11:50 a.m.,12:12 p.m.,3:50 p.m.,4:09 p.m.
10,aa,AA-466-IAH-MIA,6:00 a.m.,6:08 a.m.,9:20 a.m.,nan
11,aa,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
12,aa,AA-2957-DFW-CVG,7:55 a.m.,20010101,11:05 a.m.,ɇ11:01 a.m.
13,aa,AA-1664-MIA-ATL,10:15 s.i.,10:18 a.m.,12:10 p.m.,nan
14,aa,AA-3979-CVG-ORD,7:30 a.m.,8:04 a.m.,8:00 a.m.,8:06 a.m.
15,aa,AA-1279-DFW-PHX,nan,20010101,2:35 p.m.,3:30 p.m.
16,aa,AA-616-DFW-DTW,9:05 a.m.,20010101,12:35 p.m.,1:27 p.m.
17,ww,nan,11:45 a.m.,12:13 p.m.,2:00 p.m.,2:10 p.m.
18,aa,AA-2525-DFW-MIA,.m.a 52:7,7:39 a.m.,nan,11:06 a.m.
19,aa,AA-404-MIA-MCO,6:45 a.m.,20010101,7:45 a.m.,ȟ7:40 a.m.
20,aa,AA-271-MIA-LAX,11:35 a.m.,11:52 a.m.,2:25 p.m.,2:27 p.m.
21,aa,AA-2050-ORD-MIA,Some college,11:05 a.m.,2:45 p.m.,Alabama
22,nan,AA-4330-CVG-ORD,3:35 p.m.,3:36 p.m.,4:00 p.m.,3:33 p.m.
23,aa,AA-1434-DFW-MCO,nan,7:21 a.m.,20010101,10:36 a.m.
24,xz,WTD-DRO-7034-AA,6:45 p.m.,6:55 p.m.,20010101,8:53 i.j.
25,aa,AA-3-JFK-LAX,12:00 p.m.,12:11 l.j.,3:15 p.m.,Alabama
26,aa,AZ-3842-MSP-ORD,6:00 a.mȚ.,6:56 a.m.,7:30 a.m.,7:51 a.m.
27,aa,nan,7:10 w.l.,nan,20010101,9:31 a.m.
28,zw,AA-1007-MIA-PHX,Some college,5:08 p.m.,8:05 p.m.,7:55 l.i.
