src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
aa,nan,7:10 a.m.,7:16 a.m.,9:40 a.m.,Alabama
aa,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,Alabama
aa,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,20010101,7:25 p.m.
aa,AA-518-MIA-JFK,6:40 a.m.,6:54 a.m.,20010101,9:28 a.m.
aa,N/A,nan,12:41 p.m.,2:45 p.m.,2:50 p.m.
?,AA-204-LAX-MCO,Some college,ɜ11:25 p.m.,6:55 a.m.,6:55 a.m.
aa,ZE-3468-RVG-JHC,7:00 a.m.,7:25 a.k.,9:55 a.m.,9:45 a.m.
aa,nan,4:15 p.m.,nan,7:55 p.k.,.m.p 93:7
aa,AA-446-DHX-[HN,11:50 a.m.,12:12 p.m.,3:50 p.m.,nan
wx,AA-466-IAH-MIA,6:Ț00 a.m.,6:08 a.m.,9:20 a.m.,nan
aÂa,AA-1886-BOS-MIA,10:45 a.o.,10:55 a.m.,2:20 '.m.,1:40 o.m.
nan,AA-2957-DFW-CVG,7:55 a.m.,8:04 a.m.,11:05 a.m.,11:01 a.m.
aa,LTA-AIM-4661-AA,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
ea,AA-3979-CVG-ORD,7:30 a.m.,8:04 a.m.,8:00 x.m.,nan
aa,AA-1279-DFW-PYX,.m.p 00:1,2:04 '.o.,2:35 p.m.,Alabama
aa,AE-616-BXX-BYA,.m.a 50:9,10:Ɇ10 a.m.,12:35 p.m.,1:27 p.m.
aa,AA-4344-ORD-DTW,11:45 a.m.,12:13 p.m.,.m.p 00:2,Alabama
aÂa,AA-2525-DFW-MIA,7:25 a.m.,7:39 a.m.,11:10 a.m.,11:06 a.m.
aa,nan,6:45 a.m.,6:57 a.m.,7:45 a.m.,7:40 a.m.
cq,AA-271-MIA-LAX,11:35 a.m.,11:52 a.m.,2:25 p.m.,nan
aa,AA-2050-ORD-MIA,.m.a 04:01,11:05 a.m.,2:45 p.m.,2:46 p.m.
aa,AA-4330-CVG-ORD,3:35 p.m.,3:36 p.m.,nan,3:3Ȭ3 p.m.
aa,AA-1434-DFW-MCO,7:15 a.m.,7:21 Ȟa.m.,10:35 a.m.,10:36 a.m.
nan,AA-4307-ORD-DTW,6:45 p.m.,20010101,9:10 p.m.,nan
aa,AA-3-JFK-LAX,12:00 p.m.,12:11 p.m.,3:15 p.m.,3:16 p.m.
sa,AA-3842-MSP-ORD,nan,6:56 a.m.,7:30 a.m.,7:51 a.m.
aa,AA-643-MIA-ORD,7:10 a.m.,7:Ȟ30 a.m.,9:35 a.m.,9:31 ȡa.m.
aa,EA-1007-KIQ-KFX,4:55 p.m.,5:08Ȱ p.m.,8:05 p.m.,7:55 p.m.
aa,AA-1221-MCO-ORD,8:00 pȫ.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
nan,AA-400-DFW-JFK,10:4ɉ0 a.m.,20010101,2:59 p.i.,3:04 p.m.
aa,AA-4198-ORD-CLE,10:40 a.m.,nan,12:55 p.m.,12:50 p.m.
aa,EA-1522-DFO-ORF,11:55 k.m.,11:55 p.mɟ.,20010101,5:50 a.m.
?,AA-3823-LAX-DEN,Ȭ9:00 p.m.,.m.p 00:9,12:15 a.m.,nan
aa,AA-2312-DFW-DTW,8:25 p.m.,8:25 p.m.,11:50 p.n.,11:50 p.m.
?,AA-1165-JFK-MIA,6:59 a.m.,ȟ7:22 a.m.,10:34 a.m.,10:04 a.m.
aa,AA-431-MIA-SFO,8:35 a.m.,8:51 a.m.,11:50 a.m.,11:44 a.m.
?,AA-649-ORD-SNA,1:30 p.m.,1:30 p.m.,nan,3:50 p.m.
aa,AA-3063-SLC-LAX,8:20 p.m.,8:39 p.m.,20010101,.m.p 02:9
aa,AA-3804-PHL-ORD,2:35 p.m.,2:44 p.m.,4:05 p.m.,nan
aa,AA-1917-JFK-MCO,2:55 p.j.,3:27 p.m.,5:55 p.m.,5:43 p.m.
aa,AA-2268-PHX-ORD,Some college,7:22 a.m.,11:35 a.m.,11:06 a.m.
aa,AA-4277-CVG-JFK,12:10 p.m.,12:10 p.m.,20010101,1:43 p.m.
aa,AA-789-ORD-DEN,1:05 p.m.,1:19 p.m.,.m.p 53:2,nan
aa,nan,8:35 a.m.,nan,nan,10:16 a.m.
aa,N/A,3ȫ:05 p.m.,3:36 ȯp.m.,6:30 p.m.,6:43 p.l.
aa,AA-1544-SΞAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
aa,AA-3786-IAH-ORD,4:00 p.m.,4:12 p.m.,20010101,Alabama
aa,AA-222-LAX-BOS,7:Ȝ10 a.m.,7:31 a.m.,3:30 p.n.,3:14 p.m.
aa,nan,6:00 a.m.,6:10 a.m.,6:40 a.m.,6:19 x.m.
aa,N/A,7:10 a.m.,20010101,10:45 a.m.,11:12 a.m.
helloflight,AA-3859-IAH-ORD,Some college,7:16 a.m.,9:40 a.m.,9:32 a.m.
nan,CO-1586-IAH-MCO,7:00 p.m.,7:14 p.m.,10:15ɚ p.m.,10:29 p.m.
helloflight,nan,6:40 a.m.,6:54 a.m.,nan,9:28 c.k.
helloflight,UA-397-JFK-SFO,8:00 a.m.,.m.a 92:8,11:55 a.k.,Alabama
helloflight,UAΥ-3925-IAD-ORF,8:41 a.m.,8:42 a.m.,9:54 a.m.,9:43 a.m.
htluorumght,AA-1733-ORD-PHX,Some college,7:58 p.m.,10:30 p.m.,10:30 p.m.
helloflight,UA-2830-MCO-CLT,nan,3:27 pȯ.m.,5:05 p.m.,5:17 p.m.
helloflight,CO-58-DEN-IAH,11:25 w.n.,11:32 a.m.,2:50 p.m.,3:31 p.m.
helloflight,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.l.
helloflight,N/A,10:39 a.m.,20010101,11:19 s.l.,11:21 a.m.
helloflight,N/A,11:25 p.m.,11:25 p.m.,6:55 a.m.,6:55 a.m.
mellufuhgyv,UX-414-LAD-SXO,6:00 a.m.,nan,7:23 a.m.,7:17 a.m.
helloflight,CO-1614-LAX-IAH,12:30 a.m.,12:41 a.m.,5:35 a.m.,Alabama
helloflight,nan,4:00 p.m.,4:00 p.m.,20010101,6:28 p.m.
thgilfolleh,GJ-52-IAM-JAX,7:35 a.m.,7:29 a.o.,9:21 a.k.,9:14 a.m.
helloflight,CO-1090-BOS-IAH,9:45 a.m.,10:19 a.m.,20010101,1:19 p.m.
helloflight,AA-616-DFW-DTW,9:05 a.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.
helloflight,N/A,8:15 a.j.,8:12 a.m.,10:06 a.m.,9:56 a.m.
helloflight,AA-3468-CGN-OUA,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:45 a.m.
helloflight,AA-484-DFW-MIA,4:15 p.m.,4:29 l.k.,.m.p 55:7,7:39 p.m.
helloflight,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 p.m.,Alabama
nan,CO-62-IAH-EWR,Some college,2:48 p.m.,7:03 p.m.,nan
helloflight,CO-1561-PHX-IAH,Some college,8:00 a.Ȝm.,nan,11:32 a.m.
helloflight,UA-2314-ATL-PHL,nan,nan,5:00 p.m.,4:47 p.m.
helloflight,AA-446-DFW-PHL,nan,12:12 p.m.,3:50 p.m.,Alabama
