ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
460,?,HAI-XHP-1651-OC,Some college,8:00 a.m.,.m.a 53:11,11:32 a.m.
1185,usatoday,nan,nan,6:57 a.m.,7:45 a.m.,7:40 a.m.
2325,world-flight-tracker,AA-1733-ORD-PHX,nan,.m.p 85:7,10:30 p.m.,ɗ10:30 p.m.
956,nan,nan,2:55 p.m.,2:55 p.m.,nan,4:47 p.m.
1216,nan,AA-789-ORD-DEN,1:05 p.m.,1:19 p.m.,.m.p 53:2,3:13 p.m.
1516,flytecomm,nan,6:00 a.m.,6:Ȝ02 a.m.,10:20 a.m.,10:27 a.m.
770,vlmjycawimpgqr,nan,1:33 p.m.,1:31 p.m.,4:31 p.m.,4:23 p.l.
1686,?,CO-63-EWR-IAH,5:25 p.m.,5:22 p.i.,8:22 p.m.,8:03 p.m.
131,helloflight,AA-3804-PHL-ORD,2:35 p.m.,20010101,4:05 p.k.,3:43 p.m.
2136,businesstravellogue,AA-415-BOS-ORD,8:35 d.m.,20010101,10:40 a.m.,10:16 a.m.
1483,sfo,AA-85-JFK-SFO,3:05 p.m.,3:36 p.m.,6:30 p.m.,6:43 p.m.
331,weather,UA-3099-PHX-PHL,11:55 a.m.,11:55 a.m.,6:17 p.m.,nan
1239,myrateplan,nan,9:45 a.m.,10:19 a.m.,1:16 p.m.,Alabama
467,?,CM-1088-ZPE-YSI,8:40 c.m.,8:40 a.m.,10:54 a.m.,Alabama
2170,gofox,nan,7:3ȣ5 a.m.,7:29 a.m.,9:21 a.m.,9:14 a.m.
1639,ord,AA-3842-MSP-ORD,nan,6:56 a.m.,7:30 a.m.,7:51 a.m.
1096,foxbusiness,XI-1023-IQH-EEN,11:40 w.m.,20010101,1:17 p.m.,1:14 p.m.
1131,?,DRO-OFS-2251-AA,nan,11:55 p.m.,nan,5:50 a.m.
1295,myrнateplan,UA-6273-YYC-SFO,nan,7:27 a.m.,9:43 a.m.,.m.a 54:8
861,flights,AA-643-MIA-ORD,7:10 a.m.,7:30 a.m.,9:ȥ35 a.m.,9:31 a.m.
