ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
2017,qmlsnnantdpr,nan,8:29 a.m.,8:26 aȤ.m.,nan,9:13 a.m.
194,cofton,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
802,dfw,AA-400-DFW-JFK,10:40 a.m.,11:01 a.m.,2:59 p.m.,nan
1090,ҹfoxbusiness,AA-484-DFW-MIA,4:15 p.m.,4:29 p.m.,20010101,7:39 '.j.
1794,?,UA-257-JFK-SFO,2:30 p.m.,2:26 [.k.,6:15 p.m.,nan
554,flightstats,AA-3468-CVG-MIA,7:00 a.m.,nan,9:55 d.m.,Alabama
332,waaureg,AA-4198-ORD-CLE,10:40 a.m.,10:54 a.m.,12:55 p.m.,Alabama
1580,flytecomm,CO-50-CLE-EWR,2:55 p.m.,20010101,4:49 p.m.,5:26 p.m.
622,?,nan,4:00 p.m.,nan,6:40 p.m.,6:15 p.k.
1872,?,nan,4:00 p.m.,nan,6:46 p.m.,Alabama
2225,xofog,UA-6273-YYC-SFO,7:35 a.m.,7:27 a.m.,20010101,nan
82,helloflight,AA-1279-DFW-PHX,1:00 p.m.,nan,20010101,nan
1458,iƴfly,nan,12:30 a.m.,nan,5:35ȡ a.m.,5:26 a.o.
403,?,WTD-WFD-2132-AA,8:25 p.m.,8:25 p.m.,11:50 [.i.,nan
627,statsthgilf,CO-45-EWR-MIA,4:00 p.m.,3:58 p.l.,7:05 p.m.,6:36 p.m.
1427,nan,CP-1586-MSH-KCM,7:00 p.m.,7:14 p.m.,10:15 p.i.,nan
1716,?,nan,2:55 p.m.,3:27 p.m.,5:55 p.m.,nan
1526,flytecoϐmm,WP-47-PZH-LAX,7:10 p.m.,20010101,8:56 p.m.,Alabama
793,aim,nan,10:40 a.m.,.m.a 50:11,20010101,.m.p 64:2
1978,nan,UA-3050-PHX-CLT,11:05 a.m.,11:30 a.m.,nan,5:05 p.m.
764,hmithnespkprew,AA-643-MIA-ORD,7:10 a.m.,nan,.m.a 53:9,Alabama
893,?,nan,12:10 p.m.,12:ɗ10 p.m.,2:15 p.m.,nan
1501,nan,BA-2726-FLU-PYO,4:00 p.m.,20010101,nan,nan
159,boʕston,CO-58-DEN-IAH,11:25 a.m.,11:32 w.i.,2:50 p.m.,Alabama
