ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10005,eliza coffee memorial hospital,1720 university blvd,empty,empty,dothan,al,35233,fayette,3344933541,acute care hospitals,voluntary non-profit - private,yes,pneumonia,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,90 patients,al_scip-vte-1
2,10018,g h lanier memorial hospital,1720 university blvd,empty,empty,birmingham,al,36201,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,pneumonia,hf-4,pneumonia patients assessed and given pneumococcal vaccination,empty,empty,al_scip-inf-3
3,10015,callahan eye foundation hospital,1010 lay dam road,empty,empty,thomasville,al,36049,jefferson,2057552500,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,empty,al_scip-inf-1
4,10018,callahan eye foundation hospital,400 n edwards street,empty,empty,centre,al,35960,jefferson,2562651000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,pneumonia patients assessed and given influenza vaccination,100%,empty,al_scip-inf-3
5,10033,callahan eye foundation hospital,205 marengo street,empty,empty,birmingham,al,35968,clarke,2059344011,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,ami-5,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_ami-8a
6,10018,elba general hospital,209 north main street,empty,empty,mobile,al,35233,chilton,3342938000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,95%,empty,al_scip-inf-6
7,10108,callahan eye foundation hospital,4800 48th st,empty,empty,birmingham,al,35233,morgan,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,pneumonia patients given smoking cessation advice/counseling,empty,empty,al_pn-2
8,10018,cherokee medical center,1720 university blvd,empty,empty,huntsville,al,35901,jefferson,2053258100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,817 patients,al_scip-vte-2
9,10019,helen keller memorial hospital,4800 48th st,empty,empty,sheffield,al,36078,de kalb,2565938310,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,al_ami-1
10,10021,st vincents blount,150 gilbreath drive,empty,empty,cullman,al,36360,chilton,2562495000,acute care hospitals,government - hospital district or authority,no,heart attack,ami-2,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),93%,13 patients,al_hf-3
11,10022,chilton medical center,1300 south montgomery avenue,empty,empty,birmingham,al,35660,calhoun,2563864556,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,al_ami-3
12,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,elmore,2565718000,acute care hospitals,proprietary,yes,pneumonia,hf-3,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,71 patients,al_ami-4
13,10019,medical center enterprise,1300 south montgomery avenue,empty,empty,sheffield,al,35660,anchorage,2563864556,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,pn-7,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),86%,55 patients,al_ami-7a
14,10019,helen keller memorial hospital,315 w hickory st,empty,empty,sheffield,al,35640,covington,2563864556,acute care hospitals,government - hospital district or authority,no,heart attack,scip-vte-1,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
15,10019,helen keller memorial hospital,124 s memorial dr,empty,empty,luverne,al,35660,jefferson,2057552500,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given pci within 90 minutes of arrival,72%,0 patients,al_ami-3
16,10019,helen keller memorial hospital,33700 highway 43,empty,empty,sheffield,al,99508,bethel,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,80%,87 patients,al_hf-1
17,10038,helen keller memorial hospital,1108 ross clark circle,empty,empty,sheffield,al,35660,chilton,2563864556,acute care hospitals,government - hospital district or authority,yes,pneumonia,hf-2,heart attack patients given beta blocker at discharge,100%,4 patients,al_hf-2
18,10043,southeast alabama medical center,2505 u s highway 431 north,empty,empty,sheffield,al,35901,etowah,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,92%,37 patients,al_pn-5c
19,10045,prattville baptist hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,talladega,2563864556,acute care hospitals,government - hospital district or authority,no,heart failure,hf-4,pneumonia patients given the most appropriate initial antibiotic(s),99%,41 patients,al_hf-4
20,10032,southeast alabama medical center,1108 ross clark circle,empty,empty,enterprise,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,no,children s asthma care,ami-1,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,98%,270 patients,al_ami-1
21,10045,crenshaw community hospital,1108 ross clark circle,empty,empty,dothan,al,36302,lauderdale,3347938701,acute care hospitals,government - hospital district or authority,yes,heart failure,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,al_ami-2
22,10011,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,2562358900,acute care hospitals,government - hospital district or authority,yes,heart failure,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,71 patients,al_scip-inf-3
23,10008,southeast alabama medical center,301 east 18th st,empty,empty,montgomery,al,36067,houston,2567736511,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,244 patients,al_ami-4
24,10010,callahan eye foundation hospital,1108 ross clark circle,empty,empty,dothan,al,35631,marion,2058383122,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given beta blocker at discharge,100%,56 patients,al_ami-7a
25,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,birmingham,al,36049,autauga,3347938701,acute care hospitals,voluntary non-profit - private,yes,pneumonia,ami-7a,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,empty,0 patients,al_ami-7a
26,10043,southeast alabama medical center,1201 7th street se,empty,empty,winfield,al,35150,houston,2059216200,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,72%,34 patients,al_ami-4
27,10050,southeast alabama medical center,1108 ross clark circle,empty,empty,valley,al,36067,houston,2564944000,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,294 patients,al_hf-1
28,10033,southeast alabama medical center,1108 ross clark circle,empty,empty,gadsden,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart failure,ami-4,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,514 patients,al_ami-8a
29,10001,gadsden regional medical center,150 gilbreath drive,empty,empty,andalusia,al,36302,chambers,2059216200,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,165 patients,al_hf-3
