ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35007,jefferson,2567688400,acute care hospitals,voluntary non-profit - private,yes,pneumonia,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,93%,130 patients,al_scip-card-2
2,10018,baptist medical center south,1720 university blvd,empty,empty,enterprise,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,ami-7a,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,empty,al_scip-inf-1
3,10018,cullman regional medical center,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart attack,scip-inf-2,heart attack patients given pci within 90 minutes of arrival,empty,empty,al_scip-inf-2
4,10018,callahan eye foundation hospital,2000 pepperell parkway,empty,empty,birmingham,al,35801,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,empty,empty,al_scip-inf-3
5,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,hamilton,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,100%,110 patients,al_scip-inf-4
6,10018,yukon kuskokwim delta reg hospital,2801 debarr road,empty,empty,birmingham,al,35233,jefferson,2514717110,acute care hospitals,government - state,yes,surgical infection prevention,scip-inf-2,pneumonia patients assessed and given pneumococcal vaccination,empty,18 patients,al_scip-inf-6
7,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,anchorage,al,35233,jefferson,3346366221,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,heart failure patients given an evaluation of left ventricular systolic (lvs) function,empty,empty,al_scip-vte-1
8,10018,alaska regional hospital,1720 university blvd,empty,empty,centre,al,35233,jefferson,2564944000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,5 patients,al_hf-1
9,10010,callahan eye foundation hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2567688400,acute care hospitals,proprietary,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,empty,33 patients,al_ami-1
10,10027,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,36201,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,hf-4,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,10 patients,al_ami-2
11,10015,east alabama medical center and snf,1300 south montgomery avenue,empty,empty,prattville,al,35660,jefferson,2059344011,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-4,heart attack patients given aspirin at arrival,86%,0 patients,al_ami-3
12,10019,medical center enterprise,201 pine street northwest,empty,empty,gadsden,al,35660,jefferson,3347742601,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,pn-6,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,100%,0 patients,al_ami-4
