ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10087,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,99508,crenshaw,3344933541,acute care hospitals,government - federal,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,25%,0 patients,al_pn-2
10019,wedowee hospital,209 north main street,empty,empty,wedowee,al,36278,montgomery,2563572111,acute care hospitals,government - local,yes,surgical infection prevention,hf-1,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
10044,stringfellow memorial hospital,1256 military street south,empty,empty,fort payne,al,35058,marion,2059216200,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,87%,513 patients,al_scip-inf-2
10043,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467,dale,3344933541,acute care hospitals,voluntary non-profit - private,yes,heart attack,scip-card-2,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,0 patients,al_pn-5c
10036,community hospital inc,1530 u s highway 43,empty,empty,winfield,al,35594,marion,2054877736,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,ami-5,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,93%,102 patients,al_scip-inf-1
10006,st vincents east,205 marengo street,empty,empty,birmingham,al,35801,madison,3347935000,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,10 patients,al_hf-1
10008,southwest alabama medical center,50 medical park east drive,empty,empty,cullman,al,35640,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-card-2,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),89%,54 patients,al_scip-vte-2
10025,stringfellow memorial hospital,987 drayton street,empty,empty,winfield,al,36201,calhoun,9072761131,acute care hospitals,proprietary,yes,heart failure,scip-card-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,83%,147 patients,al_hf-4
10021,dekalb regional medical center,1530 u s highway 43,empty,empty,birmingham,al,35235,jefferson,3342228466,acute care hospitals,voluntary non-profit - private,yes,heart failure,ami-7a,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),81%,350 patients,al_scip-inf-4
10035,dale medical center,126 hospital ave,empty,empty,hartselle,al,35570,jefferson,2059344011,acute care hospitals,government - hospital district or authority,yes,heart attack,pn-2,heart attack patients given aspirin at arrival,100%,71 patients,al_ami-1
10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,35901,crenshaw,3344933541,acute care hospitals,government - federal,yes,heart attack,scip-vte-1,heart failure patients given smoking cessation advice/counseling,empty,57 patients,al_pn-4
10027,mizell memorial hospital,987 drayton street,empty,empty,elba,al,36323,marion,3348972257,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-vte-1,heart failure patients given an evaluation of left ventricular systolic (lvs) function,empty,137 patients,al_scip-vte-1
10006,southeast alabama medical center,1108 ross clark circle,empty,empty,opp,al,36302,randolph,2058383122,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,al_pn-6
10034,community hospital inc,1108 ross clark circle,empty,empty,tallassee,al,36078,covington,3342836541,acute care hospitals,voluntary non-profit - private,no,pneumonia,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,141 patients,al_hf-3
10006,eliza coffee memorial hospital,301 east 18th st,empty,empty,opp,al,35235,montgomery,2567688400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),97%,0 patients,al_ami-3
10005,mizell memorial hospital,400 northwood dr,empty,empty,opp,al,35555,shelby,2565938310,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-3b,heart attack patients given smoking cessation advice/counseling,78%,0 patients,al_pn-3b
10086,southeast alabama medical center,1912 alabama highway 157,empty,empty,birmingham,al,35007,shelby,3343353374,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,63%,208 patients,al_scip-vte-1
10006,marshall medical center south,1300 south montgomery avenue,empty,empty,hamilton,al,36784,marion,2059216200,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,empty,125 patients,al_hf-2
20017,helen keller memorial hospital,2801 debarr road,empty,empty,opp,ak,36784,anchorage,2564944000,acute care hospitals,government - federal,yes,heart attack,pn-5c,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,0%,90 patients,ak_hf-4
10007,cullman regional medical center,1720 university blvd,empty,empty,opp,al,35235,covington,3344933541,acute care hospitals,voluntary non-profit - private,yes,heart failure,pn-2,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),87%,179 patients,al_hf-2
