ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,georgiana hospital,1720 university blvd,empty,empty,birmingham,al,35233,lee,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,96%,empty,al_scip-inf-4
10044,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35555,de kalb,3342882100,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,ami-1,heart attack patients given aspirin at discharge,33%,empty,al_scip-inf-1
10018,callahan eye foundation hospital,400 n edwards street,empty,empty,cullman,al,35957,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,surgery patients who were given the  right kind  of antibiotic to help prevent infection,97%,empty,al_ami-3
10050,callahan eye foundation hospital,2505 u s highway 431 north,empty,empty,birmingham,al,36106,coffee,2053258100,acute care hospitals,government - state,yes,surgical infection prevention,ami-4,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,1 patients,al_scip-inf-1
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,hamilton,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart attack,scip-inf-4,heart attack patients given pci within 90 minutes of arrival,empty,6 patients,al_scip-inf-4
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,florence,al,36801,talladega,2052743000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-6,heart attack patients given beta blocker at discharge,empty,54 patients,al_scip-inf-6
10029,baptist medical center south,1720 university blvd,empty,empty,winfield,al,35233,morgan,2056208100,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-8a,pneumonia patients assessed and given pneumococcal vaccination,68%,empty,al_scip-vte-1
10018,hartselle medical center,205 marengo street,empty,empty,mobile,al,35901,madison,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart attack,scip-card-2,heart attack patients given pci within 90 minutes of arrival,empty,empty,al_scip-vte-2
10019,marshall medical center north,1653 temple avenue north,empty,empty,fort payne,al,35957,jefferson,2562495000,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),98%,0 patients,al_ami-2
10009,marion regional medical center,400 n edwards street,empty,empty,birmingham,al,35660,elmore,2059325966,acute care hospitals,proprietary,yes,heart attack,ami-2,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,empty,al_ami-2
