ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10046,riverview regional medical center,600 south third street,empty,empty,andalusia,al,35233,talladega,2562651000,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,pn-4,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,110 patients,al_scip-card-2
3,10018,marion regional medical center,126 hospital ave,empty,empty,birmingham,al,36420,houston,2053258100,acute care hospitals,proprietary,yes,surgical infection prevention,scip-vte-1,surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,empty,al_ami-1
4,10018,callahan eye foundation hospital,619 south 19th street,empty,empty,birmingham,al,36302,jefferson,3347935000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,ami-8a,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,empty,al_hf-1
516,10016,southwest alabama medical center,400 northwood dr,empty,empty,thomasville,al,35640,etowah,2569275531,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,87%,0 patients,al_scip-vte-2
517,10021,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,35058,dale,3342882100,acute care hospitals,government - state,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,100%,31 patients,al_scip-inf-1
7,10039,callahan eye foundation hospital,1725 pine street,empty,empty,birmingham,al,35233,lauderdale,2053258100,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,pn-2,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,al_pn-2
9,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sylacauga,al,35660,jefferson,2563572111,acute care hospitals,voluntary non-profit - private,yes,heart attack,pn-3b,heart attack patients given aspirin at arrival,97%,36 patients,al_ami-1
523,10164,marion regional medical center,50 medical park east drive,empty,empty,montgomery,ak,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,no,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,96%,27 patients,al_scip-inf-6
15,10019,flowers hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35901,jefferson,2057552500,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,97%,0 patients,al_ami-1
527,10023,baptist medical center south,33700 highway 43,empty,empty,montgomery,al,36116,clarke,2563572111,acute care hospitals,voluntary non-profit - church,yes,heart failure,pn-3b,heart failure patients given smoking cessation advice/counseling,100%,0 patients,al_scip-inf-1
20,10001,southeast alabama medical center,301 east 18th st,empty,empty,dothan,al,35570,madison,2059325966,acute care hospitals,government - hospital district or authority,yes,heart attack,hf-3,heart attack patients given aspirin at arrival,100%,109 patients,al_ami-1
21,10038,southeast alabama medical center,4370 west main street,empty,empty,dothan,al,36302,lauderdale,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given aspirin at discharge,99%,159 patients,al_pn-6
22,10015,st vincents blount,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - federal,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),88%,27 patients,al_ami-3
26,10001,flowers hospital,1108 ross clark circle,empty,empty,centre,al,36302,houston,2054877736,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given pci within 90 minutes of arrival,79%,40 patients,al_ami-8a
538,10012,baptist medical center south,2105 east south boulevard,empty,empty,wedowee,al,36116,montgomery,2569275531,acute care hospitals,government - federal,yes,surgical infection prevention,pn-3b,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,95%,65 patients,al_ami-7a
540,10023,marion regional medical center,2105 east south boulevard,empty,empty,wedowee,al,36116,marion,3347493411,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-6,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,98%,179 patients,al_scip-vte-1
35,10001,chilton medical center,600 south third street,empty,empty,opelika,al,35121,houston,3347935000,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-3b,pneumonia patients given the most appropriate initial antibiotic(s),80%,134 patients,al_pn-6
