ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
131,10050,northwest medical center,619 south 19th street,empty,empty,florence,al,35058,randolph,2563572111,acute care hospitals,voluntary non-profit - church,yes,heart attack,pn-2,pneumonia patients assessed and given pneumococcal vaccination,25%,16 patients,al_pn-2
664,10024,gadsden regional medical center,209 north main street,empty,empty,huntsville,al,36278,randolph,2563572111,acute care hospitals,government - hospital district or authority,no,pneumonia,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,empty,al_scip-inf-6
872,10044,marion regional medical center,315 w hickory st,empty,empty,centre,al,35007,marion,2059216200,acute care hospitals,voluntary non-profit - other,yes,heart failure,pn-3b,pneumonia patients assessed and given influenza vaccination,87%,15 patients,al_scip-inf-2
100,10015,mizell memorial hospital,400 n edwards street,empty,empty,alabaster,al,36467,covington,3344933541,acute care hospitals,government - federal,yes,heart attack,ami-7a,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,80%,0 patients,al_ami-7a
373,10010,northwest medical center,400 northwood dr,empty,empty,winfield,al,36467,marion,2562651000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-6,heart attack patients given aspirin at discharge,95%,0 patients,al_ami-5
88,10049,elba general hospital,515 miranda st,empty,empty,florence,al,35631,madison,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart failure,scip-inf-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,134 patients,al_scip-inf-1
459,10019,huntsville hospital,1000 first street north,empty,empty,sheffield,al,36305,mobile,2057552500,acute care hospitals,government - federal,yes,pneumonia,scip-inf-1,heart failure patients given discharge instructions,empty,54 patients,al_hf-3
331,10038,stringfellow memorial hospital,2505 u s highway 431 north,empty,empty,anniston,al,35801,coffee,2562358900,acute care hospitals,proprietary,yes,pneumonia,scip-inf-6,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,99%,90 patients,al_scip-card-2
215,10050,marshall medical center north,301 east 18th st,empty,empty,enterprise,al,35235,madison,2058383122,acute care hospitals,proprietary,yes,pneumonia,hf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,82 patients,al_scip-inf-3
467,20017,medical center enterprise,126 hospital ave,empty,empty,opp,al,35957,coffee,2057552500,acute care hospitals,government - hospital district or authority,no,heart attack,ami-1,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,71 patients,al_ami-1
122,10008,crenshaw community hospital,50 medical park east drive,empty,empty,gadsden,al,36067,crenshaw,3343353374,acute care hospitals,government - federal,yes,heart attack,ami-2,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,0 patients,al_scip-inf-2
615,10043,callahan eye foundation hospital,987 drayton street,empty,empty,luverne,al,36323,de kalb,3348972257,acute care hospitals,voluntary non-profit - other,yes,heart failure,ami-2,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,empty,al_ami-5
21,10038,southeast alabama medical center,4370 west main street,empty,empty,dothan,al,36302,lauderdale,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given aspirin at discharge,99%,159 patients,al_pn-6
701,10029,community hospital inc,209 north main street,empty,empty,tallassee,al,36078,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,30 patients,al_hf-3
72,10006,cullman regional medical center,205 marengo street,empty,empty,valley,al,35233,houston,2567688400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,pn-3b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,empty,al_scip-inf-6
107,10007,andalusia regional hospital,702 n main st,empty,empty,opp,al,36116,marion,2059325966,acute care hospitals,government - state,yes,heart attack,pn-3b,heart failure patients given discharge instructions,78%,64 patients,al_pn-2
271,10045,shelby baptist medical center,1000 first street north,empty,empty,valley,al,35801,shelby,2563864556,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,ami-2,heart attack patients given aspirin at discharge,97%,10 patients,al_hf-1
861,10029,stringfellow memorial hospital,101 hospital circle,empty,empty,dothan,al,35233,lee,2059216200,acute care hospitals,voluntary non-profit - church,yes,heart failure,ami-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,95%,5 patients,al_scip-vte-1
436,10035,prattville baptist hospital,1912 alabama highway 157,empty,empty,andalusia,al,36116,lauderdale,9072761131,acute care hospitals,proprietary,yes,heart failure,scip-inf-2,heart attack patients given fibrinolytic medication within 30 minutes of arrival,97%,13 patients,al_scip-inf-4
103,10007,chilton medical center,702 n main st,empty,empty,andalusia,al,36467,covington,2059216200,acute care hospitals,voluntary non-profit - private,no,heart failure,hf-3,heart failure patients given an evaluation of left ventricular systolic (lvs) function,77%,76 patients,al_hf-2
