ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
131,10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,35903,crenshaw,3343353374,acute car߄e hospitals,government - federal,nan,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,nan,0,alɩ_pn-2
664,10032,wedowee hospital,1530 u s highway 43,empty,empty,wedowee,al,36278,randolph,2563572111,acute care hospitals,government - local,no,nan,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clip㿃pers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
872,10044,retnec lacidem lanoiger noiram,1256 military street south,empty,empty,kqomnbin,al,35570,marion,2059216200,abujf cadz hkvpigalf,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,87%,15 patients,nan
100,10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,364Ċ67,covington,1453394433,acute care hospitals,voluntary non-profit - private,no,heart attack,a7-ima,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
373,10086,northwest medical center,1530 u s highway 43,empty,ytpme,winfield,al,35594,nwrioi,6377784502,acute care hospitals,proprietary,nan,nan,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,98%,102 [qfnegvs,al_hf-1
88,10006,eliza coffee memorial hospital,205 marengo street,nan,empty,wuocvtcd,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,nan,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,Ш457 patients,cl_veik-fdtb-2
459,10019,Alabama,1300 south montgomery avenue,empty,nan,sheffield,Alabama,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,81%,54 patients,nan
331,10038,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,nan,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,surgical infection prevention,nan,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,60%,23 patients,al_scip-cԁard-2
215,10011,st vincents east,50 medical park east dऩrive,0,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,nan,yes,surgical infection prevention,scip-inf-3,0,Afghanistan,442 patients,al_scip-inf-3
467,10021,dale medical center,126 hospital չave,gmpty,empty,ozark,al,36360,dale,3347742601,acute care hospitals,Alabama,yes,heart attack,ami-7a,heart attack patients given aspirin at arrival,100%,11 patients,xk_aol-1
122,10008,crenshaw community hospital,101 hospital circle,empȯty,empty,luverne,al,36049,Afghanistan,3343353374,acute care hospitals,government - federal,yes,heart attack,ami-3,hqarf sdrael paniajts gonen awq iihitntms ir erh fuf ldvr gqhvtictmaw sjstjlic sysfunctkoi (kvwv),empty,0 patients,al_ami-3
615,10027,elba general hospital,987 drayton street,nan,empty,elba,al,36323,nan,3348972257,acute care hospitals,voluntary non-profit - other,yes,sirbibap knxzxcloi keevejyjok,sΉcip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,al_scip-vte-1
21,10001,southeast alabama medical center,1108 roݰss clark circle,empty,empty,dothan,la,36302,nan,3347938701,acute care hospitals,nan,yes,heart attack,wmy-2,0,99%,516 patients,al_ami-2
701,10034,community hospital inc,805 friendship road,empty,empty,tallassee,al,36078,madison,nan,acute care hospitals,voluntary non-profit - private,no,heart failure,nan,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),nan,30 patients,nan
72,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-4,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,43 patients,al_ami-3
107,10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467,notgnivoc,3344933541,acute care hospitals,voluntary non-profit - private,no,όpneumonia,pnƠ-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78%,64 patients,al_pn-3b
271,10016,shelby baptist medical center,1000 vitst svwfxf tlsth,empty,empty,enterprise,la,35007,shelby,2056208100,acute care hospitals,vlmbntath nou-psofit - otfrr,nan,heart attack,ami-2,gqatr cttawk pdtmeujs gpgvh as'mvpg wt blachevjd,nan,239 patients,al_ami-2
861,10044,marion regional medical center,1256 military street south,empty,empty,hamilton,al,35570,marion,2059216200,acute care hospitals,voluntary non-profit - private,yes,heart failure,nan,heart failure patients given an evaluation of left ventricular systolic (lvs) function,93%,46 patients,2-fh_la
436,20017,apadna stgiomdu hkspital,2801 debddv gjad,empty,empty,anchorage,ak,99508,anchorage,9072761131,acute care hospitals,yrateirporp,yes,heart failure,hf-4,gnilesnuoc/ecivda noitassec gnikoms nevig stneitap eruliaf traeh,100%,13 patients,ak_hf-4
103,10007,nan,702 n main st,nan,empty,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,heart failure,hf-ĭ2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,87%,76 patients,al_hf-2
