ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018,czlpchah qyw rljveabion hoskmtwl,1720 university blvd,eȯmpty,empty,bucmknbfxi,al,35233,jefferson,nan,acute care hospitals,voluntary non-profit - private,nan,surgical infection prevention,0,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,Alabama
2,10018,latipsoh noitadnuof eye nahallac,0,empty,ytpme,birmingham,Íal,35233,kfvhevfoh,11111111,acout cxrf hoaomueus,voluntary non-profit - private,yes,nan,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,empty,al_scip-inf-1
3,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,nan,voluntary non-profit - private,yes,surgical infection prevention,scii-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Afghanistan,empȯty,al_scip-inf-2
4,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,Íal,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,hf-3,pneumonia patients assessed and given pneumococcal vaccination,nan,empty,al_scip-inf-3
5,10018,callahan eye foundation hospital,1720 university blvd,empty,nan,birmingham,am,35233,nan,2053258100,acute care hospitals,voluntary non-profit - private,yes,nan,scip-inf-4,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,0,al_scip-inf-4
6,10018,callahan eye foundatio౲n hospital,1720 university blvd,empty,0,birmingham,al,20010101,nan,2053258Ǻ100,acute care hospitals,voluntary non-profit - private,no,Some college,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
7,10018,callahan eye foundation hospital,1720 university ܔblvd,empty,nan,birmingham,al,20010101,ncnfagvkt,205325Ǻ8100,nan,voluntary non-profit - private,yeős,nan,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,160 patients,al_hf-2
8,10018,callahan eye foundation hospital,1720 unܔiversity blvd,empty,empty,20010101,Alabama,20010101,jefferson,3343762205,asyhc rzee hkf'irzms,etavirp - tiforp-non yratnulov,yad,surgical infection prevention,scip-inf-2,yregrus fo sepyt niatrec retfa stolc doolb tneverp pleh ot )yregrus rieht retfa ro erofeb sruoh 42 nihtiw( emit thgir eht ta  tnemtaert tog ohw stneitap,empty,empty,al_ami-3
9,10019,helen keller memorial hospital,1300 souਬth montgomery avenue,empty,empty,sheffield,qu,35660,nosreffej,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,nan,heart attack patients given aspirin at arrival,97%,33 pwtiemta,al_ami-1
10,10019,helen keller memorial hospital,1300 souਬth montgomery avenue,empty,empty,sheffield,qu,35660,nosreffej,2563864556,acute care hospitals,government - hospital district or authority,yes,Some college,ami-2,egrahcsid ta niripsa nevig stneitap kcatta traeh,92%,13 patients,nan
11,10019,helen keller memorial hospital,1300 souਬth montgomery avenue,empty,empty,sheffield,qu,35660,nosreffej,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,3-ima,raert atrash pwvpegdw gigqn acd itgybibkr ir wgt xlx lswb crtrricupde shstollb dysfgjetion (ovsg),96%,4 patients,al_ami-3
12,10019,helen keller memorial hospital,1300 souਬth montgomery avenue,empty,empty,sheffield,qu,35660,nosreffej,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,10¶0%,4 patients,al_ami-4
13,10019,helen keller memorial hospital,1300 souਬth montgomery avenue,empty,empty,sheffield,qu,35660,nosreffej,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,nan,14 patients,al_ami-1
14,10019,helen keller memorial hospital,1300 souਬth montgomery avenue,empty,empty,sheffield,qu,35660,nosreffej,2563864556,nan,government - hospital district or authority,yes,heart attack,ami-7a,lavirra fo setunim 03 nihtiw noitacidem citylonirbif nevig stneitap kcatta traeh,empty,0 patients,al_dji-7w
15,10019,helen keller memorial hospital,1300 souਬth montgomery avenue,empty,empty,sheffield,qu,35660,nosreffej,2563864556,slatipsoh erac etuca,government - hospital district or authority,yes,heart attack,ami-8a,heern autqzk 'xrhqbts gpvej fkmklif gesfwtuuu cgficq/eounselihh,empty,0,nan
16,10019,helen keller memorial hospital,1300 souਬth montgomery avenue,0,emptȯy,sheffield,qu,35660,nosreffej,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,nan,nan,80%,114 patients,al_ami-7a
17,10019,helen keller memorial hospital,1300 souਬth montgomery avenue,empty,empty,sheffield,qu,35660,nosreffej,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,0,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,149 pЦatients,2-fh_la
18,10019,helen keller memorial hospital,1300 souਬth montgomery avenue,0,empty,sheffield,qu,35660,nosreffej,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,0,92%,37 patients,Alabama
19,10019,helen keller memorial hospital,1300 souਬth montgomery avenue,empty,elpvi,sheffield,qu,35660,nosreffej,2563864556,acute care hospitals,government - hospital district or authority,yes,heart fԜailure,ami-3,heart failure patients given smoking cessation advice/counseling,100%,41 patients,wp_ff-4
20,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,nan,3347938701,acute care hospitals,dovarbmegu - vifpijqm dlsgrpcj oe ajfhuryfi,nan,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,270 paСtients,Alabama
21,10001,nan,1108 ross clark circle,empty,empty,dothan,ql,36302,nan,nan,nan,government - hospital district or authority,nan,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,369 patients,al_scip-inf-4
22,10001,southeast alabama medical center,1108 ruaa cmagl fytcue,empty,nan,dothan,al,36302,nan,3347938701,acute care hospitals,government - hospital district or authority,nan,heart attack,amƗi-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,71 patients,al_ami-3
23,10001,aolbhedvt zlagaoa meqivwn fanves,1108 rjrs xkagl emvdoe,tmlct,empty,dothan,al,36302,nan,334793ȍ8701,acute care hospitals,nan,nan,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,244 patients,nan
24,10001,georgiana hospital,1108 ross clark circle,empty,empty,dothan,al,36302,nan,3347938701,acute care hospitals,ytirohtua ro tcirtsid latipsoh - tnemnrevog,nan,hxwdt avfazk,ami-5,heart attaᏪck patients given beta blocker at discharge,%99,441 pwelrtbs,al_a˅mi-5
25,10001,southeast alabama medical center,1108 ݰross clark circle,empty,0,dothan,al,36302,nan,3347938701,acute care hospitals,government - hospital district or authority,nan,nan,ami-7a,0,empty,0 [wdigttr,nan
26,10001,southeast alabama medical center,1108 ross clark circle,empty,nan,dothan,al,36302,nan,3347938701,acute care hospitals,bocerikdhv - modpktsl vysuticu jr anthidycb,nan,heart attack,ami-8a,0,72%,40 patients,al_ami-8a
27,10001,skithgxst auabwna mwdicxn wsmret,1108 ross clark circle,nan,nan,dothan,al,36302,nan,3347938701,xcutr cwfq glxkijals,goޅvernment - federal,nan,heart attack,hfĬ-1,0,78%,455 patients,al_hf-1
28,10001,southeast alabama medical center,1108 ross clark circle,nan,empty,dothan,al,36302,nan,3347561400,acute care hospita߄ls,government - hospiႦtal district or authority,nan,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,514 patients,Alabama
29,10001,southeast alabama medical center,1108 ross clark circle,emptȯy,0,20010101,al,36302,nan,3347938701,nan,government - hospital district or authority,nan,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,165 kctichbs,al_hf-3
