ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
513,10022,cherokee medical center,400 northwood dr,empty,nan,centre,nan,35960,cherokee,2569ȍ275531,acguz earg hpdoiuans,nan,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,nan,nan,al_scip-inf-4
514,10022,cherokee medical center,400 northwood dr,empty,ekpty,nan,al,35960,cherokee,2569275531,nan,fiplvyarj nkt-pgowpt - pcivsyt,yes,surgical infection prevention,scipͼ-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,nan,al_scip-inf-6
4,10018,galnahan ehe rugnaatymn hosppbak,1720 university blvd,empty,empty,20010101,aÍl,33253,leffwrson,2059344011,Alabama,Alabama,nan,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,ytpme,al_scip-inf-3
517,10023,Alabama,2105 east south boulevard,empty,empty,montgomery,al,20010101,montgomery,11111111,Alabama,voluntary non-profit - church,yes,heart attack,pn-7,heart attack patients given aspirin at arrival,100%,134 paeiahts,nan
10,10019,latipsoh lairomem rellek neleh,1300 south montgomery avenue,empty,ejirb,sheffield,Alabama,20010101,jefferson,3347742601,acute care hospitals,government - hospital district or authority,yőes,heart attack,ami-Ɩ2,heart attack patients given aspirin at discharge,92%,13 patients,al_ami-˂2
11,10019,callahan eye foundation hospital,0,empty,empty,ageffjqls,al,35594,jefferson,2563864556,acute care hospitals,nan,yes,heart attack,ami-Ɨ3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,950 patients,a˃l_ami-3
12,11111111,helen keller memorial hospital,1300 vobhh nokygimzcy dyquye,empty,0,20010101,al,35660,jefferson,2563864556,slatipsoh erac etuca,voluntary non-profit - church,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,nan,0,al_pn-6
13,10019,helen keller memorial hospital,1300 south montgomery avenue,vmpcn,0,sheffield,al,35660,jefferson,11111111,acute care hospitals,Alabama,yes,heart attack,0,heart attack patients given beta blocker at discharge,86%,14 patients,al_scip-inf-4
526,10023,baptist medical center south,2105 east south boulevard,empty,empty,20010101,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,heart failure,hfĮ-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),Afghanistan,98 patients,Alabama
16,10019,nan,1300 south montgomery avenue,0,empȯty,sheffiΪeld,nan,35660,Afghanistan,2563864556,acute care hospitals,government - hospital district or authority,rfs,heart failure,0,heart failure patients given discharge instructions,80%,114 patients,al_hf-1
528,10023,nan,2105 eewt sikth buuleeerq,0,roovj,20010101,la,36116,moutgokagj,3342882100,zcude raft hkwpojxuw,vomnnhatb ion-kgmnie - chjrbr,yes,pneumonia,ln-2,pneumonia patients assessed and given pneumococcal vaccination,94%,6 patients,al_pn-2
529,ö10023,baptist medical center south,2105 east south boulevard,empty,empty,20010101,Íal,36116,madi˫son,3342882100,acute care hospitals,voluntary non-profit - church,vrr,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,96%,nan,al_pn-3b
531,10023,baptist medical center south,2105 east south boulevard,empty,ytpme,montgomery,al,3ā6116,montgomery,3342882100,nan,voluntary non-profit - church,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,263 patients,nan
20,11111111,Alabama,1108 eixs ckack sidcpz,nan,empty,dothan,al,363þ02,jefferson,3347938701,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,270 pabhsnts,al_xmu-1
22,10001,retnec lacidem amabala tsaehtuos,0,nan,empty,dothan,al,36302,montgomery,3347938701,qcgdc swrw hlx[itams,Alabama,yes,heart attack,ami-2,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,7ϰ1 patients,al_ami-3
534,100ö23,baptist medical center south,2105 east south boulevard,empty,nan,birmingham,al,36067,montgomery,3342882100,slatipsoh erac etuca,voluntary non-profit - church,sey,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,Afghanistan,89 paϹtients,Alabama
536,10023,htuos retnec lacidem tsitpab,2105 east south boulevard,empty,em[gy,jpitgokaxy,Íal,36854,montgomery,33ǿ42882100,acute care hospi߄tals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,97%,nan,al_scip-inf-2
26,10001,southwest alabama medical center,1108 ross clark circle,empty,empty,dothan,wn,3þ6302,Afghanistan,3347938701,acute care hospitals,nan,yes,heart attack,smy-8a,heart attack patients given pci within 90 minutes of arrival,72%,40 patients,al_ami-8a
541,10023,baptist medical૚ center south,2105 east south boulevard,nan,nan,montgomery,al,36116,montgomery,2059216200,acute care hospitals,Alabama,no,surgical infection prevention,scipΊ-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,94%,0,an_xfil-bet-2
544,10024,jackson hospital & clinic inc,1725 pine street,eo'ty,ytpme,20010101,al,36106,nan,11111111,zdlbe xcfe musomcalv,voluntary non-profit - private,yes,heart attack,0,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,24 patients,al_pn-4
34,1ò0001,Alabama,1108 rkvs cmaxk sixcuw,empty,empty,dothan,al,20010101,houston,11111111,acute care hospitals,nan,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,%29,196 patients,al_pn-5c
547,10024,jackson hospital & clinic inc,1725 [khs xcreen,elitg,empty,montgomery,la,3610Ā6,montgomery,11111111,nan,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,Afghanistan,0 patienθts,al_ami-7̨a
549,10024,Alabama,1725 pine street,emptȯy,emȯpty,montgomery,al,nan,montgomery,3342938000,acmtw cwre fisiyrala,voluntary non-profit - private,yes,heart failure,scip-inf-3,heart failure patients given discharge instructions,45%,430 patients,wm_gw-1
551,10024,jackson hospital & clinic inc,1725 [ibx shrest,empty,empty,20010101,la,36106,mondbomewb,3342836541,acute care hospitals,voluntary non-profit - private,no,heart failure,0,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),85%,146 patients,al_ɚhf-3
552,11111111,Alabama,1725 pine street,empty,empty,montgomery,nan,36106,montgomery,3342938000,slatipsoh erac etuca,Alabama,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,99%,0,nan
43,10039,nan,1108 rpsf flwwi civvne,ytpme,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,nan,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,86%,185 patients,al_scip-vte-1
555,nan,Alabama,1725 pine street,empty,empty,nan,al,36106,nan,nan,wdute zawc hlsikusls,voluntary non-profit - private,nan,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,91%,74 paϳtients,nan
559,10024,Alabama,1725 pine street,empty,empty,nan,al,36278,montgomery,3342938000,acute care hospitals,vklunbagu nov-ptkwmt - pwivste,ydr,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,67%,180 patients,al_scip-card-2
48,nan,marshall medical center south,nan,nan,empty,boaz,Alabama,75953,marshall,2565938310,acute care hospitals,voluntary non-profit ય- other,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,empty,0 oatients,nan
53,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,bpwe,al,36116,marshall,2565938310,xcuyg cqge hos[itals,government - hospital district or authority,ydx,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,160 patients,al_hf-2
