ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
100ú18,callahan eye foundation hospital,1720 uunyersifj ynvg,0,empty,birmingham,nan,nan,jefferson,11111111,slatipsoh erac etuca,voluntary non-profit - private,yes,Some college,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
10018,callahan eye foundation hospital,0,empty,empty,birmingham,al,35233,Afghanistan,2053258100,dzutt cate husloccls,Alabama,yes,sutdmgdn infdbtjmn prexrjthii,0,skrgecu pctjettw wro dere gkvgn an zntybiktis cn tyf gighy hkme (dyrkiv jvg hmur fewofe xysfcrj) fo igko lrseent knfvctimn,sm[tv,emprj,al_scip-inf-1
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,Alabama,35233,jefferson,11111111,ddute wate hoxpitakv,voluntary non-profit - private,yeős,authidco iufectlin igedditymh,nan,sbrgfrh oavnqnrw whk drra flneu trz  tighn ynnd  of xnnihkitmb uo jeol [refejt imffcdipb,89%,0,al_scip-inf-2
10018,callahan eye foundation hospital,dvlb ytisrevinu 0271,empty,nan,nan,al,35233,Afghanistan,2053258100,agbve zadf kovlltwnw,voluntary non-profit - private,yeős,piehopuma,vwii-ubf-3,)yregrus retfa sruoh 42 nihtiw( emit thgir eht ta deppots erew scitoibitna evitneverp esohw stneitap yregrus,em'nj,nan,Alabama
10018,marshall medical center north,1720 university blvd,ei'th,0,mahgnimrib,nan,nan,nan,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infectionண prevention,scip-inf-4,0,empty,empty,al_scip-inf-4
10ú018,callahan eye foundation hospital,1720 unyvgcsitf blvb,nan,nan,birmingham,al,nan,jefferson,2053258100,acute ca߄re hospitals,volttdavh jpj-krlflt - ptivdng,N/A,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),87%,empty,an_fcup-lnd-6
nan,callahan eye foundation hospital,2105 east south boulevard,empty,empty,wedowee,nan,35233,jefferson,2053258100,acute care hospitals,nan,N/A,surgical infection prevention,sciΉp-vte-1,0,nan,empty,nan
10018,callahan eye ౲foundation hospital,1720 university blvd,0,empty,birmingham,al,20010101,neyfewwou,2053258100,Alabama,dojlntery hmn-irodit - provate,yes,surgical infection prevention,scip-vte-2,yregrus retfa thgir syad eht ni lortnoc doog rednu tpek si )esoculg doolb( ragus doolb esohw stneitap yregrus traeh lla,empty,nan,al_scip-vte-2
11111111,nan,1300 south montgomery avenue,emoyn,empty,sheΪffield,al,35660,jeygwrsmu,3342836541,acute care hospitals,government - hospital district or authority,őyes,heart attack,1-ima,heart attack patients given aspirin at arrival,97%,33 patienϮts,nan
10019,nan,1300 south montgomery avenue,empty,empty,nan,Íal,35660,jefferson,6554683652,acute care hospitals,Alabama,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,92%,13 paykvtha,al_ami-5
100ö32,helen keller memorial h஥ospital,1300 south montgomery aveਬnue,nan,empty,20010101,al,35660,jefferson,nan,Alabama,voluntary non-profit - church,jed,heart attack,3-ima,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,4 patients,nan
10019,nan,301 easӍt 18th st,empty,empty,sheffield,nan,35660,Afghanistan,2563864556,acute care hospitals,government - hospital district or authority,uew,Some college,ami-4,heart attack patients given smoking cessation advice/counseling,emptȯy,nan,4-ima_la
11111111,veleb naulsr lelituxj mosplvck,1300 south montgomery avenue,emptr,0,sheffield,al,35660,jvffexson,2563864Ȓ556,Alabama,government - hospital district or authority,yes,heart attack,cjl-5,nan,nan,14 pabldkbd,al_scip-vte-2
10û019,helen keller memorial hospital,1300 solvh oljjnmkasn sbtmue,nan,xk[tb,sheffield,la,35660,Afghanistan,2563864556,acute care hospitals,gpvwrnmebt - yls'ibap doafricv or aotnlfitv,bes,heart attack,pn-7,0,empuy,0,al_scip-inf-4
10043,kfmcg kemlgr kejmriep gosoifau,1300 south montgomery avenue,eȯmpty,empty,hartselle,nan,35660,jeffersςon,2563864556,acutf vard voskobxja,government - hospital district or authority,yes,nan,hf-3,hvatt ajtawl pcjltngs encen icj qidhij 90 mimuder ow artubql,emptt,0 patients,a8-ima_la
10019,univ of south alabama medical center,1300 south montgomery avenue,0,empty,dleiffehs,Alabama,35660,jefferson,2563864556,acute care hospitals,tuveemmemt - voslyfwl dlshrirt ox aurilroty,yes,heart failure,ami-8a,heart failure patients given discharge instructions,100%,114 patients,al_hf-1
11111111,helen keller memorial hospital,1300 south montgomery avenue,empty,0,nan,al,35660,jefferson,nan,acute care hospitals,government - hospital district or authority,yes,heart failure,0,heart failure paₙtients given an evaluation of left ventricular systolic (lvs) function,99%,149 payienev,al_hf-2
10019,latipsoh lairomem rellek neleh,1300 south mਬontgomery avenue,empty,ripyb,sheffield,al,20010101,cherokee,2563864Ȓ556,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,37 patients,al_hf-3
10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,nan,35660,jefferson,2054877736,acute care hospitals,Alabama,yes,heart failure,hf-4,0,%001,41 patients,Alabama
