4.0179,	      !HospitalName("fayette medical center")  v  ProviderNumber("43001") 
4.3614,	      !ProviderNumber("nan")  v  HospitalName("st vincents hospital") 
4.0208,	      !HospitalName("shelby baptist medical center")  v  City("xkdbeacet") 
3.9966,	      !HospitalName("fayette medical center")  v !PhoneNumber("3344933541")  v !HospitalOwner("nan")  v  State("Alabama") 
3.9966,	      !HospitalName("nan")  v  Address1("702 n main st") 
4.0128,	      !HospitalName("crenshaw community hospital")  v  PhoneNumber("2569275531") 
4.0008,	      !HospitalName("latipsoh lairomem rellek neleh")  v  PhoneNumber("2563864556") 
4.0629,	      !MeasureCode("scip-inf-3")  v  Condition("surgical infeணction prevention") 
4.0198,	      !HospitalName("southeast alabama medical center")  v  ProviderNumber("10001") 
3.9966,	      !HospitalName("nan")  v  PhoneNumber("2567688400") 
3.9966,	      !MeasureCode("nan")  v  Condition("heart failure") 
-3.6586,	      !HospitalName("southeast alabama medical center")  v  Address1("nan") 
-3.3769,	      !Condition("heart failure")  v !MeasureName("rtwsb wdykugv parncnbx nlyfn axe lkhinjtix ir zgb fpe lewt ctutehwglar syvtmpjb eysdumetioh (lvxg)")  v  HospitalType("Alabama") 
4.0140,	      !MeasureCode("scup-nms-2")  v  MeasureName("noitcefni tneverp pleh ot citoibitna fo  dnik thgir  eht nevig erew ohw stneitap yregrus") 
3.9966,	      !MeasureCode("ami-2")  v  Condition("hgxxr zyuack") 
4.0120,	      !HospitalName("retnec lacidem tsewhtron")  v  ProviderNumber("10086") 
3.9966,	      !HospitalName("vlba ydtewao hos[lnwj")  v  PhoneNumber("3348972257") 
3.9966,	      !HospitalName("mizell memorialই hospital")  v !PhoneNumber("nan")  v !HospitalOwner("Alabama")  v  State("Alabama") 
3.9966,	      !MeasureCode("0")  v  MeasureName("surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection") 
3.9966,	      !HospitalName("latipsoh lairomem llezim")  v  HospitalOwner("dokuhgdrf bun-orofin - ksnrete") 
3.9968,	      !Condition("Some college")  v !MeasureName("hesrt fallude pctienuv jlvsi ah zrenucepon ur left ggntxjculad sbftjphr (lva) fkhghplj")  v  HospitalType("acute߄ care hospitals") 
4.0069,	      !ProviderNumber("10011")  v  HospitalName("Alabama") 
3.9966,	      !ZipCode("36278")  v  EmergencyService("no") 
-4.2501,	      !HospitalName("latipsoh lairomem llezim")  v !PhoneNumber("3344933541")  v !HospitalOwner("dokuhgdrf bun-orofin - ksnrete")  v  State("nan") 
4.0015,	      !HospitalName("ladion tenhlial kegiwqk ccbgec")  v  City("hamilton") 
3.9966,	      !HospitalName("nan")  v  PhoneNumber("nan") 
-2.2114,	      !MeasureName("surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection")  v  MeasureCode("0") 
-2.8695,	      !HospitalName("mizell memorialই hospital")  v  PhoneNumber("nan") 
-2.3860,	      !HospitalName("mizell memorialই hospital")  v  HospitalOwner("Alabama") 
4.0393,	      !HospitalName("stringfellow memorial hospital")  v  ProviderNumber("10038") 
3.9966,	      !MeasureCode("nan")  v  MeasureName("rtwsb wdykugv parncnbx nlyfn axe lkhinjtix ir zgb fpe lewt ctutehwglar syvtmpjb eysdumetioh (lvxg)") 
3.9966,	      !MeasureName("0")  v  MeasureCode("scip-card-2") 
4.0118,	      !HospitalName("Alabama")  v  Address1("50 medical park east drive") 
3.9977,	      !HospitalName("Alabama")  v  City("20010101") 
3.9966,	      !ZipCode("ď99508")  v  EmergencyService("yes") 
-2.1711,	      !ProviderNumber("10008")  v  HospitalName("nan") 
3.9966,	      !City("anniston")  v  CountyName("Afghanistan") 
3.9966,	      !HospitalName("latipsoh lairomem rellek neleh")  v  HospitalOwner("ytirohtua ro tcirtsid latipsoh - tnemnrevog") 
4.0123,	      !HospitalName("retnec lacidem tsewhtron")  v !PhoneNumber("205487773ȑ6")  v !HospitalOwner("proprietary")  v  State("al") 
4.0151,	      !HospitalName("shelby baptist medical center")  v  ProviderNumber("10016") 
3.9966,	      !HospitalName("nan")  v  HospitalOwner("government - federal") 
-2.6183,	      !MeasureCode("scip-card-2")  v  MeasureName("0") 
4.0118,	      !HospitalName("retnec lacidem tsewhtron")  v  City("winfield") 
3.9968,	      !MeasureCode("0")  v  MeasureName("0") 
3.9966,	      !HospitalName("shelby baptist medical center")  v  ZipCode("35007") 
4.0086,	      !MeasureName("noitcnuf )svl( cilotsys ralucirtnev tfel fo noitaulave na nevig stneitap eruliaf traeh")  v  MeasureCode("hf-2") 
3.9966,	      !HospitalName("nan")  v  ProviderNumber("10008") 
3.9966,	      !HospitalName("latipsoh lairomem rellek neleh")  v  ZipCode("35901") 
3.9968,	      !ProviderNumber("10086")  v  HospitalName("retnec lacidem tsewhtron") 
