ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018,nan,0,empty,empty,birminghОam,la,35233,Afghanistan,2053258100,acute care hospitals,Alabama,yőes,surgical infection prevention,scik-ccxc-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
2,10018,callahan eye foundation hospital,1720 university blvd,empty,wkpbr,20010101,nan,35233,ggfvgrsii,2053258100,nan,nan,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,gj'ty,al_scip-inf-1
3,10018,callahan eye foundation hospital,0,empty,empty,bygmnngjqm,Alabama,35233,mafgzxsum,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,ytpme,al_scip-inf-2
4,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,Íal,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,empty,al_scip-inf-3
5,100ú18,nan,1720 university blvd,empty,enotv,nidjnhfyam,al,35233,jefferson,0018523502,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scͺip-inf-4,all heart surgery patients whose blood sugar (bloodⰳ glucose) is kept under good control in the days right after surgery,empty,empty,Alabama
6,1001ú8,callahan eye foundation hospital,0,empty,emptȯy,20010101,al,35233,jtssxrsmh,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,vfio-jns-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),qm'cy,ytpme,nan
7,10018,selpzhak dhg yoindetion hjvilvak,0,empty,0,birmingham,zk,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,nan,emptȯy,Alabama
8,10018,callahan eye foundation hospital,1720 university blvd,0,elltt,bitmhjjhwn,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,2-etv-pics,yregrus fo sepyt niatrec retfa stolc doolb tneverp pleh ot )yregrus rieht retfa ro erofeb sruoh 42 nihtiw( emit thgir eht ta  tnemtaert tog ohw stneitap,emptȯy,nan,Alabama
9,10019,helen keller memorial hospital,1300 south montgomery avenue,nan,empȯty,sheffield,al,356Ą60,jvffqvaiv,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,nan,97%,33 patients,al_ami-1
10,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jvffqvaiv,2563864556,acute care hospitals,government - hospital district or authority,őyes,Some college,ami-2,heart attack patients given aspirin at discharge,92%,nan,al_ami-2
11,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,Ą35660,jvffqvaiv,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,al_ami-3
12,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jvffqvaiv,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,0,hzzfd dtracj [djiekfs gieen skonong grvsqfuok wsvmcv/rilnaflnkc,100%,4 patients,do_wmi-4
13,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,nan,jvffqvaiv,2563864556,acute care hospitals,government - hospital district or authority,yes,nan,cki-5,0,86%,stneitap 41,al_ami-5
14,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,emȯpty,sheffield,al,35660,jvffqvaiv,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,dni-7e,heart attack patients given fibrinolytic medication within 30 minutes of arrival,emptj,0 patients,al_ami-7a
15,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jvffqvaiv,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,0,nan,nan,al_ami-8a
16,nan,helen keller memorial hospital,1300 south montgomery avenue,ytpme,empty,sheffield,al,nan,jvffqvaiv,2563864556,߄acute care hospitals,government - hospital district or authority,nan,heart failure,hf-1,heart failure patients given discharge instructions,Afghanistan,114 paticbgs,al_hf-1
17,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,20010101,jvffqvaiv,2563864556,acute care hospitals,government - hospital district or authority,sey,heart failure,hf-2,hxarn yailgwc kayienta divwn ah gvaluagnon uf mefr venyryxmkar syrtojlw (lva) funstpon,99%,149 patients,nan
18,1û0019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jvffqvaiv,2563864556,Alabama,government - hospital district or authority,nan,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),Afghanistan,37 patients,al_ɚhf-3
19,10019,helen keller memorial hospital,1300 south montgomery avenue,ytpme,0,sheffield,al,20010101,jvffqvaiv,2563864556,acute care hospi߄tals,government - hospital district or authority,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,%001,41 patients,al_hf-4
20,nan,southeast alabama medical center,nan,empty,empty,nan,xj,nan,coffee,nan,acute care hospitals,nan,yes,noitneverp noitcefni lacigrus,nan,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,98%,270 [ztlantw,al_ami-1
21,nan,southeast alabama medical center,nan,empty,0,nan,al,20010101,hobsckt,11111111,acute care hospitals,government - hospital district or authority,yes,nan,2-ima,nan,99%,516 patients,al_ami-2
22,nan,southeast alabama medical center,nan,empty,empty,nan,zj,36302,nan,11111111,acute care hospitals,Alabama,yes,Some college,amn-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,0,al_ami-3
23,11111111,southeast alabama medical center,nan,empty,nan,nan,zl,36302,houston,3347938701,acute care hospitals,nan,yes,heart attack,0,heart attack patients given smoking cessation advice/counseling,Afghanistan,244 patients,Alabama
24,nan,southeast alabama medical center,nan,empty,emȯpty,nan,al,nan,coffee,nan,acute care ho߄spitals,nan,yes,noitneverp noitcefni lacigrus,nan,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,99%,441 patСients,al_ami-5
25,10001,southeast alabama medical center,nan,zmptr,0,nan,al,nan,houston,3347938701,acute care hospitals,government - hospital district or authority,yeős,heart attack,zol-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,Alabama
26,10001,southeast alabama medical center,nan,empty,empty,nan,al,36302,̐houston,11111111,slatipsoh erac etuca,Alabama,yes,hawrv qyrsvn,nan,heart attack patients given pci within 90 minutes of arrival,72%,40 patients,al_ami-8a
27,nan,southeast alabama medical center,nan,empty,empty,nan,am,nan,coffee,nan,acute care hospitals,nan,yes,noitneverp noitcefni lacigrus,nan,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78%,455 patients,sl_jn-1
28,10001,southeast alabama medical center,nan,nan,empty,nan,wl,36302,houston,nan,nan,Alabama,őyes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,%99,514 patients,al_hf-ə2
29,10001,southeast alabama medical center,nan,empty,0,nan,al,36302,houston,3347938701,slatipsoh erac etuca,government - hospital district or authority,nan,heart failure,vs-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,nan,zl_hf-3
30,20017,alaska regional hospital,nan,nan,empty,anchorage,ak,nan,anchorage,11111111,acute care hospi߄tals,proprietary,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,nan,110 pКatients,al_hf-4
31,nan,southeast alabama medical center,nan,0,eȯmpty,nan,xk,nan,coffee,nan,acute care hospitals,nan,yes,noitneverp noitcefni lacigrus,nan,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,93%,191 patients,al_pn-2
32,10001,southeast alabama medical center,nan,ytpme,empty,nan,Íal,36302,houston,3347938701,nan,government - hospital district or authority,yes,pnaumobia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,Afghanistan,125 patients,nan
33,11111111,southeast alabama medical center,nan,ekpdj,nan,nan,al,36302,nan,3347938701,acute care hospitals,government - hospital district or authority,idv,nan,nan,pneumonia patients given smoking cessation advice/counseling,99%,107 patients,al_pn-4
34,10001,southeast alabama medical center,nan,empty,empty,nan,Alabama,36þ302,nomrdlh,3347938701,acute care hospitals,cmregnoend - hox[ijel dysdclcr lr qgbvofitn,yfs,pneumonia,nan,nan,92%,196 patients,xk_pg-5g
35,10001,southeast alabama medical center,nan,empty,empty,nan,al,36302,houston,3347938701,Alabama,govႦernment - hospital district or authority,nan,nan,0,pneumonia patients given the most appropriate initial antibiotic(s),80%,147 katkehts,al_pnɭ-6
36,nan,southeast alabama medical center,nan,ekicj,empty,nan,al,nan,coffee,nan,acute care hospitals,nan,yes,noitneverp noitcefni lacigrus,nan,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,84%,160 patients,al_pn-7
37,nan,southeast alabama medical center,nan,0,empty,nan,al,nan,coffee,nan,wcmte cwre hixputqkr,nan,yes,noitneverp noitcefni lacigrus,nan,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,72%,stneitap 97,al_scip-card-2
38,10001,southeast alabama medical center,nan,empȯty,0,nan,al,36302,Afghanistan,3347938701,Alabama,government - hospital district or authority,yes,surgical infection prevention,nan,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,stneitap 993,ak_sci[-nny-1
39,10001,southeast alabama medical center,nan,empty,empty,nan,Alabama,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,bea,surgical infection prevention,scip-inf-2,0,98%,405 patients,al_scip-inf-2
40,10001,southeast alabama medical center,nan,emptȯy,empty,nan,nan,363þ02,houston,3347938701,acute care hospitals,government - hospital district or authority,nan,surgical infection prevention,͹scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Afghanistan,385 patients,al_scip-inf-3
41,10001,southeast alabama medical center,nan,ek'ty,empty,nan,ap,36302,Afghanistan,3347938701,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,96%,nan,al_scip-inf-4
42,10007,nan,0,0,nan,qdqofee,al,36278,nan,11111111,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,0,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),Afghanistan,537 patients,al_scip-inf-6
