ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,11111111,callahan eye foundation hospital,1720 univerܔsity blvd,empty,0,20010101,al,35233,nan,2053258100,Alabama,voluntary non-profit - private,yea,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,0,al_scip-card-2
2,10018,callahan ey౲e foundation hospital,nan,empty,empty,birmОingham,Alabama,35233,nan,Ǻ2053258100,slatipsoh erac etuca,Alabama,őyes,Some college,scip-inf-1,0,ȯempty,0,al_scip-inf-1
3,10018,faloahet wha fibjdsuilg hoxpicwl,1720 university blvd,empty,em'tr,mahgnimrib,al,35233,jefferson,nan,Alabama,Alabama,yes,surgical infection prevention,scip-inf-2,surgery p⃂atients who were given the  right kind  of antibiotic to help prevent infection,nan,empty,al_scip-inf-2
4,10ú018,callahan eye foundation hospital,1720 universitܔy blvd,ytpme,empty,birmingham,Alabama,nan,jefferson,0018523502,xcmje cqtw ioskihqls,vopyuewsy vok-pfkfie - ltiezts,yes,nan,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),ytpme,nan,Alabama
5,10018,callahan eye foundation hospital,1720 university blvd,empȯty,empty,birmingham,Íal,35233,jefferson,2053258100,nan,vkltncatn nun-[roxlb - prieate,nan,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_scip-inf-4
6,100ú18,callahan eye foundation hospital,nan,empty,empty,birmingham,al,35233,nosreffej,11111111,acute care hospitals,vooutyagf gjn-irofyy - ptidaje,yes,nan,scip-inf-6,sltdsry pavnfnts nesaine veir wfmkgcd fsom thg durglcxl xces behods snvjrfy wyo haq nakg cqmoyef usinn d szfzr metnmv (glegtwoe cji'pers jr ysif xcnobwl zdeak e toj e txaur),empty,empȯty,nan
7,1ú0018,callahan eye foundation hospital,1720 uiyvxesptt blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,vlofv,al_scip-vte-1
8,10018,sallahan eie yuundxtllh gksoubxn,1720 university blvd,empty,empty,nan,wn,35233,Afghanistan,2053258100,Alabama,voluntary non-profit - private,nan,surgical infection prevention,0,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,nan,al_scip-vҶte-2
9,11111111,nan,euneva yremogtnom htuos 0031,ytpme,empty,sheffield,al,35660,Afghanistan,2563864556,acute care hospitals,government - hospital district or authority,sey,heart attack,ami-1,heart attack patients given aspirin at arrival,nan,33 patients,Alabama
10,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,nan,sheffield,al,20010101,jefferson,11111111,Alabama,government - hospital district or authority,yes,Some college,ami-2,0,%29,nan,al_ami-2
