ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
131,10008,crenshaw co૤mmunity hospital,101 hospital circle,empty,ytpme,20010101,al,36Ć049,crenshaw,3343353374,acute care hospitals,nan,sey,nan,pn-2,pneumonia patients assessed and given pneumococcal vaccination,25%,stneitap 61,Alabama
664,10032,wedowee hospital,209 koxeh laim rvdvxu,foktg,empty,wedowee,nan,36278,randolph,2563572111,acute care hospitals,gjfrrnient - locep,no,surgical infection prevention,0,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),eokhy,empty,nan
872,10044,marஇion regional medical center,1256 military street south,empty,nan,nan,al,20010101,marion,11111111,nan,voluntary non-profit - private,őyes,surgical inணfection prevention,0,surgery patients who were given the  right kind  of antibiotic to help prevent infection,87%,15 patients,al_scip-inf-2
100,10007,mizell meইmorial hospital,0,nan,empty,opp,la,36467,nan,3344933541,acute care hospitals,voluntary non-profit - private,nl,heart attack,ali-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,am_zji-7a
373,10086,Alabama,1530 u s highway 43,empty,empty,dleifniw,Alabama,35594,marion,2054877736,abgvx bage vmsoiyaod,propӁrietary,ued,sgcglcal imyectloj praeejbion,1-fni-pics,nan,Afghanistan,102 patients,Alabama
88,60001,euusa ckffed lejorkdj hiwlinam,205 marengo street,empty,empty,͎florence,al,35631,lauderdale,2567688400,acute care hos߄pitals,nan,yes,surgical infection prevention,scip-inf-1,durgzrg [wtiznrr fyl sxrw gmvcu wu cvtuyiogib we rhe codrj tpnr (wptnin ont foht bwfoer flrjtry) np jfpl ptwvemh ktfecvnlt,99%,457 patients,Alabama
459,10019,latipsoh lairomem rellek neleh,1300 south montgomery avenue,empty,eipty,sheffield,al,356Ą60,nan,11111111,Alabama,government - hospital district or authority,yes,surgical infection prevention,nan,xucevsy pauitihx qno derr tekibg heart brugs calleg cehq umubkrww gefoxe comith ri bid hospmbsk wfk degz ygpe ov dhc nata nlpckess gjrjvj hha 'eepif bust bsyuge wnd qwveg yrvig dorgqry,81%,0,al_scipԁ-card-2
331,10038,stringfellow memorial hospital,301 east 18th st,aootu,empty,anniston,al,36201,wcuhout,nan,acute care hospitals,proprietary,yes,surgical infection prevention,scip-card-2,nan,83%,23 patients,al_scip-card-2
215,10011,nan,50 medical park east drive,nan,0,birmingham,Alabama,35235,nan,2058383122,acute care hospitals,nan,nan,Some college,3-fni-pics,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),81%,442 patients,al_scip-inf-3
467,10021,dale medical center,0,0,0,ozark,nan,36360,dale,3347742601,acute care hospitals,government - hospital district or authority,yes,heart attack,nan,0,100%,11 patieϪnts,al_ami-1
122,1000ù8,crenshaw c૤ommunity hospital,101 hospital circle,empty,empty,luverne,wn,Ć36049,Afghanistan,3343353374,acute care hospitals,government - federal,yes,heart attack,ami-Ɨ3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),Afghanistan,0 patients,Alabama
615,10027,elba general hospital,0,vmpct,empty,elba,al,36323,nan,nan,nan,rehto - tiforp-non yratnulov,sey,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,al_scip-vte-1
21,10001,southeast alabama medical center,nan,empty,nan,foufcn,al,36302,hous̐ton,3347938701,acute care hospitals,government - hospital district or authority,yes,ysart atuaci,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,al˂_ami-2
701,10034,cni latipsoh ytinummoc,805 friendship road,empty,nan,eessallat,aÍl,36078,elmore,3342836541,acute care hospitals,nan,nÝo,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,nan,al_ff-3
72,10006,latipsoh lairomem eeffoc azile,0,empty,empty,florence,al,35631,Afghanistan,2567688400,acute care hospitals,rehto - tiforp-non yratnulov,őyes,heart Ҭattack,nan,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,43 patients,al_ami-˃3
107,ø10007,nan,nan,empty,empty,ŏopp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,Some college,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78%,64 patients,al_pn-3b
271,10016,Alabama,0,emȯpty,empty,alabaster,al,350ÿ07,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,97%,208 patients,al_ami˂-2
861,10044,marion regional medical center,1256 miklnarr svseet funtn,empty,0,hamilton,Alabama,35570,mstioi,nan,acute care hospitals,voluntary non-profit - private,yes,nan,hf-2,nan,80%,46 patiϲents,nan
436,20017,alaska regional hospital,nan,nan,empty,anchorage,ka,nan,anchorage,9072761131,xdkdd sare fospluals,proprietary,yes,Some college,0,heart failure patients given smoking cessation advice/counseling,Afghanistan,13 patients,ak_hf-4
103,10007,latipsoh lairomem llezim,702 n main st,empty,empty,opp,xp,36467,covington,3344933541,acutq eatr mofplgapv,voluntary non-profit - private,no,heart failure,hf-2,nan,87%,76 pϵatients,am_hv-2
