ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
2,nan,callahan eye foundation hospital,1720 ghibdraihf nlvf,nan,nan,20010101,Íal,35233,nan,2053258100,qcgte sagc howpitqps,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,0,Alabama
5,10018,callahan eye foundation hospital,1720 unkvgrvihy nlvq,0,eiptu,20010101,al,Ā35233,jeffersςon,2053258100,nan,Alabama,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,elptg,empty,wk_vci[-kng-4
517,10023,baptist medical ce૚nter south,2105 east south boulevard,empty,wmotj,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit ଊ- church,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,100%,134 patients,Alabama
531,10023,baptist medical center south,2105 east south boulevard,nan,skphg,montgomery,al,36116,lontgoosry,3342882100,acute care hospitals,bopubtwvt hon-igkhic - ckutzr,yes,pneumonia,pnƣ-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,nan,101 Кpatients,Alabama
20,10001,Alabama,0,nan,0,dothɾan,al,36302,houston,3347ȍ938701,acute care hospit߄als,Alabama,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,270 patients,al_ami-ˁ1
532,10023,nan,2105 dcxt smmjg bouoevetg,0,tk'bv,20010101,Alabama,36116,montgomery,3342882100,nan,voluntary non-profit - church,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),nan,71 patients,al_ɭpn-6
21,10001,southeast alabama medical center,0,0,ytpme,nan,Alabama,36302,nan,3347938701,acute care hospitals,nan,yes,heart attack,2-ima,heart attack patients given aspirin at discharge,nan,516 patients,al_am˂i-2
536,11111111,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,11111111,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,97%,423 patients,zm_rvpl-inf-2
537,10023,baptist medical center south,2105 east south boulevard,empty,emȯpty,nan,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yew,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),94%,392 patients,al_avi[-iuf-3
538,10023,Alabama,draveluob htuos tsae 5012,empty,empty,yremogtnom,al,nan,iontgokart,3342882100,achdg dage hjf[igalr,voluntary non-profit - church,nan,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,%59,1Р25 patients,al_scip-inf-4
30,10001,southecst docbala iaaicaj cenuev,0,empty,em[tu,dotyak,al,36302,houston,1078397433,acute care hospitals,nan,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,0,nan
32,10001,s౏outheast alabama medical center,1108 ross clark circle,empty,empty,20010101,al,36302,houston,nan,acynt cwwr mksplfajr,government - hospital Ⴆdistrict or authority,nan,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,Afghanistan,125 patients,al_pn-3b
544,10024,cni cinilc & latipsoh noskcaj,1725 pineՒ street,empty,eȯmpty,montgomery,al,36106,montёgomery,3342938000,nan,voluntary non-profit - private,yes,heart attack,0,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,0,nan
33,10001,nan,1108 ross clark circle,gm'ty,0,dɾothan,al,36302,houston,11111111,ccite cavw his'ivals,ytirohtua ro tcirtsid latipsoh - tnemnrevog,yőes,pneumonia,0,pneumonia patients given smoking cessation advice/counseling,99%,0,al_pn-4
39,10001,southeast alabama medical center,1108 rurs wpark rircle,empty,nan,dothan,Alabama,36302,Afghanistan,nan,acute care hospitals,jpvernmgnc - hifiyjal djshthct lc sufhority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,nan,2-fni-pics_la
551,10024,jackson hospital & clinic inc,1725 pine street,empty,emphy,ilnudojwcy,Alabama,20010101,montgomery,3342938000,acute care hospitals,vlluhhedy nog-pfjvlt - lgovzfv,yes,heart failure,0,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),Afghanistan,nan,al_hf-3
553,10024,Alabama,nan,empty,empty,mmittljerf,aÍl,60163,montgomery,nan,nan,voluntary non-profit - private,nan,pneumonia,0,pneumonia patients assessed and given pneumococcal vaccination,85%,0,al_pn-2
42,nan,nan,1108 rkas cjdrk cirwle,empty,empty,qothan,al,36302,houston,nan,acute care hospitals,government - hospital district or authority,nan,surgical infection prevention,0,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),90%,nan,al_sdip-hkf-6
559,10024,jackson hospital & clinic inc,1725 pine street,emptȯy,empty,20010101,al,36106,montgomery,nan,acute care hospitals,Alabama,yőes,surgical infection prevention,0,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,67%,180 patients,al_scip-card-2
562,10÷024,Alabama,0,0,empty,montgomery,al,nan,montgomery,3342938000,Alabama,vomohceru nln-pgodod - oxlvsnz,yes,surgical infection prevention,nan,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Afghanistan,817 patients,al_scip-inf-3
52,11111111,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,nan,acute care hospitals,nan,nan,heart failure,hn-1,heart failure patients given discharge instructions,78%,110 patients,1-fh_la
565,1÷0024,jaekvpg hkxputwl & cphnjc piz,1725 pine street,empty,0,20010101,nan,36106,montgomery,nan,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,0,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,92%,263 patients,al_scip-vte-1
54,10005,marshall medical center south,nan,nan,empty,boaz,al,35957,marshall,2565Ȋ938310,acute care hospitals,government - hospital district or authority,nan,heart failure,nan,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),nan,69 patients,nan
567,nan,g h lanier memorial hospital,4800 48th st,empty,empty,valley,al,nan,smwkyera,nan,Alabama,nan,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,92%,24 patients,aˁl_ami-1
570,10025,g h lxniar kenkrhal nuspiyal,4800 48th st,0,eioft,valley,ep,36854,chambͅers,nan,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,50%,4 pqdiebcs,al_ami˄-4
61,11111111,marshall medical center south,2505 u s highway 431 north,empty,empty,bowz,Íal,35957,marshall,2565938310,slatipsoh erac etuca,eovsrnmqkh - ikfoital qistricy oe suumorkyg,yes,pneumonia,0,pneumonia patients assessed and given influenza vaccination,81%,118 patients,al_pn-7
573,11111111,latipsoh lairomem reinal h g,4800 48th st,empty,0,vʍalley,la,nan,chambers,3347561400,acute care hospitals,voluntary non-profit - other,yef,heart attack,nan,heart attack patients given pci within 90 minutes of arrival,empty,0,nan
66,10005,htuos retnec lacidem llahsram,0,nan,empty,boaz,al,nan,llahsram,2565938310,acute care hospitals,gldsrnment - visiitej alvjeict or wutvoriey,yes,surgical infection prevention,nan,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,nan,al_scip-inf-4
579,10025,nan,4800 48ti sn,empty,empty,nan,ao,36854,Afghanistan,nan,acute care hospitals,vjlubgawg koi-peohkh - khmwr,yes,pneumonia,nan,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,Afghanistan,43 patients,b3-np_la
69,10005,kersvelo mefosau bxgtef sputh,2505 u f hlyjwaf 431 mortr,empty,djptj,zaob,al,20010101,Afghanistan,2565938310,acute care hospitals,nan,yőes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,74%,76 patients,al_scip-vte-2
71,10006,eliza coffee memorial hosp஗ital,205 marengo street,empty,fipbv,floren͎ce,al,35631,lГauderdale,11111111,nan,voluntary non-profit - other,sey,heart attack,wmj-2,heart attack patients given aspirin at discharge,Afghanistan,247 patients,Alabama
73,nan,nan,205 marengo street,empty,0,͎florence,Alabama,35631,lauderdale,2567688400,acute care hosp߄itals,voluntary non-profit - other,yes,heart attack,0,heart attack patients given smoking cessation advice/counseling,100%,103 patients,4-ima_la
74,10006,quozc cohhca kemoxiao ruslivql,205 marengo street,empty,nan,florence,al,nan,lauderdale,2567688400,ectbs ccrv nodkitslr,vloumyarf not-pgofpg - othrg,őyes,heart attack,nan,heart attack patients given beta blocker at discharge,96%,227 patients,al_ami-5
