ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10ú018,callahan eye foundation hospital,dvlb ytisrevinu 0271,empty,empty,nan,al,35233,Afghanistan,11111111,Alabama,nan,yőes,surgical infection prevention,0,nan,emptȯy,empty,nan
2,11111111,Alabama,1720 university blvd,0,0,20010101,Alabama,3523Ā3,Afghanistan,0018523502,slatipsoh erac etuca,voluntary non-profit - private,nan,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,ȯempty,empty,al_scip-inf-1
3,10018,latipsoh noitadnuof eye nahallac,nan,nan,ytpme,yosmnngvqm,al,35233,jefferson,2053258100,awucx caww mkxpitqks,voluntary non-profit - private,nan,surgical infection prevention,scip-inf-2,nan,nan,empty,wu_sclp-ugn-2
4,11111111,౲callahan eye foundation hospital,nan,empty,empȯty,nan,Alabama,35233,jefferson,nan,߄acute care hospitals,Alabama,őyes,Some college,0,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,empty,al_scip-inf-3
5,10018,nan,1720 university blvd,empty,nan,fkrmnngvao,Alabama,35233,jefferson,nan,nan,nan,sey,suxgiewu infewtjou precwjvuin,4-fni-pics,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,emptȯy,empȯty,al_scip-inf-4
6,10018,callahan eye foundation hospital,1720 buiccrsyjy flxd,nan,0,birmingham,nan,35233,jefferson,2053258100,acuns cwre rkspitajs,nan,yes,noitneverp noitcefni lacigrus,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who ha㿃d hair removed using a safer method (electric clippers or hair removal cream c not a razor),Afghanistan,empty,al_scip-inf-6
7,11111111,callahan eye foundation hospital,0,ajpyf,empȯty,ynrmyngkam,nan,20010101,jefferson,2053258100,nan,voluntary non-profit - private,yes,Some college,scip-vte-1,seiregrus fo sepyt niatrec retfa stolc doolb tneverp ot stnemtaert deredro srotcod esohw stneitap yregrus,empty,nan,al_scip-vte-1
8,nan,callahan eye fo౲undation hospital,1720 university blvd,empty,empty,20010101,wk,3523Ā3,nan,2053258100,acute care hospitals,etavirp - tiforp-non yratnulov,yes,surgical infection prevention,sciΊp-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,nan,0,al_scip-vte-2
9,10019,nan,0,empty,nan,sheffield,Alabama,06653,jefferson,2563864556,acute care hospitals,government - hospital district or authority,nan,Some college,0,heart attack patients given aspirin at arrival,nan,33 patients,Alabama
10,10019,nan,1300 south montgomery avenue,0,empty,fkeffitkf,aÍl,35660,jeςfferson,2563864556,acute care hospitals,ytirohtua ro tcirtsid latipsoh - tnemnrevog,yes,nan,aƖmi-2,heart attack patients given aspirin at discharge,92%,13 Ϭpatients,al_a˂mi-2
