id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
441393,Late repair of injuries of the anal sphincter,eng,Proc R Soc Med,Proceedings of the Royal Society of Medicine,1075-5535,64,12,1/1/71,1187-9,{A. G. ParksJ. F. McPartlin}
498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,The Journal of infectious diseases,J. Infect. Dis.,1537-6613,-1,0,2/15/04,nan,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,Indian J Ophthalmol,1936-2625,54,4,1/6/12,283-4,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
169865,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,nan,nan,nan,84,0,1/13/01,202-208,{A. R. LomaxP. C. CN  - Pubmed DA  - Mar DO  - 10.1017/s0007114508055608 DP  - NLM ET  - 2008/09/26 Calder}
803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.,eng,Dermatologic clinics,Dermatol Clin,1558-0520,33,4,1/15/10,835-40,{Lauren C Pinter-Brown}
98234,Cranial reconstruction of major traumatic defects in children with osteoinductive and resorbable materials,eng,nan,nan,nan,10,4,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
823730,No need for routine closed suction drainage in elective arthroplasty of the hip: a prospective randomized trial in 104 operations,eng,Br Med Bull,British medical bulletin,nan,29,2,1/1/73,163-7,{B N PrichardJ W Black}
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,nan,nan,164,1,4/1/68,43-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
396821,Awareness of deficits and on-road driving performance,English,Clinical Neuropsychologist,nan,1385-4046,45,7,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,nan,The British journal of radiology,nan,nan,23,938,1/8/08,158-61,{K. FlemingK. DonatoK. Leszczynski}
184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,nan,Transportation Research Part D-Transport and Environment,nan,1361-9209,14,5,nan,317-325,{J. L. LiP. Newcomb}
729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin Exp Med,1940-5901,8,9,1/15/01,10213-10224,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
820688,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,nan,Acta Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica,1540-7314 0148-8376,92,6,1/13/01,711-5,{T. S. MikkolaS. VuorentoO. YlikorkalaM. Vaisanen-TommiskaP. Rahkola-Soisalo}
965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,nan,Heart Rhythm,nan,1547-5271,8,5,1/11/01,S40,{C. Hamilton-CraigS. BartolettiM. CasellaF. PernaM. L. NarducciP. SantangeliF. PintusA. NataleA. Dello RussoG. PelargonioG. BencardinoJ. D. BurkhardtF. BellocciL. Di Biase}
53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,nan,nan,nan,35,8,1/11/01,1245-50,{T. ToppC. KuhneS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
13601,Community associated methicillin-resistant Staphylococcus aureus in HIV-infected patients,eng,British Journal of Dermatology.,nan,0007-0963,140,5,5/1/99,919-21,{Periyanayagam U.Pang P.S.Kiraly A.Lyden A.Chan J.}
668310,Combined pharmacotherapy and psychological treatment for depression: a systematic review.,eng,Clinical Interventions In Aging,nan,1178-1998,7,-1,1/12/01,185-90,{Andreas KruseManh Hung Nguyen}
282987,Multisystemic Therapy for social emotional and behavioral problems in youth aged 10-17,eng,Cochrane Database Syst Rev,nan,1469-493X,0,4,1/5/01,Cd004797,{J. H. LittellM. PopaB. Forsythe}
153797,Evaluation of a rapidly rotating shift system for tolerance of nurses to nightwork.,eng,Journal of Nursing UFPE / Revista de Enfermagem UFPE,nan,Jan-68,139,3,1/1/97,257-8,{Y TakagiN HashimotoY Goto}
43736,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,nan,Atherosclerosis. Supplements,Med Sci Sports Exerc,0195-9131,39,6,1/7/06,991-5,{James C MartinIan MayhewLee M RomerThomas Korff}
82614,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,eng,Cancer prevention research (Philadelphia Pa.),Cancer Prev Res (Phila),1940-6215,6,12,1/13/12,1304-16,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
163526,A performance improvement process to tackle tachysystole,English,nan,nan,nan,40,0,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,{V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von GruenigenA. M. BurkettJ. DoyleT. H. Kenny}
514411,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,eng,Cardiovascular and interventional radiology,Cardiovasc Intervent Radiol,1432-086X,37,6,1/14/12,1530-9,{Alfredo D'AnielloAddolorata MasciaVincenzo EspositoPier Paolo QuaratoMarco De RisiAngelo PicardiGiancarlo Di GennaroLiliana G GrammaldoSara CasciatoGiulio N Meldolesi}
569841,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,eng,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,nan,1527-7755,27,15,2/15/04,2496-502,{Ariela NoyLawrence D KaplanYanxing YuAlexandra M LevineRichard F AmbinderSusan E KrownBruce J DezubeLan LinJeannette Y LeeGary S Hayward}
57286,Serum MMPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease,nan,J Orthop Sci,nan,nan,20,7,1/12/01,785-794,{Kaija Leena KolhoHanne RintamakiTaina TervahartialaTimo SorsaLaura Makitalo}
21910,Examining waiting placement in hospital: utilization and the lived experience.,eng,Indian Journal of Psychiatry,Drugs Aging,1916-9736,6,2,1/14/03,22-Dec,{Mark A FogelMichael V Di MariaMatthew A HarrisMeryl S CohenKevin K Whitehead}
378490,A prospective observational study of obesity body composition and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.,eng,The Journal of clinical psychiatry,J Clin Psychiatry,1062-8401,69,12,1/8/12,1892-900,{Isabella SorecaAndrea FagioliniDavid J KupferBret H GoodpasterSara B Fleet-MichaliszynAmy D OttoJohn M Jakicic}
971878,Diminished A-cell secretion in the early phase of type I diabetes mellitus,English,Metabolism: Clinical and Experimental,nan,nan,35,11,1/1/86,149-156,{S. SrikantaO. P. GandaR. E. Gleason}
