ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295,Growth hormone treatment and diabetes: survey of the kabi pharmacia international growth study.,eng,nan,Proceedings of the Royal Society of Medicine,1471-4892,16,4,1/7/07,1187-9,{A. G. ParksJ. F. McPartlin}
2,498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,nan,Fertility and sterility,nan,2158-0979,34,1,2/15/04,nan,{Carolyn H McCabeShaun G GoodmanFrans Van de WerfDavid A MorrowElliott M AntmanEugene BraunwaldKenneth W MahaffeyMarc CohenIan B MenownSabina A MurphyCharles Michael Gibson}
3,125302,Forensic odontology: A prosthodontic view,nan,Indian journal of ophthalmology,Indian J Ophthalmol,nan,54,4,1/6/12,Apr-72,{D. A. GouldJ. McInerneyR. E. HarbaughJ. D. Birkmeyer}
4,125302,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],nan,nan,nan,nan,84,0,1/1/06,nan,{Bashir Jiwani}
5,904889,Diagnosis and Management of Cutaneous B-cell Lymphoma.,English,Dermatologic clinics,Eur J Appl Physiol Occup Physiol,-14400,29,4,1/15/10,835-40,{B. WeberA. Berger}
6,332032,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,nan,nan,nan,nan,14,4,1/15/01,185-91,{Woo Young ParkDo Jin LeeJong Sir LimJong Soo HeoJeoung Yoon SeoRonald D. DeLauneJu Sik Cho}
7,823730,Behaviour change interventions to promote prescribing of generic drugs: a rapid evidence synthesis and systematic review.,eng,Br Med Bull,nan,0007-1420,29,2,1/1/73,163-7,{NULL}
8,970436,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,American journal of respiratory and critical care medicine,nan,nan,72,2,3/22/14,43-49,{Matsumoto K.Yamada F.Fukuda S.}
9,396821,Here to stay. An interview with Dr. David Satcher Director U.S. Centers for Disease Control and Prevention.,nan,Einstein (Sao Paulo),nan,1385-4046,25,7,1/11/01,1158-78,{Ariela NoyLawrence D KaplanYanxing YuAlexandra M LevineRichard F AmbinderSusan E KrownBruce J DezubeLan LinJeannette Y LeeGary S Hayward}
10,340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,nan,The British journal of radiology,nan,nan,79,938,1/4/01,62928,{R. CN  - PubMed DA  - Feb DP  - NLM ET  - 2004/03/05 Boyle}
11,184417,[Severe exposure to environmental lead in a child population in Antofagasta Chile],nan,Transportation Research Part D-Transport and Environment,nan,nan,14,5,1/8/01,317-325,{I. YangJ. StonestreetP. CollinsP. Masel}
