ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295,Late repair of injuries of the anal sphincter,English,Neuropsychopharmacology,Neuroscience,0035-9157 (Print) 0035-9157,64,12,1/1/71,1187-9,{Estela DerazneJeremy D KarkYaron NivLital Keinan-BokerAri ShamissIrena LiphshitzArnon AfekDorit TzurMoshe FurmanZohar Levi}
3,798716,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,nan,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,nan,0301-4738,54,4,1/13/01,283-4,{Irena Anna FreiKatharina FierzAngela PoatMartina Gisin}
4,501663,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],fre,nan,nan,nan,154,0,1/7/10,447-52 ST  - [Studies on cefotaxime (HR 756) concentration in human biliary tract and clinical effect for acute or subacute cholecystitis with cholelithiasis (author's transl)]-,{M. WangG. StewartJ. F. TierneyG. SpilopoulosW. DuncanH. S. HansenZ. RhugangM. K. ParmarA. RousellB. LaunoisK. NygaardS. J. ArnottM. Gignoux}
6,98234,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,eng,nan,nan,nan,42,0,1/13/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
8,729712,Shedding health risks with bariatric weight loss surgery,English; ABSTRACT LANGUAGE:English,J Orthop Sci,nan,nan,240,0,1/14/01,374-8,{NULL}
10,858569,Behaviour Research and Therapy Outcome predictors in guided and unguided self-help for social anxiety disorder,nan,The British journal of radiology,nan,nan,79,938,5/1/90,Apr-43,{M CaliskanM Karab_c_ogluA CitakN UzelK AydinA NayirD D Soysal}
13,278396,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,Das Mikorklima der Wohnungen und seine hygienische Normierung.,nan,0001-6349 (Print) 0001-6349,92,2,1/1/90,711-5,{Terry-Lynne MarkoTyler Watt}
15,161290,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,nan,nan,nan,16,3,1/13/08,173-181,{T. ToppC. KuhneS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
18,237623,Terbutaline pump for the prevention of preterm birth (Structured abstract),eng,Cochrane Database Syst Rev,nan,1469-493X,7,2,1/7/08,Cd004797,{J. H. LittellM. PopaB. Forsythe}
22,164085,A performance improvement process to tackle tachysystole,English,nan,nan,nan,40,5,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,{Narumi TomisawaAkihiro C Yamashita}
25,282987,Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,nan,Scandinavian Journal of Gastroenterology,nan,nan,47,7,nan,e70858,{Eunice Molinar-ToribioBenjam_n PiaLivia G_mezJara Prez-JimnezMarta CasadoSara Ramos-RomeroPere ClapsJosep Llu_s Torres}
28,663994,Diminished A-cell secretion in the early phase of type I diabetes mellitus,English,Scandinavian journal of rheumatology,nan,nan,35,0,1/1/86,1074-1077,{P MichelV PapavasileiouG NtaiosA BargiotaK Makaritsis}
29,501663,Strong stability and host specific bacterial community in faeces of ponies.,eng,nan,nan,1932-6203,8,0,1/13/01,e75079,{N. Klauber-DeMoreK. FechoN. R. MillerW. S. BlauS. A. MerrittC. S. Hultman}
31,880881,[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].,nan,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,J. Cancer Res. Clin. Oncol.,1598-9992,52,6,1/7/10,2496-502,{H H FiebigK MrossR VelagapudiW E BerdelC UngerI M von Broen}
33,684476,Optimal Starting Age for School Attendance: FY76 Issue Analysis,English,nan,nan,nan,196,0,1/12/01,46,{Marilou Madden}
34,851773,Bone density and body composition in young women with chronic fatigue syndrome.,eng,Neuroprotective Agents,nan,0077-8923,904,0,1/13/01,625-7,{F GatesP Clifton-BlighG FulcherL HoskinR Hansen}
35,676042,Significantly higher adrenocorticotropin-stimulated cortisol and 17-hydroxyprogesterone levels in 337 consecutive premenopausal caucasian hirsute patients compared with healthy controls,eng,J Hand Surg Am,J Stroke Cerebrovasc Dis,1532-8511,24,1,1/15/02,362-9,{K Ishikawa-TakataT OhtaK MoritakiT GotouS Inoue}
36,353972,Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan Nigeria.,nan,Drugs & aging,nan,1745-0128 1745-0136,104,6,1/8/01,243-248,{A M MulekarB J Vakiland}
38,660168,Distal radius fracture arthroscopic intraarticular displacement measurement after open reduction and internal fixation from a volar approach,eng,International journal of colorectal disease,J Am Diet Assoc,1524-4040,64,2,1/9/02,984-98,{R Loch MacdonaldFarbod Asgarzadie-GadimYeon Gyoe JangDaniel J CurryRachel N YanowitchKim E SchultheissJocelyn TolentinoJ_rgen L_ders}
39,315926,Out of harm's way: curbing violence in the ED,English,J Hand Surg Am,Health Facil Manage,0899-6210,15,10,1/1/95,135-138,{T. NakajimaI. YoshinoK. YasufukuS. YoshidaY. SakairiK. Shibuya}
43,330553,The effect of lymphatico-venous anastomosis for an intractable ulcer at the lower leg in a marked obese patient.,nan,Nature: New biology,nan,0175-3851,34,7,1/1/97,655-663,{G. PetersK. BeckerC. Von Eiff}
46,812893,A prospective observational study of obesity body composition and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.,eng,Cancer research,Cancer Res.,1538-7445,71,7,5/15/11,Sep-82,{Stephanie J WeinsteinRachael Z Stolzenberg-SolomonPhilip R TaylorBarry I GraubardJarmo VirtamoDemetrius AlbanesLi Jiao}
47,433667,Norton Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement,nan,nan,nan,nan,0,0,nan,nan,{Hanan F KhafagyMona M HassanEmad S OsmanFaten M El-ShanawanyAbdel Rahman M FathallahYasser M SamhanGehan G El-Fandy}
50,864817,A comparison of early gastric and post-pyloric feeding in critically ill patients: a meta-analysis.,nan,nan,nan,nan,21,0,1/10/01,nan,{B. EscudierA. RavaudF. RollandA. BlesiusB. BeuzelinkS. OudardC. Chevreau}
